repo,pr_number,duration_hours,description_length,num_comments,num_participants
kelseyhightower/nocode,5297,666.0508333333333,0,0,1
kelseyhightower/nocode,5287,658.6097222222222,69,0,1
kelseyhightower/nocode,5245,1158.6297222222222,39,0,1
kelseyhightower/nocode,5243,0.005,0,0,1
kelseyhightower/nocode,5187,284.46527777777777,0,0,1
kelseyhightower/nocode,5183,3.7769444444444447,0,0,1
kelseyhightower/nocode,5182,0.006666666666666667,2,0,1
kelseyhightower/nocode,5178,0.007222222222222222,0,0,1
kelseyhightower/nocode,5163,97.58916666666667,87,0,1
kelseyhightower/nocode,5096,462.70444444444445,143,0,1
kelseyhightower/nocode,5092,75.91444444444444,0,0,1
kelseyhightower/nocode,5088,4068.2725,192,0,1
kelseyhightower/nocode,5011,136.3788888888889,38,0,1
kelseyhightower/nocode,5003,438.6425,0,0,1
kelseyhightower/nocode,5001,7406.534166666666,1,0,1
kelseyhightower/nocode,4959,217.6938888888889,209,0,1
kelseyhightower/nocode,4913,626.5086111111111,0,0,1
kelseyhightower/nocode,4873,0.3377777777777778,0,0,1
kelseyhightower/nocode,4867,20951.373888888887,1,0,1
kelseyhightower/nocode,4866,0.008888888888888889,0,0,1
kelseyhightower/nocode,4865,0.06333333333333334,0,0,1
kelseyhightower/nocode,4816,10188.135277777777,33,0,1
kelseyhightower/nocode,4812,21.898055555555555,0,0,1
kelseyhightower/nocode,4753,16320.325833333334,55,0,1
kelseyhightower/nocode,4625,23824.036944444444,106,0,1
kelseyhightower/nocode,4466,12173.34638888889,53,0,1
kelseyhightower/nocode,4455,5367.182222222223,124,0,1
kelseyhightower/nocode,4433,14.80638888888889,170,0,1
kelseyhightower/nocode,4407,12484.776944444444,30,0,1
kelseyhightower/nocode,4392,142.96972222222223,59,0,1
kelseyhightower/nocode,4356,23423.77138888889,67,0,1
kelseyhightower/nocode,4336,163.9775,0,0,1
kelseyhightower/nocode,4331,32422.736666666668,45,0,1
kelseyhightower/nocode,4297,0.006666666666666667,0,0,1
kelseyhightower/nocode,4223,0.0044444444444444444,0,0,1
kelseyhightower/nocode,4221,0.01,0,0,1
kelseyhightower/nocode,4219,450.69,0,0,1
kelseyhightower/nocode,4215,14444.281666666666,17,0,1
kelseyhightower/nocode,4174,813.2769444444444,1,0,1
kelseyhightower/nocode,4171,0.05,0,0,1
kelseyhightower/nocode,4137,988.685,30,0,1
kelseyhightower/nocode,4101,14147.834722222222,0,0,1
kelseyhightower/nocode,4089,10102.212222222222,0,0,1
kelseyhightower/nocode,4066,34.685833333333335,15,0,1
kelseyhightower/nocode,3937,28415.62,0,0,1
kelseyhightower/nocode,3894,0.03194444444444444,0,0,1
kelseyhightower/nocode,3891,27.693055555555556,11,0,1
kelseyhightower/nocode,3870,32559.91388888889,0,0,1
kelseyhightower/nocode,3841,2191.576666666667,282,0,1
kelseyhightower/nocode,3806,35068.596666666665,107,0,1
kelseyhightower/nocode,3540,17143.672777777778,56,0,1
kelseyhightower/nocode,3492,1101.4991666666667,0,0,1
kelseyhightower/nocode,3488,22344.964722222223,0,0,1
kelseyhightower/nocode,3329,19704.10111111111,11,0,1
kelseyhightower/nocode,3294,41494.94861111111,0,0,1
kelseyhightower/nocode,3253,1998.4033333333334,16,0,1
kelseyhightower/nocode,3234,9431.416388888889,39,0,1
kelseyhightower/nocode,3110,19295.23222222222,71,0,1
kelseyhightower/nocode,2980,18115.86111111111,62,0,1
kelseyhightower/nocode,2942,0.006111111111111111,0,0,1
kelseyhightower/nocode,2917,20519.08361111111,67,0,1
kelseyhightower/nocode,2852,18443.733055555556,80,0,1
kelseyhightower/nocode,2842,39678.22,279,0,1
kelseyhightower/nocode,2786,6024.456388888889,29,0,1
kelseyhightower/nocode,2767,4484.256111111111,0,0,1
kelseyhightower/nocode,2681,21303.35388888889,0,0,1
kelseyhightower/nocode,2662,35578.64611111111,138,0,1
kelseyhightower/nocode,2641,2602.576111111111,296,0,1
kelseyhightower/nocode,2628,0.18388888888888888,34,0,1
kelseyhightower/nocode,2620,11618.229166666666,0,0,1
kelseyhightower/nocode,2576,0.09638888888888889,0,0,1
kelseyhightower/nocode,2554,392.43083333333334,0,0,1
kelseyhightower/nocode,2553,392.5486111111111,0,0,1
kelseyhightower/nocode,2460,2813.1255555555554,0,0,1
kelseyhightower/nocode,2406,8710.854722222222,0,0,1
kelseyhightower/nocode,2325,15102.344444444445,6,0,1
kelseyhightower/nocode,2290,28700.570277777777,5,0,1
kelseyhightower/nocode,2230,24732.737777777777,0,0,1
kelseyhightower/nocode,2197,16913.51638888889,28,0,1
kelseyhightower/nocode,2135,47350.82944444445,65,0,1
kelseyhightower/nocode,2120,0.017777777777777778,57,0,1
kelseyhightower/nocode,2087,38279.142222222225,0,0,1
kelseyhightower/nocode,2083,40512.03,46,0,1
kelseyhightower/nocode,2065,14476.45388888889,230,0,1
kelseyhightower/nocode,2014,35982.34611111111,46,0,1
kelseyhightower/nocode,2011,46676.61888888889,0,0,1
kelseyhightower/nocode,1943,39144.46472222222,45,0,1
kelseyhightower/nocode,1930,20326.854444444445,0,0,1
kelseyhightower/nocode,1904,1694.3763888888889,0,0,1
kelseyhightower/nocode,1899,38190.17638888889,60,0,1
kelseyhightower/nocode,1882,46789.19888888889,54,0,1
kelseyhightower/nocode,1861,4145.9511111111115,5,0,1
kelseyhightower/nocode,1823,27886.784722222223,39,0,1
kelseyhightower/nocode,1819,47368.28277777778,0,0,1
kelseyhightower/nocode,1806,15936.192222222222,0,0,1
kelseyhightower/nocode,1775,0.006944444444444444,0,0,1
kelseyhightower/nocode,1706,144.95277777777778,0,0,1
kelseyhightower/nocode,1702,3597.0763888888887,0,0,1
kelseyhightower/nocode,1671,7697.307777777778,34,0,1
kelseyhightower/nocode,1632,408.06888888888886,638,0,1
