repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
keras-team/keras,20401,12,777,0,12.919166666666667,538,0,6,2
keras-team/keras,20400,1,1,1,10.924166666666666,263,0,1,2
keras-team/keras,20398,3,20,19,4.548055555555556,113,0,1,2
keras-team/keras,20396,9,746,194,5.314444444444445,551,0,5,2
keras-team/keras,20392,15,149,0,52.778888888888886,413,0,4,2
keras-team/keras,20389,2,13,1,7.7275,97,0,1,2
keras-team/keras,20386,6,28,5,62.553333333333335,316,0,6,2
keras-team/keras,20385,1,9,0,3.8494444444444444,58,0,1,2
keras-team/keras,20384,15,142,0,30.753888888888888,477,0,2,2
keras-team/keras,20383,10,44,0,9.888055555555555,171,0,1,2
keras-team/keras,20380,8,258,47,4.765,252,0,1,2
keras-team/keras,20379,1,34,9,6.552222222222222,56,0,1,2
keras-team/keras,20377,1,4,3,13.063888888888888,77,0,1,2
keras-team/keras,20374,1,8,1,1.4702777777777778,723,0,1,2
keras-team/keras,20368,23,1240,431,152.1511111111111,486,0,19,2
keras-team/keras,20367,2,22,0,14.703611111111112,0,0,1,2
keras-team/keras,20365,1,14,0,1.86,0,0,0,1
keras-team/keras,20364,5,307,0,7.713055555555556,0,0,2,2
keras-team/keras,20358,5,676,194,99.79305555555555,2823,0,30,3
keras-team/keras,20352,2,6,5,24.29222222222222,980,0,3,2
keras-team/keras,20349,2,6,1,5.133333333333334,230,0,1,2
keras-team/keras,20348,1,7,0,10.020833333333334,714,0,1,2
keras-team/keras,20345,1,9,9,8.531944444444445,978,0,1,2
keras-team/keras,20340,2,8,15,4.600833333333333,144,0,1,2
keras-team/keras,20338,1,2,1,9.416666666666666,0,0,1,2
keras-team/keras,20337,2,53,3,29.45138888888889,98,0,1,2
keras-team/keras,20334,8,17,17,42.041111111111114,449,0,0,1
keras-team/keras,20331,1,2,2,7.168055555555555,64,0,1,2
keras-team/keras,20330,14,55,66,106.62277777777778,866,0,4,2
keras-team/keras,20321,2,38,7,212.82638888888889,905,0,5,2
keras-team/keras,20317,1,10,5,399.6458333333333,148,0,1,2
keras-team/keras,20315,2,30,0,43.67333333333333,1044,0,3,2
keras-team/keras,20313,10,949,0,94.31138888888889,562,0,9,2
keras-team/keras,20312,1,1,1,4.691944444444444,8409,0,0,1
keras-team/keras,20311,1,2,2,4.991388888888889,2245,0,0,1
keras-team/keras,20306,2,24,4,34.391666666666666,1309,0,0,1
keras-team/keras,20305,1,1,1,1.3925,33,0,1,2
keras-team/keras,20301,2,2,2,2.1216666666666666,182,0,1,2
keras-team/keras,20298,1,4,5,4.976388888888889,135,0,1,2
keras-team/keras,20296,2,56,6,10.138055555555555,388,0,1,2
keras-team/keras,20295,2,7,5,12.193888888888889,155,0,1,2
keras-team/keras,20292,1,2,2,466.5547222222222,34,0,0,1
keras-team/keras,20289,1,171,18,27.198333333333334,462,0,4,2
keras-team/keras,20286,10,518,0,7.781666666666666,814,0,1,2
keras-team/keras,20280,1,10,22,1.275,133,0,1,2
keras-team/keras,20275,5,37,0,3.4625,282,0,0,1
keras-team/keras,20266,1,4,3,1.9236111111111112,84,0,0,1
keras-team/keras,20265,1,8,1,22.072777777777777,172,0,1,2
keras-team/keras,20264,1,1,0,5.431388888888889,0,0,1,2
keras-team/keras,20248,1,2,2,4.337777777777778,24,0,1,2
keras-team/keras,20247,2,268,0,49.1125,56,0,17,4
keras-team/keras,20246,4,37,1,25.635555555555555,156,0,1,2
keras-team/keras,20240,1,2,2,3.243333333333333,215,0,1,2
keras-team/keras,20239,1,217,0,292.55444444444447,398,0,14,2
keras-team/keras,20237,1,12,0,9.708333333333334,842,0,1,2
keras-team/keras,20234,12,122,3,3.6419444444444444,57,0,0,1
keras-team/keras,20232,10,99,0,7.2155555555555555,74,0,1,2
keras-team/keras,20231,2,15,15,14.088055555555556,296,0,1,2
keras-team/keras,20230,3,25,10,5.3694444444444445,221,0,0,1
keras-team/keras,20229,1,21,19,2.7466666666666666,275,0,1,2
keras-team/keras,20228,1,1,1,3.5172222222222222,123,0,1,2
keras-team/keras,20225,1,94,0,150.76833333333335,664,0,0,1
keras-team/keras,20224,1,185,0,69.73138888888889,1378,0,0,1
keras-team/keras,20223,3,3,3,3.67,114,0,1,2
keras-team/keras,20222,3,8,8,76.92916666666666,121,0,0,1
keras-team/keras,20215,1,3,1,4.988333333333333,1812,0,1,2
keras-team/keras,20213,5,126,7,104.16527777777777,408,0,6,2
keras-team/keras,20211,1,304,0,7.297777777777778,3498,0,0,1
keras-team/keras,20208,1,529,445,27.808333333333334,249,0,3,2
keras-team/keras,20207,1,6,6,9.176388888888889,696,0,4,2
keras-team/keras,20206,2,23,4,2.4269444444444446,10,0,2,2
keras-team/keras,20205,2,30,16,2.069166666666667,225,0,1,2
keras-team/keras,20202,4,118,0,38.99305555555556,190,0,2,2
keras-team/keras,20201,1,129,38,5.874722222222222,212,0,1,2
keras-team/keras,20200,10,88,1,42.312777777777775,480,0,2,2
keras-team/keras,20198,23,200,17,47.284444444444446,53,0,2,2
keras-team/keras,20197,2,75,8,2.6886111111111113,221,0,1,2
keras-team/keras,20196,3,32,12,132.20805555555555,252,0,4,2
keras-team/keras,20195,2,13,8,8.245555555555555,583,0,1,2
