repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
kubernetes/kubernetes,128317,2,33,4,8.471111111111112,3526,0,1,2
kubernetes/kubernetes,128311,1,1,1,7.376944444444445,3085,0,0,1
kubernetes/kubernetes,128309,2,1,13,2.4569444444444444,1485,0,0,1
kubernetes/kubernetes,128305,2,122,10,8.036944444444444,2733,0,1,2
kubernetes/kubernetes,128295,17,444,122,14.639722222222222,3127,0,0,1
kubernetes/kubernetes,128292,1,14,2,5.846666666666667,913,0,2,3
kubernetes/kubernetes,128291,2,2,2,7.457777777777777,1888,0,3,2
kubernetes/kubernetes,128290,1,37,8,9.503055555555555,3130,0,1,2
kubernetes/kubernetes,128289,1,1,1,14.7475,2977,0,0,1
kubernetes/kubernetes,128281,3,3,0,8.836388888888889,376,0,0,1
kubernetes/kubernetes,128277,1,0,6,5.6033333333333335,2836,0,0,1
kubernetes/kubernetes,128270,1,1,0,14.585555555555555,877,0,0,1
kubernetes/kubernetes,128264,2,27,2,22.195555555555554,2355,0,1,2
kubernetes/kubernetes,128262,1,5,5,57.98305555555555,359,0,1,2
kubernetes/kubernetes,128261,30,609,848,28.830555555555556,824,0,7,3
kubernetes/kubernetes,128260,16,368,0,11.966944444444444,3444,0,1,2
kubernetes/kubernetes,128252,0,0,0,27.0925,64,0,0,1
kubernetes/kubernetes,128248,1,1,1,11.627222222222223,2483,0,3,2
kubernetes/kubernetes,128245,10,485,3,25.559722222222224,3111,0,3,3
kubernetes/kubernetes,128244,5,33,5,49.6125,135,0,1,2
kubernetes/kubernetes,128237,17,505,94,35.50333333333333,737,0,5,3
kubernetes/kubernetes,128234,5,51,34,52.61833333333333,3253,0,0,1
kubernetes/kubernetes,128228,3,169,3,30.16777777777778,2174,0,0,1
kubernetes/kubernetes,128223,3,123,2,32.95777777777778,3513,0,6,2
kubernetes/kubernetes,128220,2,2,2,8.679444444444444,1780,0,2,3
kubernetes/kubernetes,128218,1,120,120,6.2716666666666665,473,0,0,1
kubernetes/kubernetes,128217,14,136,117,38.24,2977,0,1,2
kubernetes/kubernetes,128216,25,369,578,5.631388888888889,442,0,0,1
kubernetes/kubernetes,128215,17,94,505,76.83333333333333,242,0,0,1
kubernetes/kubernetes,128213,2,0,2,91.42472222222223,3887,0,0,1
kubernetes/kubernetes,128200,30,40,512,106.49861111111112,2977,0,0,1
kubernetes/kubernetes,128199,1,1,1,1.0077777777777779,3052,0,0,1
kubernetes/kubernetes,128197,7,93,195,115.79888888888888,1955,0,0,1
kubernetes/kubernetes,128192,1,1,1,63.558055555555555,1406,0,0,1
kubernetes/kubernetes,128187,2,2,2,2.698888888888889,2986,0,1,2
kubernetes/kubernetes,128182,3,43,5,78.12388888888889,3127,0,12,3
kubernetes/kubernetes,128181,6,11,11,1.0752777777777778,3048,0,1,2
kubernetes/kubernetes,128180,1,6,2,8.599444444444444,425,0,2,3
kubernetes/kubernetes,128179,2,12,25,88.18888888888888,3721,0,15,3
kubernetes/kubernetes,128178,11,327,293,10.149444444444445,1316,0,2,2
kubernetes/kubernetes,128175,14,76,220,3.6772222222222224,537,0,1,2
kubernetes/kubernetes,128174,24,411,219,73.94972222222222,570,0,0,1
kubernetes/kubernetes,128172,13,496,81,17.5,884,0,0,1
kubernetes/kubernetes,128169,7,61,57,15.6975,1242,0,1,2
kubernetes/kubernetes,128168,7,15,10,16.776666666666667,1108,0,0,1
kubernetes/kubernetes,128165,30,4,41,7.018055555555556,293,0,0,1
kubernetes/kubernetes,128158,1,8,5,3.025,270,0,2,2
kubernetes/kubernetes,128153,1,12,19,7.625277777777778,477,0,7,2
kubernetes/kubernetes,128149,14,220,76,6.090833333333333,3147,0,2,3
kubernetes/kubernetes,128145,5,10,10,10.37888888888889,3092,0,0,1
kubernetes/kubernetes,128144,22,144,64,16.68138888888889,505,0,0,1
kubernetes/kubernetes,128143,5,1582,2934,27.35611111111111,1071,0,6,3
kubernetes/kubernetes,128139,5,40,2,184.26083333333332,3308,0,1,1
kubernetes/kubernetes,128136,4,121,79,1.6725,442,0,1,2
kubernetes/kubernetes,128134,2,12,5,49.14972222222222,3063,0,3,3
kubernetes/kubernetes,128132,7,160,160,109.16805555555555,1563,0,1,2
kubernetes/kubernetes,128131,7,41,41,109.25833333333334,1563,0,1,2
kubernetes/kubernetes,128130,7,41,41,109.40805555555555,1563,0,1,2
kubernetes/kubernetes,128129,7,41,41,109.50638888888889,1563,0,1,2
kubernetes/kubernetes,128128,1,12,2,17.59027777777778,475,0,0,1
kubernetes/kubernetes,128127,1,1,0,180.5913888888889,3474,0,0,1
kubernetes/kubernetes,128125,1,3,1,26.293055555555554,3110,0,3,2
kubernetes/kubernetes,128120,3,3,3,36.31527777777778,135,0,0,1
kubernetes/kubernetes,128119,1,1,1,129.00416666666666,3449,0,0,1
kubernetes/kubernetes,128118,1,1,1,7.7444444444444445,1206,0,2,3
