repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
langchain-ai/langchain,27622,3,33,2,4.7908333333333335,577,0,0,1
langchain-ai/langchain,27621,1,8,2,4.9191666666666665,389,0,1,2
langchain-ai/langchain,27606,1,1,1,10.02361111111111,65,0,0,1
langchain-ai/langchain,27601,1,1,1,13.33,380,0,0,1
langchain-ai/langchain,27599,2,2,2,13.839166666666667,377,0,0,1
langchain-ai/langchain,27594,4,792,0,2.4494444444444445,0,0,1,1
langchain-ai/langchain,27591,3,56,22,1.8475,0,0,0,1
langchain-ai/langchain,27589,1,1,1,3.4769444444444444,265,0,1,2
langchain-ai/langchain,27586,16,50,50,5.893611111111111,0,0,2,2
langchain-ai/langchain,27580,2,29,42,32.657222222222224,1684,0,0,1
langchain-ai/langchain,27579,1,4,4,32.76861111111111,1684,0,0,1
langchain-ai/langchain,27578,2,36,1,33.243611111111115,1631,0,0,1
langchain-ai/langchain,27568,2,4,3,43.03722222222222,81,0,1,2
langchain-ai/langchain,27566,30,66,68,19.668055555555554,44,0,0,1
langchain-ai/langchain,27564,23,145,157,3.6875,0,0,2,2
langchain-ai/langchain,27562,1,49,44,4.714166666666666,36,0,1,2
langchain-ai/langchain,27559,1,1,3,1.215,0,0,1,2
langchain-ai/langchain,27558,1,29,26,19.642222222222223,0,0,1,2
langchain-ai/langchain,27535,1,3,2,9.805277777777778,473,0,1,2
langchain-ai/langchain,27531,1,48,18,17.7475,42,0,0,1
langchain-ai/langchain,27528,6,228,860,14.892777777777777,132,0,0,1
langchain-ai/langchain,27525,2,10,41,17.2425,294,0,0,1
langchain-ai/langchain,27524,1,27,2,19.925833333333333,1655,0,0,1
langchain-ai/langchain,27523,1,31,18,21.143055555555556,674,0,0,1
langchain-ai/langchain,27522,1,14,7,1.1594444444444445,0,0,1,2
langchain-ai/langchain,27521,1,109,0,22.304444444444446,0,0,0,1
langchain-ai/langchain,27520,9,220,226,6.065833333333333,24,0,0,1
langchain-ai/langchain,27516,1,147,46,2.078611111111111,22,0,0,1
langchain-ai/langchain,27507,1,15,4,9.969444444444445,230,0,0,1
langchain-ai/langchain,27503,12,809,0,5.579166666666667,1858,0,0,1
langchain-ai/langchain,27495,10,131,25,26.751666666666665,501,0,1,2
langchain-ai/langchain,27489,1,1,1,31.854444444444443,43,0,1,2
langchain-ai/langchain,27488,6,96,11,67.32722222222222,680,0,1,2
