repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
laravel/laravel,6480,2,87,0,18.670833333333334,0,0,1,2
laravel/laravel,6479,1,1,1,19.710833333333333,191,0,0,1
laravel/laravel,6478,3,3,3,14.325833333333334,107,0,1,2
laravel/laravel,6477,2,15,0,18.899444444444445,51,0,0,1
laravel/laravel,6475,1,1,1,17.759166666666665,297,0,0,1
laravel/laravel,6474,1,2,0,2.441388888888889,24,0,1,2
laravel/laravel,6473,1,1,1,45.36527777777778,51,0,0,1
laravel/laravel,6472,1,1,1,9.785277777777777,1695,0,0,1
laravel/laravel,6471,1,1,0,9.8,359,0,2,2
laravel/laravel,6469,1,0,1,2.640833333333333,1596,0,0,1
laravel/laravel,6463,8,53,8,5.230277777777777,735,0,0,1
laravel/laravel,6462,1,1,1,6.916388888888889,127,0,0,1
laravel/laravel,6460,1,5,0,18.16861111111111,451,0,1,2
laravel/laravel,6457,1,4,0,18.11722222222222,549,0,0,1
laravel/laravel,6456,1,4,0,16.808611111111112,976,0,0,1
laravel/laravel,6453,1,1,0,20.100833333333334,580,0,1,2
laravel/laravel,6452,1,3,0,5.545277777777778,218,0,0,1
laravel/laravel,6451,3,24,1,115.89166666666667,791,0,7,6
laravel/laravel,6450,3,5,1,53.88861111111111,0,0,0,1
laravel/laravel,6449,1,1,0,22.424444444444443,49,0,0,1
laravel/laravel,6447,6,175,148,1.7858333333333334,200,0,0,1
laravel/laravel,6446,3,7833,0,18.953611111111112,0,0,0,1
laravel/laravel,6443,1,1,0,1.4536111111111112,302,0,0,1
laravel/laravel,6442,1,1,1,6.590833333333333,257,0,0,1
laravel/laravel,6440,1,1,1,18.8125,70,0,0,1
laravel/laravel,6439,3,1,6,12.932222222222222,599,0,1,2
laravel/laravel,6437,1,1,0,55.056111111111115,541,0,0,1
laravel/laravel,6436,1,13,0,15.4625,1042,0,3,2
laravel/laravel,6435,1,4,0,37.465833333333336,38,0,0,1
laravel/laravel,6434,1,1,0,5.3375,0,0,0,1
laravel/laravel,6433,1,0,2,6.088611111111111,405,0,0,1
laravel/laravel,6432,2,4,4,1.1680555555555556,1521,0,0,1
laravel/laravel,6430,2,3,3,4.5905555555555555,472,0,0,1
laravel/laravel,6429,1,1,1,16.279444444444444,609,0,0,1
laravel/laravel,6427,2,13,0,28.236666666666668,0,0,0,1
laravel/laravel,6426,1,75,0,1.2002777777777778,0,0,0,1
laravel/laravel,6423,1,3,2,8.262222222222222,372,0,0,1
laravel/laravel,6419,1,36,36,1.6455555555555557,224,0,0,1
laravel/laravel,6418,2,20,21,2.5894444444444447,0,0,0,1
laravel/laravel,6417,1,1,1,24.83,0,0,0,1
laravel/laravel,6413,2,2,2,5.230277777777777,593,0,0,1
laravel/laravel,6412,3,60,54,13.931111111111111,360,0,0,1
laravel/laravel,6406,1,2,3,23.920277777777777,47,0,0,1
laravel/laravel,6404,1,1,1,4.371111111111111,141,0,0,1
laravel/laravel,6402,1,1,1,5.4238888888888885,835,0,0,1
laravel/laravel,6401,1,19,0,1.476388888888889,428,0,0,1
laravel/laravel,6400,1,1,0,17.974722222222223,64,0,0,1
laravel/laravel,6396,1,5,3,2.256666666666667,0,0,0,1
laravel/laravel,6395,1,1,1,3.4347222222222222,0,0,0,1
laravel/laravel,6393,1,1,0,10.470277777777778,894,0,0,1
laravel/laravel,6392,2,8,1,2.0566666666666666,269,0,0,1
laravel/laravel,6390,1,1,6,3.953333333333333,132,0,0,1
laravel/laravel,6388,1,2,2,35.9775,144,0,0,1
laravel/laravel,6387,1,1,0,22.198888888888888,472,0,0,1
laravel/laravel,6385,1,1,1,1.6502777777777777,179,0,2,3
laravel/laravel,6384,2,2,6,2.0819444444444444,213,0,0,1
laravel/laravel,6382,1,1,0,1.7805555555555554,110,0,0,1
laravel/laravel,6380,1,1062,37,2.721388888888889,269,0,0,1
laravel/laravel,6379,1,3,3,26.2,220,0,0,1
laravel/laravel,6378,1,2,2,44.17333333333333,41,0,0,1
laravel/laravel,6371,1,1,1,1.1202777777777777,65,0,0,1
laravel/laravel,6369,1,1,1,7.213055555555556,127,0,0,1
laravel/laravel,6367,1,2,2,6.450555555555556,526,0,0,1
laravel/laravel,6365,1,1,1,6.434166666666667,1616,0,0,1
laravel/laravel,6364,1,1090,143,2.354722222222222,1616,0,0,1
laravel/laravel,6363,1,1,1,9.946944444444444,143,0,0,1
laravel/laravel,6361,1,1,1,1.1433333333333333,3,0,0,1
laravel/laravel,6358,1,1,1,16.993333333333332,91,0,0,1
laravel/laravel,6357,2,8,10,120.36944444444444,58,0,0,1
laravel/laravel,6356,1,1,1,6.465833333333333,182,0,0,1
laravel/laravel,6354,1,1,1,10.754166666666666,0,0,0,1
laravel/laravel,6353,1,2,2,2.049722222222222,125,0,0,1
laravel/laravel,6351,1,0,82,20.540555555555557,148,0,0,1
laravel/laravel,6350,1,1,1,21.473333333333333,0,0,0,1
laravel/laravel,6347,3,40,0,3.3444444444444446,387,0,0,1
laravel/laravel,6346,2,6,4,2.6033333333333335,387,0,0,1
laravel/laravel,6343,1,4,0,9.939444444444444,295,0,1,2
laravel/laravel,6341,1,0,13,23.890833333333333,88,0,0,1
laravel/laravel,6340,1,0,1,4.6994444444444445,62,0,0,1
laravel/laravel,6339,1,2,2,3.9983333333333335,330,0,0,1
laravel/laravel,6338,1,20,8,11.914444444444445,351,0,0,1
laravel/laravel,6337,1,39,0,18.788333333333334,0,0,0,1
laravel/laravel,6336,1,1,0,7.224722222222222,160,0,0,1
laravel/laravel,6335,1,128,89,490.23083333333335,176,0,1,2
laravel/laravel,6334,3,0,0,94.21138888888889,208,0,0,1
laravel/laravel,6331,2,0,8,1.2519444444444445,76,0,0,1
laravel/laravel,6329,1,1,1,20.714166666666667,56,0,0,1
laravel/laravel,6328,2,2,1,6.926111111111111,0,0,0,1
laravel/laravel,6327,1,0,13,67.12388888888889,539,0,0,1
