repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
leonardomso/33-js-concepts,548,1,1,0,43.94083333333333,207,0,0,1
leonardomso/33-js-concepts,524,1,1,0,61.62277777777778,0,0,0,1
leonardomso/33-js-concepts,519,1,4,0,24.720833333333335,190,0,0,1
leonardomso/33-js-concepts,518,1,4,0,27.411944444444444,485,0,0,1
leonardomso/33-js-concepts,517,1,1,0,34.93,54,0,0,1
leonardomso/33-js-concepts,516,1,50,0,42.67583333333334,34,0,0,1
leonardomso/33-js-concepts,515,9,316,0,45.9725,18,0,0,1
leonardomso/33-js-concepts,514,1,1,0,94.67138888888888,100,0,0,1
leonardomso/33-js-concepts,512,1,158,157,128.12055555555557,0,0,0,1
leonardomso/33-js-concepts,511,1,1,1,128.2861111111111,82,0,0,1
leonardomso/33-js-concepts,507,1,2,1,138.93166666666667,945,0,0,1
leonardomso/33-js-concepts,506,1,2,1,145.11027777777778,71,0,0,1
leonardomso/33-js-concepts,505,1,37,2,152.38333333333333,67,0,0,1
leonardomso/33-js-concepts,504,1,1,0,162.39833333333334,0,0,0,1
leonardomso/33-js-concepts,502,0,0,0,306.0230555555556,415,0,0,1
leonardomso/33-js-concepts,500,1,1,0,163.39166666666668,121,0,0,1
leonardomso/33-js-concepts,497,1,0,2,1487.9375,0,0,0,1
leonardomso/33-js-concepts,493,1,68,64,2335.52,29,0,0,1
leonardomso/33-js-concepts,490,1,1,6,2908.820277777778,89,0,0,1
leonardomso/33-js-concepts,489,1,1,0,671.0847222222222,5,0,0,1
leonardomso/33-js-concepts,488,1,3,23,4369.868055555556,344,0,0,1
leonardomso/33-js-concepts,486,1,1,0,320.1672222222222,0,0,0,1
leonardomso/33-js-concepts,484,1,1,0,71.96527777777777,138,0,0,1
leonardomso/33-js-concepts,483,1,32,32,93.67666666666666,690,0,0,1
leonardomso/33-js-concepts,480,1,0,2,803.5377777777778,69,0,0,1
leonardomso/33-js-concepts,477,1,1,0,371.8197222222222,0,0,0,1
leonardomso/33-js-concepts,476,1,60,0,3053.1994444444445,27,0,0,1
leonardomso/33-js-concepts,475,1,2,0,9.64611111111111,0,0,0,1
leonardomso/33-js-concepts,474,1,171,170,47.486111111111114,0,0,0,1
leonardomso/33-js-concepts,473,1,1,0,16.41111111111111,0,0,0,1
leonardomso/33-js-concepts,472,1,2,1,18.3175,93,0,0,1
leonardomso/33-js-concepts,471,1,4,4,41.87027777777778,67,0,0,1
leonardomso/33-js-concepts,470,1,1,1,28.755277777777778,0,0,0,1
leonardomso/33-js-concepts,469,1,2,0,48.73583333333333,24,0,0,1
leonardomso/33-js-concepts,468,1,1,0,139.40666666666667,0,0,0,1
leonardomso/33-js-concepts,467,1,1,1,140.87833333333333,175,0,0,1
leonardomso/33-js-concepts,466,1,1,0,5.2425,113,0,0,1
leonardomso/33-js-concepts,465,1,1,0,2.3291666666666666,331,0,0,1
leonardomso/33-js-concepts,464,1,1,0,14.296666666666667,0,0,0,1
leonardomso/33-js-concepts,463,1,785,5,21.54277777777778,49,0,0,1
leonardomso/33-js-concepts,462,1,1,0,25.498333333333335,0,0,0,1
leonardomso/33-js-concepts,461,1,98,0,4801.046944444444,717,0,0,1
leonardomso/33-js-concepts,458,1,2,1,42.03333333333333,184,0,0,1
leonardomso/33-js-concepts,457,1,128,0,53.29055555555556,73,0,0,1
leonardomso/33-js-concepts,455,8,994,644,146.655,0,0,0,1
leonardomso/33-js-concepts,454,1,1,0,500.8852777777778,90,0,0,1
leonardomso/33-js-concepts,453,1,1,0,143.25805555555556,61,0,0,1
leonardomso/33-js-concepts,452,1,1,0,150.8036111111111,0,0,0,1
leonardomso/33-js-concepts,451,1,1,0,2.9591666666666665,0,0,0,1
leonardomso/33-js-concepts,450,1,1,0,5.402777777777778,22,0,0,1
leonardomso/33-js-concepts,448,1,75,86,12.015555555555556,0,0,0,1
leonardomso/33-js-concepts,447,1,1,0,523.1366666666667,39,0,0,1
leonardomso/33-js-concepts,445,1,8,7,5587.3075,20,0,0,1
leonardomso/33-js-concepts,444,1,497,487,192.9611111111111,44,0,0,1
leonardomso/33-js-concepts,443,1,1,1,36.94888888888889,28,0,0,1
leonardomso/33-js-concepts,441,1,8,0,7.461944444444445,134,0,0,1
leonardomso/33-js-concepts,440,1,1,0,22.60638888888889,32,0,0,1
leonardomso/33-js-concepts,439,1,3,0,22.958055555555557,1246,0,0,1
leonardomso/33-js-concepts,438,1,1,0,28.25722222222222,33,0,0,1
leonardomso/33-js-concepts,437,1,5,0,33.04388888888889,0,0,0,1
leonardomso/33-js-concepts,436,1,42,40,46.06777777777778,0,0,0,1
leonardomso/33-js-concepts,435,1,36,0,46.76166666666666,220,0,0,1
leonardomso/33-js-concepts,433,1,75,74,49.37555555555556,0,0,0,1
leonardomso/33-js-concepts,432,1,2,2,550.7469444444445,0,0,0,1
leonardomso/33-js-concepts,431,1,1,0,53.68138888888889,0,0,0,1
leonardomso/33-js-concepts,430,1,1,0,57.00888888888889,0,0,0,1
leonardomso/33-js-concepts,428,1,490,486,75.09222222222222,77,0,0,1
leonardomso/33-js-concepts,426,1,1,0,6.824166666666667,0,0,0,1
leonardomso/33-js-concepts,425,1,4,1,30.291666666666668,0,0,0,1
leonardomso/33-js-concepts,424,1,28,0,1066.2619444444445,200,0,0,1
leonardomso/33-js-concepts,423,1,27,16,329.03305555555556,198,0,0,1
leonardomso/33-js-concepts,422,1,3,1,46.407222222222224,466,0,0,1
leonardomso/33-js-concepts,421,1,3,0,32.7975,44,0,0,1
leonardomso/33-js-concepts,419,1,482,483,158.765,23,0,0,1
leonardomso/33-js-concepts,418,1,21,0,1.5969444444444445,0,0,0,1
leonardomso/33-js-concepts,417,1,16,2,1503.0058333333334,229,0,0,1
leonardomso/33-js-concepts,416,1,2,1,413.0336111111111,279,0,0,1
leonardomso/33-js-concepts,415,1,798,796,1.1794444444444445,391,0,0,1
leonardomso/33-js-concepts,414,1,3,1,2.0025,290,0,0,1
leonardomso/33-js-concepts,413,1,2,0,16.31111111111111,84,0,0,1
leonardomso/33-js-concepts,409,5,4860,0,1.7030555555555555,89,0,0,1
leonardomso/33-js-concepts,408,1,13,1,4.840277777777778,56,0,0,1
leonardomso/33-js-concepts,405,1,2,0,7.761666666666667,1525,0,0,1
leonardomso/33-js-concepts,404,1,207,210,47.3,23,0,0,1
leonardomso/33-js-concepts,403,1,125,122,36.147222222222226,1133,0,0,1
leonardomso/33-js-concepts,402,1,123,122,36.37638888888889,0,0,0,1
leonardomso/33-js-concepts,401,1,9,1,7.626388888888889,90,0,0,1
leonardomso/33-js-concepts,400,1,156,149,4446.422222222222,12,0,0,1
leonardomso/33-js-concepts,397,1,1,0,22.552222222222223,55,0,0,1
leonardomso/33-js-concepts,394,1,1,0,21.488333333333333,294,0,0,1
leonardomso/33-js-concepts,392,1,2,1,38.38722222222222,1418,0,0,1
leonardomso/33-js-concepts,390,1,4,0,31.949166666666667,0,0,0,1
leonardomso/33-js-concepts,387,1,2,0,96.45583333333333,0,0,0,1
leonardomso/33-js-concepts,386,0,0,0,75.45694444444445,151,0,0,1
leonardomso/33-js-concepts,385,1,3,5,102.70694444444445,190,0,0,1
leonardomso/33-js-concepts,382,1,3,1,16.999444444444446,0,0,0,1
leonardomso/33-js-concepts,381,1,870,869,116.45277777777778,80,0,0,1
leonardomso/33-js-concepts,379,1,1,0,45.577222222222225,152,0,0,1
leonardomso/33-js-concepts,378,1,1,0,7.423055555555556,195,0,0,1
leonardomso/33-js-concepts,377,1,7,0,533.4386111111111,0,0,0,1
