repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
lodash/lodash,5899,1,0,0,153.275,0,0,0,1
lodash/lodash,5867,3,370,223,20.595555555555556,714,0,0,1
lodash/lodash,5856,1,5,0,1685.1572222222221,0,0,0,1
lodash/lodash,5842,2,14,5,74.80361111111111,141,0,0,1
lodash/lodash,5821,2,8,2,1266.0133333333333,225,0,0,1
lodash/lodash,5816,1,4,0,503.04777777777775,0,0,0,1
lodash/lodash,5789,1,8,0,613.3419444444445,77,0,0,1
lodash/lodash,5785,1,2,5,5095.06,263,0,1,2
lodash/lodash,5755,0,0,0,4319.115833333333,198,0,0,1
lodash/lodash,5754,1,1,1,6480.08,446,0,1,2
lodash/lodash,5743,2,65,0,51.91222222222222,137,0,0,1
lodash/lodash,5741,2,2,1,25.196666666666665,0,0,0,1
lodash/lodash,5736,1,1,1,27.552222222222223,0,0,2,2
lodash/lodash,5733,30,185,184,6.522777777777778,165,0,0,1
lodash/lodash,5728,2,18,21,4.342222222222222,139,0,0,1
lodash/lodash,5718,1,4,0,1.3741666666666668,460,0,0,1
lodash/lodash,5712,1,1,1,129.4636111111111,0,0,0,1
lodash/lodash,5710,1,4,2,208.2072222222222,32,0,0,1
lodash/lodash,5707,1,1,1,244.7375,0,0,0,1
lodash/lodash,5706,3,10,1698,388.63444444444445,178,0,0,1
lodash/lodash,5705,2,13,1,396.43361111111113,118,0,0,1
lodash/lodash,5703,2,304,0,436.4794444444444,1518,0,0,1
lodash/lodash,5702,4,1208,715,528.8375,15,0,0,1
lodash/lodash,5701,1,6,6,541.4863888888889,0,0,0,1
lodash/lodash,5700,1,3,3,541.5008333333334,0,0,0,1
lodash/lodash,5699,1,15,15,541.5127777777777,0,0,0,1
lodash/lodash,5698,1,8,8,541.545,0,0,0,1
lodash/lodash,5697,1,11,11,541.5638888888889,0,0,0,1
lodash/lodash,5696,1,2,2,541.6027777777778,0,0,0,1
lodash/lodash,5695,1,1,1,541.6172222222223,0,0,0,1
