repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
lydiahallie/javascript-questions,799,1,5,2,2.5969444444444445,310,0,0,1
lydiahallie/javascript-questions,772,2,62,0,304.70416666666665,375,0,0,1
lydiahallie/javascript-questions,768,0,0,0,554.5166666666667,7,0,1,2
lydiahallie/javascript-questions,767,1,31,31,860.1769444444444,37,0,1,2
lydiahallie/javascript-questions,763,1,17,0,2307.0844444444447,95,0,0,1
lydiahallie/javascript-questions,762,1,2,2,2330.608333333333,68,0,2,3
lydiahallie/javascript-questions,760,1,1,1,2494.2522222222224,331,0,2,3
lydiahallie/javascript-questions,757,1,846,4,695.4147222222222,92,0,1,2
lydiahallie/javascript-questions,756,1,1,0,732.85,65,0,0,1
lydiahallie/javascript-questions,754,1,1,1,1.3194444444444444,0,0,1,2
lydiahallie/javascript-questions,753,1,2,2,240.76722222222222,122,0,0,1
lydiahallie/javascript-questions,752,1,1,1,1377.1441666666667,0,0,2,3
lydiahallie/javascript-questions,751,1,9,9,1484.3266666666666,0,0,1,2
lydiahallie/javascript-questions,750,1,80,0,4345.84,179,0,1,2
lydiahallie/javascript-questions,749,2,629,629,100.57333333333334,170,0,1,2
lydiahallie/javascript-questions,748,1,13,10,25.148333333333333,0,0,1,2
lydiahallie/javascript-questions,745,1,3,3,280.22083333333336,105,0,1,2
lydiahallie/javascript-questions,743,20,5168,1,448.625,235,0,1,2
lydiahallie/javascript-questions,742,1,1,1,818.6686111111111,146,0,2,2
lydiahallie/javascript-questions,740,1,13,13,381.9472222222222,0,0,2,3
lydiahallie/javascript-questions,739,2,179,0,1039.7413888888889,0,0,1,1
lydiahallie/javascript-questions,738,19,5170,7,57.04361111111111,872,0,8,2
lydiahallie/javascript-questions,737,1,1,1,8.86888888888889,42,0,1,2
lydiahallie/javascript-questions,736,1,146,0,1471.6766666666667,720,0,1,2
lydiahallie/javascript-questions,735,1,3,1,78.48194444444445,0,0,1,2
lydiahallie/javascript-questions,734,2,113,0,118.24972222222222,86,0,0,1
lydiahallie/javascript-questions,733,1,589,0,161.9572222222222,0,0,1,2
lydiahallie/javascript-questions,732,2,14,14,147.33,0,0,1,2
lydiahallie/javascript-questions,731,18,610,18,174.19805555555556,132,0,1,2
lydiahallie/javascript-questions,730,18,383,0,1.7216666666666667,277,0,2,2
lydiahallie/javascript-questions,727,1,1,1,227.65083333333334,80,0,2,3
lydiahallie/javascript-questions,725,1,8,8,351.0519444444444,191,0,1,2
lydiahallie/javascript-questions,722,1,1,1,297.16527777777776,244,0,1,2
lydiahallie/javascript-questions,716,1,1,0,44.74527777777778,108,0,0,1
lydiahallie/javascript-questions,713,1,45,6,277.5155555555556,0,0,1,2
lydiahallie/javascript-questions,708,1,3,2,179.27777777777777,0,0,1,2
lydiahallie/javascript-questions,707,1,34,0,5929.511666666666,91,0,4,3
lydiahallie/javascript-questions,705,1,8,3,307.49916666666667,41,0,1,2
lydiahallie/javascript-questions,703,1,1,1,526.3038888888889,24,0,1,2
lydiahallie/javascript-questions,702,1,802,156,868.1869444444444,65,0,1,2
lydiahallie/javascript-questions,698,1,40,6,1105.81,2629,0,2,3
lydiahallie/javascript-questions,697,1,1,1,1233.653611111111,46,0,1,2
lydiahallie/javascript-questions,696,1,1,1,306.20722222222224,50,0,2,3
lydiahallie/javascript-questions,695,1,1,1,398.78027777777777,0,0,1,2
lydiahallie/javascript-questions,692,1,1,1,574.9769444444445,0,0,1,2
lydiahallie/javascript-questions,690,1,2,2,619.4477777777778,177,0,1,2
lydiahallie/javascript-questions,686,1,6,6,2496.1680555555554,496,0,5,3
lydiahallie/javascript-questions,685,1,1297,613,2668.5833333333335,0,0,1,2
lydiahallie/javascript-questions,683,1,1,1,1702.815,0,0,1,2
lydiahallie/javascript-questions,682,1,3,3,2020.0230555555556,26,0,2,3
lydiahallie/javascript-questions,681,1,68,5,2211.438611111111,159,0,2,2
lydiahallie/javascript-questions,680,16,272,272,181.4275,143,0,1,2
lydiahallie/javascript-questions,679,1,1,1,234.97666666666666,32,0,0,1
lydiahallie/javascript-questions,678,1,51,0,9474.579444444444,0,0,2,3
lydiahallie/javascript-questions,677,1,117,11,352.75555555555553,0,0,1,2
lydiahallie/javascript-questions,676,1,48,67,356.2583333333333,111,0,1,2
lydiahallie/javascript-questions,675,1,3,3,539.2,271,0,1,2
lydiahallie/javascript-questions,673,19,20,20,827.3163888888889,69,0,1,2
lydiahallie/javascript-questions,670,1,5,5,4519.213055555556,110,0,1,2
lydiahallie/javascript-questions,669,1,347,52,1405.835,0,0,1,2
lydiahallie/javascript-questions,665,1,3,3,86.01416666666667,63,0,0,1
lydiahallie/javascript-questions,664,1,0,0,5193.910833333333,102,0,3,2
lydiahallie/javascript-questions,661,1,1,1,94.52388888888889,118,0,1,2
lydiahallie/javascript-questions,660,17,5154,0,240.19861111111112,214,0,1,2
lydiahallie/javascript-questions,659,1,1,1,368.8038888888889,55,0,1,2
lydiahallie/javascript-questions,657,1,1,1,48.54333333333334,12,0,0,1
lydiahallie/javascript-questions,656,1,1,1,677.2994444444445,0,0,1,2
lydiahallie/javascript-questions,654,1,220,220,1395.7830555555556,92,0,1,2
lydiahallie/javascript-questions,653,1,2,2,1396.9333333333334,55,0,1,2
lydiahallie/javascript-questions,651,1,4,4,4009.661111111111,209,0,3,3
lydiahallie/javascript-questions,649,1,1,0,4164.9638888888885,0,0,1,2
lydiahallie/javascript-questions,648,1,1,1,3122.8777777777777,16,0,1,2
lydiahallie/javascript-questions,645,7,415,281,8492.989166666666,538,0,1,2
lydiahallie/javascript-questions,641,1,7,7,129.8336111111111,0,0,1,2
lydiahallie/javascript-questions,639,2,32,32,5731.670277777778,88,0,1,2
lydiahallie/javascript-questions,638,1,1,1,507.1458333333333,69,0,1,2
lydiahallie/javascript-questions,637,1,1,1,519.9088888888889,0,0,3,4
lydiahallie/javascript-questions,633,1,17,17,689.7513888888889,312,0,1,2
lydiahallie/javascript-questions,631,1,2,1,895.9852777777778,101,0,2,3
lydiahallie/javascript-questions,630,16,256,256,3369.9191666666666,56,0,0,1
lydiahallie/javascript-questions,628,1,4,2,10283.226111111111,67,0,2,3
lydiahallie/javascript-questions,625,2,10,6,707.5955555555555,0,0,1,2
lydiahallie/javascript-questions,624,1,1,1,868.2513888888889,238,0,1,2
lydiahallie/javascript-questions,623,1,24,0,16785.773333333334,0,0,0,1
lydiahallie/javascript-questions,621,1,28,0,7927.2636111111115,42,0,1,2
lydiahallie/javascript-questions,620,1,3,3,22.033333333333335,0,0,0,1
lydiahallie/javascript-questions,610,1,61,0,131.73638888888888,0,0,0,1
lydiahallie/javascript-questions,609,1,1,1,1.3402777777777777,8,0,1,2
lydiahallie/javascript-questions,608,1,4,0,6498.518611111111,205,0,0,1
lydiahallie/javascript-questions,606,1,1,1,246.42388888888888,69,0,1,2
lydiahallie/javascript-questions,604,1,1,1,8443.771944444445,365,0,2,2
lydiahallie/javascript-questions,603,1,2,2,6745.852222222222,287,0,0,1
lydiahallie/javascript-questions,602,1,1,1,6766.6113888888885,296,0,0,1
lydiahallie/javascript-questions,601,1,1,1,6790.823055555556,155,0,0,1
lydiahallie/javascript-questions,598,1,1,1,6810.7283333333335,364,0,1,2
