repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
macrozheng/mall,655,1,2,2,110.05416666666666,7,0,0,1
macrozheng/mall,653,1,2,2,114.7275,46,0,0,1
macrozheng/mall,646,8,59,15,341.7313888888889,0,0,0,1
macrozheng/mall,642,1,82,81,8.835277777777778,0,0,0,1
macrozheng/mall,628,1,2,1,2774.494166666667,27,0,0,1
macrozheng/mall,615,10,22,10,90.78555555555556,11,0,0,1
macrozheng/mall,614,30,147,145,4338.368888888889,945,0,0,1
macrozheng/mall,610,30,147,145,4505.240277777778,95,0,0,1
macrozheng/mall,590,2,2,1,10862.82138888889,94,0,0,1
macrozheng/mall,580,1,28,10,15640.072777777777,0,0,0,1
macrozheng/mall,572,2,6,1,1489.5125,0,0,0,1
macrozheng/mall,562,1,1,1,1323.3230555555556,11,0,0,1
macrozheng/mall,557,4,10,0,68.85111111111111,0,0,0,1
macrozheng/mall,552,30,52,35,5104.856388888889,14,0,0,1
macrozheng/mall,547,1,5,0,1895.95,0,0,0,1
macrozheng/mall,545,0,0,0,1656.3036111111112,5,0,0,1
macrozheng/mall,543,1,2,2,167.70138888888889,0,0,0,1
macrozheng/mall,542,0,0,0,232.18944444444443,2,0,0,1
macrozheng/mall,537,1,2,2,891.9758333333333,34,0,0,1
macrozheng/mall,528,10,56,54,22389.564444444444,0,0,0,1
macrozheng/mall,523,1,2,2,3142.257777777778,0,0,0,1
macrozheng/mall,520,1,1,1,1229.1422222222222,0,0,0,1
macrozheng/mall,517,0,0,0,1606.56,0,0,0,1
macrozheng/mall,516,7,65,220,48.280833333333334,42,0,0,1
macrozheng/mall,514,1,3,1,190.80805555555557,35,0,0,1
macrozheng/mall,513,1,2,2,288.05027777777775,0,0,0,1
