repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
mermaid-js/mermaid,5972,2,4,0,24.478055555555557,958,0,1,2
mermaid-js/mermaid,5968,2,12,12,44.1175,933,0,1,2
mermaid-js/mermaid,5967,2,8,12,53.005,1081,0,1,2
mermaid-js/mermaid,5957,2,2,2,156.43138888888888,621,0,1,2
mermaid-js/mermaid,5951,2,6,6,16.247777777777777,890,0,1,1
mermaid-js/mermaid,5945,7,217,98,25.108888888888888,970,0,4,3
mermaid-js/mermaid,5942,4,610,331,13.446944444444444,1411,0,0,1
mermaid-js/mermaid,5940,5,72,15,43.52,0,0,0,1
mermaid-js/mermaid,5939,1,1460,416,20.2525,3705,0,0,1
mermaid-js/mermaid,5938,1,1609,473,20.24361111111111,13524,0,0,1
mermaid-js/mermaid,5937,8,74,10,44.96194444444444,1210,0,11,3
mermaid-js/mermaid,5936,2,1628,3310,31.372222222222224,4373,0,0,1
mermaid-js/mermaid,5935,1,1455,524,31.04138888888889,7347,0,0,1
mermaid-js/mermaid,5933,3,13,8,88.11,1058,0,0,1
mermaid-js/mermaid,5925,6,1034,59,87.42472222222223,968,0,1,2
mermaid-js/mermaid,5924,9,223,107,134.21527777777777,931,0,2,2
mermaid-js/mermaid,5923,30,536,343,133.3375,1011,0,2,3
mermaid-js/mermaid,5920,3,15,9,1.0172222222222222,1103,0,0,1
mermaid-js/mermaid,5918,2,2,2,360.05055555555555,806,0,1,2
mermaid-js/mermaid,5916,2,34,0,10.075,904,0,0,1
mermaid-js/mermaid,5909,1,165,140,74.48916666666666,5976,0,0,1
mermaid-js/mermaid,5893,2,12,0,2.056111111111111,1082,0,0,1
mermaid-js/mermaid,5891,1,36,0,25.19972222222222,975,0,0,1
mermaid-js/mermaid,5888,1,220,134,41.09861111111111,12468,0,0,1
mermaid-js/mermaid,5887,1,319,83,41.664722222222224,7753,0,0,1
mermaid-js/mermaid,5874,1,7,0,347.6488888888889,209,0,0,1
mermaid-js/mermaid,5870,8,11,17,2.9522222222222223,1422,0,0,1
mermaid-js/mermaid,5863,1,181,137,4.0475,2151,0,0,1
mermaid-js/mermaid,5853,1,1,1,129.1963888888889,1326,0,0,1
mermaid-js/mermaid,5849,5,256,37,564.5647222222223,977,0,3,3
mermaid-js/mermaid,5844,20,1011,22,50.15,975,0,6,2
mermaid-js/mermaid,5840,1,161,455,174.88555555555556,24937,0,0,1
mermaid-js/mermaid,5838,30,72,83,18.063055555555554,1207,0,1,2
