repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
microsoft/ML-For-Beginners,765,1,108,87,676.1988888888889,14576,0,0,1
microsoft/ML-For-Beginners,755,1,1,0,2.8933333333333335,0,0,1,1
microsoft/ML-For-Beginners,748,1,6,6,2043.5069444444443,3016,0,0,1
microsoft/ML-For-Beginners,747,1,15,13,2057.4416666666666,4373,0,0,1
microsoft/ML-For-Beginners,744,1,12,12,26.370833333333334,5637,0,1,2
microsoft/ML-For-Beginners,740,2,9,0,42.193333333333335,0,0,0,1
microsoft/ML-For-Beginners,739,2,3,3,101.52416666666667,866,0,1,2
microsoft/ML-For-Beginners,737,1,2827,0,201.23333333333332,0,0,1,2
microsoft/ML-For-Beginners,732,2,8706,15437,717.6291666666667,29246,0,1,2
microsoft/ML-For-Beginners,730,1,66,0,1202.9030555555555,0,0,2,2
microsoft/ML-For-Beginners,729,1,5,5,1393.3927777777778,60,0,1,2
microsoft/ML-For-Beginners,728,1,424,233,1569.4416666666666,11909,0,1,2
microsoft/ML-For-Beginners,726,2,8566,15303,1625.6158333333333,37596,0,0,1
microsoft/ML-For-Beginners,725,0,0,0,1623.7733333333333,0,0,0,1
microsoft/ML-For-Beginners,724,1,6,6,1627.5738888888889,4267,0,0,1
microsoft/ML-For-Beginners,723,1,4,4,1965.3119444444444,79,0,1,2
microsoft/ML-For-Beginners,722,1,1,1,1770.4505555555556,457,0,1,2
microsoft/ML-For-Beginners,721,1,6,6,1631.4469444444444,3831,0,0,1
microsoft/ML-For-Beginners,718,1,1,1,1621.0322222222221,14,0,0,1
microsoft/ML-For-Beginners,714,1,1,1,1620.3877777777777,368,0,0,1
microsoft/ML-For-Beginners,713,1,1,1,1621.243888888889,98,0,0,1
microsoft/ML-For-Beginners,712,26,78,0,1626.1022222222223,227,0,0,1
microsoft/ML-For-Beginners,711,1,1,1,1610.7891666666667,0,0,0,1
microsoft/ML-For-Beginners,710,1,1,1,1651.7811111111112,39,0,0,1
microsoft/ML-For-Beginners,709,1,1,1,1653.4988888888888,19,0,0,1
microsoft/ML-For-Beginners,708,1,2,2,1610.5408333333332,330,0,0,1
microsoft/ML-For-Beginners,707,1,2,2,2018.2641666666666,0,0,1,2
microsoft/ML-For-Beginners,706,1,1,1,1611.476111111111,331,0,0,1
microsoft/ML-For-Beginners,703,1,1,1,1634.381388888889,378,0,0,1
microsoft/ML-For-Beginners,701,1,1,1,1640.0097222222223,408,0,0,1
microsoft/ML-For-Beginners,700,1,1,1,1641.0436111111112,29,0,0,1
microsoft/ML-For-Beginners,699,1,1,1,1668.4955555555555,491,0,0,1
microsoft/ML-For-Beginners,694,1,188,28,2159.349722222222,0,0,4,2
microsoft/ML-For-Beginners,692,1,2,2,2118.9,731,0,3,3
microsoft/ML-For-Beginners,689,1,1,1,2367.2391666666667,167,0,0,1
microsoft/ML-For-Beginners,686,1,33,30,2582.9891666666667,8306,0,0,1
microsoft/ML-For-Beginners,685,1,4,5,2773.9269444444444,19405,0,0,1
microsoft/ML-For-Beginners,684,1,236,134,2829.2575,18963,0,0,1
microsoft/ML-For-Beginners,683,2,8313,15478,3124.485,35583,0,0,1
microsoft/ML-For-Beginners,679,3,18,1,1616.8805555555555,180,0,0,1
microsoft/ML-For-Beginners,678,1,3,3,2834.256388888889,82,0,3,3
microsoft/ML-For-Beginners,677,1,5,3,2572.8380555555555,157,0,0,1
microsoft/ML-For-Beginners,674,1,6,6,1613.221388888889,6067,0,0,1
microsoft/ML-For-Beginners,673,1,1,1,1651.4744444444445,190,0,0,1
