repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
microsoft/PowerToys,35535,1,5,0,21.135833333333334,1839,0,1,2
microsoft/PowerToys,35528,7,17,3,7.230555555555555,414,0,1,2
microsoft/PowerToys,35520,3,10,2,40.198055555555555,861,0,3,4
microsoft/PowerToys,35500,4,23,2,65.54333333333334,2267,0,2,2
microsoft/PowerToys,35465,1,4,4,104.64833333333333,1554,0,1,2
microsoft/PowerToys,35464,2,13,3,105.4675,1690,0,1,2
microsoft/PowerToys,35462,1,31,7,38.68861111111111,2220,0,1,2
microsoft/PowerToys,35459,6,27,9,113.3788888888889,865,0,5,4
microsoft/PowerToys,35455,3,26,5,160.9322222222222,2069,0,1,2
microsoft/PowerToys,35447,2,2,2,67.30972222222222,81,0,1,2
microsoft/PowerToys,35427,3,47,33,216.12333333333333,2060,0,1,2
microsoft/PowerToys,35426,5,18,11,4.921666666666667,566,0,2,3
microsoft/PowerToys,35381,8,16,16,14.985555555555555,1863,0,2,3
microsoft/PowerToys,35380,1,10,10,20.500833333333333,448,0,2,3
microsoft/PowerToys,35379,1,0,1,20.416944444444443,310,0,1,2
microsoft/PowerToys,35367,5,8,3,24.26,3257,0,1,2
microsoft/PowerToys,35353,28,15,303,28.014444444444443,1839,0,1,2
microsoft/PowerToys,35352,3,3,0,8.1,989,0,1,2
microsoft/PowerToys,35297,26,399,138,160.30694444444444,2307,0,2,2
microsoft/PowerToys,35296,1,9,9,2.7058333333333335,1726,0,1,2
microsoft/PowerToys,35275,1,1,0,112.58416666666666,119,0,1,2
microsoft/PowerToys,35256,1,10,2,168.84777777777776,2607,0,1,2
microsoft/PowerToys,35248,30,36,1,320.0913888888889,1817,0,1,2
microsoft/PowerToys,35237,1,14,5,3.0083333333333333,1800,0,1,2
microsoft/PowerToys,35235,1,3,3,362.605,1911,0,2,3
microsoft/PowerToys,35233,1,13,0,4.551666666666667,1902,0,1,2
microsoft/PowerToys,35221,2,3,1,117.14805555555556,326,0,1,2
microsoft/PowerToys,35183,1,1,0,397.985,261,0,1,2
microsoft/PowerToys,35176,1,1,1,400.69138888888887,1159,0,2,3
microsoft/PowerToys,35167,30,1145,532,408.37583333333333,1501,0,2,2
microsoft/PowerToys,35156,30,936,818,424.99,6311,0,2,2
microsoft/PowerToys,35145,6,93,80,1.5486111111111112,514,0,1,2
microsoft/PowerToys,35140,2,10,1,2.004166666666667,1805,0,3,2
microsoft/PowerToys,35139,2,16,16,2.5255555555555556,2552,0,1,2
microsoft/PowerToys,35122,30,49,18,608.2280555555556,3163,0,3,2
microsoft/PowerToys,35113,1,0,7,51.20361111111111,2014,0,1,2
microsoft/PowerToys,35105,1,9,18,16.706944444444446,2068,0,4,2
microsoft/PowerToys,35101,4,80,126,5.1075,2013,0,3,2
microsoft/PowerToys,35100,4,5,5,3.4097222222222223,66,0,2,3
microsoft/PowerToys,35095,1,79,61,99.69388888888889,263,0,6,5
microsoft/PowerToys,35087,2,4,1,11.129722222222222,106,0,2,3
microsoft/PowerToys,35085,1,3,3,12.061388888888889,166,0,1,2
microsoft/PowerToys,35084,1,23,8,516.8525,2861,0,1,2
microsoft/PowerToys,35080,1,9,0,5.296944444444445,1726,0,1,2
microsoft/PowerToys,35076,1,81,147,541.9819444444445,4477,0,10,3
microsoft/PowerToys,35073,4,28,66,546.9461111111111,1738,0,1,2
microsoft/PowerToys,35072,2,2,0,15.518055555555556,1815,0,1,2
microsoft/PowerToys,35070,1,5,5,1.1997222222222221,0,0,2,2
microsoft/PowerToys,35066,1,6,0,1.8316666666666668,1848,0,1,2
microsoft/PowerToys,35064,4,69,64,1.4027777777777777,1837,0,1,2
microsoft/PowerToys,35059,6,56,13,332.7577777777778,1946,0,1,2
microsoft/PowerToys,35047,3,49,34,12.05,1655,0,1,2
microsoft/PowerToys,35036,1,1,1,20.433611111111112,1090,0,1,2
microsoft/PowerToys,35026,5,54,11,20.185833333333335,1864,0,1,2
microsoft/PowerToys,35018,1,31,0,47.72027777777778,1884,0,1,2
microsoft/PowerToys,35006,1,1,0,20.030277777777776,1799,0,1,2
microsoft/PowerToys,35002,1,34,23,25.088055555555556,1869,0,1,2
microsoft/PowerToys,35000,10,87,5,52.46666666666667,1955,0,2,2
microsoft/PowerToys,34999,2,3,3,25.932777777777776,2177,0,1,2
microsoft/PowerToys,34991,2,19,3,46.98583333333333,2450,0,1,2
microsoft/PowerToys,34985,3,246,240,70.62222222222222,263,0,1,2
microsoft/PowerToys,34984,25,1268,1261,113.58083333333333,3108,0,10,5
microsoft/PowerToys,34971,30,447,24,143.55638888888888,1727,0,9,5
microsoft/PowerToys,34965,30,655,756,138.69444444444446,2114,0,3,3
microsoft/PowerToys,34948,3,84,11,196.54916666666668,1836,0,3,2
microsoft/PowerToys,34912,1,4,2,46.094166666666666,494,0,2,3
microsoft/PowerToys,34905,1,40,33,194.8672222222222,1773,0,1,2
microsoft/PowerToys,34853,30,32,0,94.51944444444445,1821,0,3,3
microsoft/PowerToys,34848,3,2,8,688.5802777777777,1802,0,0,1
microsoft/PowerToys,34845,4,14,31,308.92555555555555,1409,0,1,2
microsoft/PowerToys,34844,1,1,1,2.9675,1698,0,3,2
microsoft/PowerToys,34824,4,58,5,948.6261111111111,3876,0,1,2
microsoft/PowerToys,34821,4,9,41,19.624444444444446,2365,0,1,2
microsoft/PowerToys,34819,1,11,0,3.5205555555555557,164,0,6,4
microsoft/PowerToys,34802,1,4,1,215.1977777777778,2715,0,1,2
microsoft/PowerToys,34753,1,8,8,16.62472222222222,1726,0,1,2
microsoft/PowerToys,34747,1,3,3,353.5488888888889,1756,0,1,2
microsoft/PowerToys,34718,2,30,6,353.67833333333334,3035,0,1,2
microsoft/PowerToys,34717,6,259,230,427.5988888888889,26,0,3,4
microsoft/PowerToys,34689,2,10,1,398.0361111111111,1297,0,1,2
microsoft/PowerToys,34640,1,3,1,5.556666666666667,1836,0,1,2
microsoft/PowerToys,34627,1,43,3,2.596388888888889,1728,0,2,2
microsoft/PowerToys,34622,30,71,41,155.28,1968,0,8,5
microsoft/PowerToys,34602,1,17,0,18.282777777777778,1913,0,3,2
microsoft/PowerToys,34600,1,1,1,11.809444444444445,1817,0,1,2
microsoft/PowerToys,34596,1,1,1,21.716944444444444,1773,0,2,3
microsoft/PowerToys,34564,4,34,7,474.1816666666667,2630,0,4,3
microsoft/PowerToys,34553,2,10,1,54.526666666666664,2513,0,1,2
microsoft/PowerToys,34551,2,15,6,32.70472222222222,2409,0,0,1
microsoft/PowerToys,34544,9,135,330,497.60833333333335,6763,0,1,2
microsoft/PowerToys,34536,7,31,22,13.06611111111111,1926,0,0,1
microsoft/PowerToys,34534,3,7,6,1.0072222222222222,1821,0,2,3
microsoft/PowerToys,34533,1,1,0,2.738611111111111,1828,0,2,3
microsoft/PowerToys,34505,1,8,0,12.681111111111111,510,0,1,2
microsoft/PowerToys,34504,1,1,1,399.27916666666664,2047,0,2,3
microsoft/PowerToys,34497,7,84,38,7.6819444444444445,1899,0,2,3
microsoft/PowerToys,34484,2,3,6,436.54027777777776,3435,0,4,4
microsoft/PowerToys,34475,1,3,3,1.0944444444444446,1760,0,1,2
microsoft/PowerToys,34468,2,3,3,14.551111111111112,1792,0,2,3
microsoft/PowerToys,34465,1,1,1,23.125,1726,0,1,2
