repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
microsoft/TypeScript,60328,7,78,5,10.338333333333333,58,0,2,3
microsoft/TypeScript,60323,6,86,24,12.891666666666667,58,0,0,1
microsoft/TypeScript,60321,6,156,23,3.0991666666666666,189,0,2,3
microsoft/TypeScript,60313,5,153,3,30.63388888888889,587,0,2,2
microsoft/TypeScript,60304,7,789,10,28.36138888888889,547,0,1,2
microsoft/TypeScript,60303,3,11,1,2.053888888888889,161,0,3,4
microsoft/TypeScript,60295,2,4,4,20.84611111111111,9434,0,1,2
microsoft/TypeScript,60262,30,680,280,18.264444444444443,1090,0,1,2
microsoft/TypeScript,60240,19,57,32,18.393333333333334,1349,0,5,2
microsoft/TypeScript,60238,2,62,38,189.54861111111111,1047,0,1,2
microsoft/TypeScript,60236,2,24,3,1.9458333333333333,809,0,2,3
microsoft/TypeScript,60228,19,189,179,17.854444444444443,906,0,1,2
microsoft/TypeScript,60226,4,175,1,20.537222222222223,294,0,1,2
microsoft/TypeScript,60225,4,134,1,27.890555555555554,14,0,1,2
microsoft/TypeScript,60224,6,105,11,1.2866666666666666,159,0,5,2
microsoft/TypeScript,60218,15,39,39,17.404166666666665,25864,0,1,2
microsoft/TypeScript,60203,5,48,2,58.608333333333334,484,0,1,2
microsoft/TypeScript,60195,8,133,14,24.88,121,0,4,2
microsoft/TypeScript,60191,2,26,1,97.57083333333334,12,0,1,2
microsoft/TypeScript,60183,7,364,3,198.03055555555557,58,0,1,2
microsoft/TypeScript,60169,1,2,2,1.3577777777777778,118,0,1,2
microsoft/TypeScript,60160,3,6,6,40.71083333333333,32292,0,1,2
microsoft/TypeScript,60157,1,2,2,23.855,52,0,1,2
microsoft/TypeScript,60152,2,32,0,29.074166666666667,13,0,1,2
microsoft/TypeScript,60147,12,1008,144,79.50694444444444,114,0,1,2
microsoft/TypeScript,60146,1,13,13,31.998333333333335,282,0,0,1
microsoft/TypeScript,60143,1,6,5,66.54277777777777,372,0,1,2
microsoft/TypeScript,60136,4,21,21,93.4475,14,0,1,2
microsoft/TypeScript,60129,6,279,1,201.9922222222222,58,0,3,2
microsoft/TypeScript,60122,7,23,102,45.577222222222225,800,0,9,4
microsoft/TypeScript,60109,3,1,6,1.025,37,0,1,2
