repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
microsoft/playwright,33270,2,2,1,1.4136111111111112,0,0,1,2
microsoft/playwright,33269,7,10,1,4.319166666666667,251,0,1,2
microsoft/playwright,33266,5,42,8,1.936388888888889,101,0,1,2
microsoft/playwright,33261,5,23,12,1.388611111111111,0,0,1,2
microsoft/playwright,33260,3,61,36,1.4016666666666666,0,0,1,2
microsoft/playwright,33259,4,52,3,3.2827777777777776,0,0,1,2
microsoft/playwright,33256,13,245,74,23.185,0,0,3,2
microsoft/playwright,33252,4,4,0,2.222777777777778,61,0,2,3
microsoft/playwright,33249,2,46,56,7.978888888888889,0,0,1,2
microsoft/playwright,33245,3,61,36,4.5761111111111115,197,0,1,2
microsoft/playwright,33244,5,23,12,5.148055555555556,190,0,1,2
microsoft/playwright,33242,4,32,5,23.037777777777777,52,0,2,2
microsoft/playwright,33240,4,41,3,7.759444444444444,318,0,1,2
microsoft/playwright,33229,3,9,3,5.2186111111111115,0,0,1,2
microsoft/playwright,33228,12,77,18,45.437777777777775,111,0,6,2
microsoft/playwright,33226,1,11,1,26.185833333333335,1127,0,3,2
microsoft/playwright,33225,8,10,98,21.039722222222224,146,0,1,2
microsoft/playwright,33224,1,2,2,1.1366666666666667,0,0,0,1
microsoft/playwright,33223,12,194,93,21.251944444444444,1134,0,0,1
microsoft/playwright,33222,1,68,10,1.605,214,0,4,2
microsoft/playwright,33221,1,1,1,1.2419444444444445,60,0,1,2
microsoft/playwright,33213,4,58,87,17.673055555555557,0,0,2,2
microsoft/playwright,33212,9,534,51,4.158888888888889,0,0,1,2
microsoft/playwright,33208,2,44,7,65.4075,310,0,9,2
microsoft/playwright,33207,4,8,8,1.6608333333333334,52,0,1,2
microsoft/playwright,33198,5,20,6,24.842777777777776,25,0,2,2
microsoft/playwright,33195,2,16,1,2.402222222222222,59,0,1,2
microsoft/playwright,33189,1,1,1,5.241944444444444,1615,0,2,2
microsoft/playwright,33188,1,4,2,34.388888888888886,0,0,1,2
microsoft/playwright,33184,6,331,78,17.43638888888889,0,0,0,1
microsoft/playwright,33183,12,274,42,66.48833333333333,0,0,1,2
microsoft/playwright,33182,5,228,121,3.598888888888889,0,0,2,2
microsoft/playwright,33176,7,7,7,1.3033333333333332,0,0,1,2
microsoft/playwright,33175,4,7,74,81.59166666666667,0,0,0,1
microsoft/playwright,33170,1,2,2,2.2911111111111113,0,0,0,1
microsoft/playwright,33169,12,221,142,19.116944444444446,0,0,1,2
microsoft/playwright,33168,1,16,9,174.86583333333334,775,0,2,2
microsoft/playwright,33167,17,339,139,5.5377777777777775,0,0,1,2
microsoft/playwright,33163,5,168,72,19.280277777777776,0,0,0,1
microsoft/playwright,33162,4,36,7,3.0280555555555555,13,0,3,3
microsoft/playwright,33161,1,1,1,1.9719444444444445,212,0,1,2
microsoft/playwright,33160,1,0,1,2.2291666666666665,65,0,2,2
microsoft/playwright,33157,10,1094,124,23.24388888888889,0,0,3,3
microsoft/playwright,33153,1,19,19,11.407777777777778,62,0,1,2
microsoft/playwright,33142,4,1034,358,20.155833333333334,210,0,3,2
microsoft/playwright,33140,4,8,8,57.9325,44,0,1,2
microsoft/playwright,33138,1,76,165,26.666944444444443,0,0,1,2
microsoft/playwright,33128,2,11,4,19.474166666666665,949,0,0,1
microsoft/playwright,33127,2,33,25,178.1938888888889,740,0,0,1
microsoft/playwright,33125,13,199,5,2.187222222222222,0,0,2,2
microsoft/playwright,33119,9,152,6,167.14833333333334,808,0,11,2
microsoft/playwright,33117,1,2,2,3.7977777777777777,0,0,0,1
microsoft/playwright,33114,5,19,7,69.77333333333333,793,0,1,2
microsoft/playwright,33113,3,18,4,2.6905555555555556,0,0,1,2
microsoft/playwright,33112,2,25,0,2.778888888888889,0,0,1,2
