repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
microsoft/terminal,18054,3,3,3,6.110555555555556,1096,0,0,1
microsoft/terminal,18053,1,1,1,8.680555555555555,356,0,0,1
microsoft/terminal,18051,1,27,11,44.485277777777775,651,0,5,4
microsoft/terminal,18031,15,1250,2,282.455,13,0,2,3
microsoft/terminal,18030,1,3,1,1.8816666666666666,613,0,3,3
microsoft/terminal,18022,1,4,4,20.33861111111111,616,0,3,3
microsoft/terminal,18021,1,1,0,23.636111111111113,727,0,5,3
microsoft/terminal,18018,4,26,50,285.62305555555554,0,0,2,3
microsoft/terminal,18010,4,47,16,366.76916666666665,670,0,2,3
microsoft/terminal,18009,7,108,11,179.19666666666666,347,0,30,6
microsoft/terminal,18001,2,148,32,269.52805555555557,1066,0,1,2
microsoft/terminal,17994,1,9,4,481.1275,634,0,8,4
microsoft/terminal,17993,2,3,1,25.4025,96,0,1,2
microsoft/terminal,17989,3,5,6,22.06388888888889,68,0,2,3
microsoft/terminal,17966,2,26,0,114.73583333333333,0,0,1,2
microsoft/terminal,17965,12,1760,40,623.1130555555555,635,0,9,5
microsoft/terminal,17961,3,6,5,20.96361111111111,726,0,2,3
microsoft/terminal,17960,1,14,10,5.695277777777778,150,0,3,3
microsoft/terminal,17958,16,334,22,46.028055555555554,43,0,2,2
microsoft/terminal,17954,1,23,6,23.981944444444444,276,0,4,3
microsoft/terminal,17953,28,399,255,30.147222222222222,512,0,5,3
microsoft/terminal,17951,1,10,2,49.71333333333333,1046,0,2,3
microsoft/terminal,17945,21,304,136,382.76472222222225,1387,0,10,3
microsoft/terminal,17933,9,142,82,166.10944444444445,352,0,4,3
microsoft/terminal,17929,1,1,1,17.48777777777778,48,0,1,2
microsoft/terminal,17923,16,175,24,673.6497222222222,420,0,19,4
microsoft/terminal,17912,1,10,1,329.9191666666667,94,0,4,3
microsoft/terminal,17910,4,26,5,143.08277777777778,1115,0,4,3
microsoft/terminal,17905,2,30,13,317.8227777777778,422,0,3,3
microsoft/terminal,17895,30,489,30,720.5866666666667,958,0,21,5
microsoft/terminal,17888,1,1,0,42.27333333333333,9,0,2,3
microsoft/terminal,17886,1,2,2,69.98638888888888,484,0,2,3
microsoft/terminal,17885,9,32,48,362.10833333333335,713,0,2,3
microsoft/terminal,17884,7,24,49,362.2894444444444,517,0,3,3
microsoft/terminal,17881,1,1,0,11.860277777777778,123,0,2,3
microsoft/terminal,17879,9,67,2,187.52333333333334,1335,0,6,3
microsoft/terminal,17872,9,18,40,67.4413888888889,318,0,2,3
microsoft/terminal,17853,4,63,43,70.78444444444445,313,0,3,3
microsoft/terminal,17852,2,3,3,28.400555555555556,739,0,2,3
microsoft/terminal,17849,1,21,19,33.46805555555556,272,0,2,3
microsoft/terminal,17848,1,13,1,76.00805555555556,61,0,2,3
microsoft/terminal,17845,2,15,1,74.91416666666667,1517,0,3,4
microsoft/terminal,17833,6,29,24,117.73777777777778,747,0,8,4
microsoft/terminal,17829,21,147,130,953.3583333333333,1410,0,6,3
microsoft/terminal,17828,2,19,0,2.7955555555555556,2432,0,4,3
microsoft/terminal,17826,2,463,390,3.507222222222222,216,0,2,3
microsoft/terminal,17821,1,80,40,21.309722222222224,448,0,6,6
microsoft/terminal,17820,5,13,0,210.20222222222222,427,0,7,4
microsoft/terminal,17802,1,1,1,1.7116666666666667,747,0,3,4
microsoft/terminal,17798,2,6,6,21.53472222222222,935,0,0,1
microsoft/terminal,17795,1,1,1,73.21666666666667,167,0,2,3
microsoft/terminal,17790,1,4,4,1.4572222222222222,239,0,3,4
microsoft/terminal,17788,1,3,3,2.4305555555555554,245,0,2,3
microsoft/terminal,17786,3,26,22,3.658888888888889,1061,0,5,3
microsoft/terminal,17783,30,135,135,17.342222222222222,371,0,4,4
microsoft/terminal,17781,6,87,6,21.714444444444446,425,0,4,4
microsoft/terminal,17779,5,25,25,19.375555555555554,1324,0,5,4
microsoft/terminal,17777,1,38,4,20.329722222222223,592,0,4,4
microsoft/terminal,17774,2,59,33,19.616944444444446,528,0,6,3
microsoft/terminal,17768,1,38,44,2.696388888888889,188,0,3,3
microsoft/terminal,17767,13,100,139,40.399166666666666,0,0,1,2
microsoft/terminal,17763,1,13,6,2.185277777777778,575,0,2,3
microsoft/terminal,17761,2,2,2,5.445555555555556,534,0,2,3
microsoft/terminal,17758,2,17,2,6.605833333333333,544,0,2,3
microsoft/terminal,17757,3,14,5,1.9633333333333334,215,0,2,3
microsoft/terminal,17756,1,139,29,10.545555555555556,610,0,3,3
microsoft/terminal,17753,4,9,6,15.780833333333334,77,0,4,3
microsoft/terminal,17751,1,11,2,1.3658333333333332,256,0,2,3
microsoft/terminal,17750,1,3,5,20.294444444444444,1063,0,3,4
microsoft/terminal,17749,1,1,1,2.8808333333333334,12,0,2,3
microsoft/terminal,17748,1,4,1,5.643888888888889,213,0,3,3
microsoft/terminal,17747,14,505,182,77.8536111111111,609,0,17,4
microsoft/terminal,17745,1,7,0,18.080555555555556,25,0,2,3
microsoft/terminal,17742,16,31,27,72.23444444444445,365,0,20,5
microsoft/terminal,17741,25,1201,1767,77.3638888888889,743,0,16,4
microsoft/terminal,17738,1,13,5,26.50027777777778,875,0,2,3
microsoft/terminal,17732,26,209,26,67.28027777777778,0,0,2,3
microsoft/terminal,17731,2,12,0,64.8163888888889,12,0,3,3
microsoft/terminal,17729,10,562,172,121.85305555555556,1697,0,11,5
microsoft/terminal,17725,12,39,106,91.47194444444445,1502,0,9,4
microsoft/terminal,17723,4,16,0,2.2030555555555558,6,0,2,2
microsoft/terminal,17721,24,248,4,347.08194444444445,254,0,8,3
microsoft/terminal,17718,1,14,1,166.45805555555555,333,0,8,4
microsoft/terminal,17715,1,8,11,165.18916666666667,770,0,16,4
microsoft/terminal,17714,12,68,51,134.97027777777777,982,0,3,3
microsoft/terminal,17710,17,123,101,9.453333333333333,691,0,4,3
microsoft/terminal,17708,9,290,0,11.461666666666666,1202,0,7,3
microsoft/terminal,17706,15,38,22,23.5325,743,0,2,3
microsoft/terminal,17705,1,1,1,17.828055555555554,0,0,2,3
microsoft/terminal,17704,6,17,42,52.90111111111111,183,0,3,3
microsoft/terminal,17696,1,5,0,119.53555555555556,580,0,5,3
microsoft/terminal,17695,6,35,43,268.30694444444447,1147,0,6,3
microsoft/terminal,17685,10,72,54,6.947222222222222,749,0,2,3
microsoft/terminal,17682,2,13,0,19.18777777777778,211,0,7,4
microsoft/terminal,17681,9,30,659,151.71555555555557,1586,0,2,3
microsoft/terminal,17680,2,11,19,5.491944444444444,1040,0,3,4
microsoft/terminal,17679,1,4,3,5.613333333333333,120,0,2,3
microsoft/terminal,17678,22,531,10,403.0805555555556,2748,0,28,5
microsoft/terminal,17676,8,369,264,70.9113888888889,1145,0,7,3
microsoft/terminal,17675,2,12,5,2.698888888888889,88,0,5,3
