repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
microsoft/vscode,232190,1,6,1,1.4422222222222223,31,0,1,2
microsoft/vscode,232189,1,27,11,1.0425,91,0,2,3
microsoft/vscode,232187,1,9,3,2.0433333333333334,344,0,2,2
microsoft/vscode,232186,1,2,3,1.745,351,0,0,1
microsoft/vscode,232183,1,1,2,2.056388888888889,662,0,1,2
microsoft/vscode,232176,1,1,1,3.251388888888889,873,0,2,3
microsoft/vscode,232172,1,2,1,3.439722222222222,344,0,1,2
microsoft/vscode,232150,1,1,2,1.1677777777777778,344,0,3,2
microsoft/vscode,232140,2,11,3,3.0080555555555555,63,0,1,2
microsoft/vscode,232135,2,97,70,2.4402777777777778,0,0,1,2
microsoft/vscode,232134,1,3,0,3.9905555555555554,369,0,2,3
microsoft/vscode,232098,15,271,6,11.834722222222222,344,0,1,2
microsoft/vscode,232082,6,95,28,4.138333333333334,344,0,1,2
microsoft/vscode,232081,3,15,14,1.4572222222222222,379,0,1,2
microsoft/vscode,232069,1,2,2,1.495,344,0,1,2
microsoft/vscode,232023,7,93,50,14.338888888888889,392,0,10,5
microsoft/vscode,232010,1,1,1,34.956944444444446,95,0,2,2
microsoft/vscode,232004,1,125,83,9.725833333333334,947,0,0,1
microsoft/vscode,232000,1,5,1,1.5877777777777777,344,0,1,2
microsoft/vscode,231991,1,2,2,14.528055555555556,344,0,1,2
microsoft/vscode,231965,1,1,11,2.1,53,0,1,2
microsoft/vscode,231928,7,29,3,2.4983333333333335,152,0,1,2
microsoft/vscode,231913,10,104,104,2.131111111111111,114,0,2,2
microsoft/vscode,231870,4,0,402,1.993611111111111,351,0,1,2
microsoft/vscode,231867,15,1060,2746,13.809444444444445,351,0,0,1
microsoft/vscode,231862,2,13,1,2.410833333333333,559,0,0,1
microsoft/vscode,231852,2,8,3,16.586388888888887,55,0,1,2
microsoft/vscode,231829,1,1,0,1.9413888888888888,351,0,0,1
microsoft/vscode,231824,10,1477,1407,1.2033333333333334,344,0,1,2
microsoft/vscode,231811,6,57,13,16.998333333333335,357,0,2,2
