repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
moby/moby,48746,3,5,7,8.579166666666667,966,0,1,2
moby/moby,48743,3,45,5,4.166388888888889,851,0,1,2
moby/moby,48742,1,2,6,16.8075,938,0,1,2
moby/moby,48741,10,57,50,18.288611111111113,151,0,2,3
moby/moby,48738,7,4,26,25.299722222222222,633,0,3,2
moby/moby,48735,30,1435,810,27.605833333333333,196,0,2,3
moby/moby,48732,16,1727,100,3.1319444444444446,464,0,1,2
moby/moby,48730,1,2,6,4.6525,990,0,1,2
moby/moby,48729,3,9,0,28.453055555555554,539,0,2,3
moby/moby,48728,2,4,15,15.623611111111112,1174,0,1,2
moby/moby,48725,1,2,13,21.25,285,0,1,2
moby/moby,48724,14,348,6,20.76861111111111,2474,0,2,3
moby/moby,48723,1,0,17,1.5325,728,0,2,3
moby/moby,48719,1,4,0,21.135833333333334,933,0,2,3
moby/moby,48717,3,45,5,4.039444444444444,1838,0,1,2
moby/moby,48716,9,58,3,37.519444444444446,203,0,3,3
moby/moby,48715,10,10,10,76.75861111111111,470,0,2,3
moby/moby,48714,3,45,5,1.6847222222222222,2766,0,2,3
moby/moby,48713,5,21,26,51.71666666666667,193,0,5,3
moby/moby,48712,2,3,9,3.006666666666667,5444,0,1,2
moby/moby,48711,5,303,1,7.202222222222222,714,0,1,2
moby/moby,48710,3,38,1,10.323333333333334,709,0,1,2
moby/moby,48708,4,57,70,12.85361111111111,1035,0,2,3
moby/moby,48707,1,38,27,20.334722222222222,224,0,2,3
moby/moby,48706,2,53,6,23.971666666666668,2855,0,9,3
moby/moby,48705,2,0,75,14.210555555555555,1241,0,2,3
moby/moby,48704,1,6,12,24.799444444444443,252,0,6,3
moby/moby,48703,8,0,52,73.14916666666667,1516,0,3,3
moby/moby,48702,3,20,3,17.164444444444445,723,0,2,3
moby/moby,48701,2,3,9,22.852777777777778,5392,0,1,2
moby/moby,48698,4,15,13,10.616388888888888,624,0,1,2
moby/moby,48697,4,23,12,10.727777777777778,553,0,1,2
moby/moby,48695,1,6,2,1.5208333333333333,793,0,1,2
moby/moby,48693,3,38,1,5.243611111111111,870,0,1,2
