repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
mtdvio/every-programmer-should-know,213,1,2,1,9.393611111111111,134,0,0,1
mtdvio/every-programmer-should-know,203,1,1,1,208.27833333333334,0,0,0,1
mtdvio/every-programmer-should-know,202,1,1,0,381.0186111111111,76,0,0,1
mtdvio/every-programmer-should-know,200,1,1,1,1026.2675,63,0,0,1
mtdvio/every-programmer-should-know,199,1,1,0,1748.875,738,0,0,1
mtdvio/every-programmer-should-know,198,1,2,0,2442.985833333333,132,0,0,1
mtdvio/every-programmer-should-know,197,1,7,5,17500.114444444444,265,0,0,1
mtdvio/every-programmer-should-know,196,1,1,1,2895.552222222222,157,0,0,1
mtdvio/every-programmer-should-know,193,1,4,0,3309.7105555555554,58,0,0,1
mtdvio/every-programmer-should-know,190,1,1,1,3357.6072222222224,0,0,0,1
mtdvio/every-programmer-should-know,189,1,1,1,2327.2058333333334,0,0,0,1
mtdvio/every-programmer-should-know,184,1,1,1,8.07638888888889,0,0,0,1
mtdvio/every-programmer-should-know,180,1,1,0,7346.519722222222,82,0,0,1
mtdvio/every-programmer-should-know,179,1,4,0,5250.587222222222,0,0,1,2
mtdvio/every-programmer-should-know,177,1,1,1,7795.384444444445,188,0,0,1
mtdvio/every-programmer-should-know,174,1,1,1,7968.754166666667,0,0,0,1
mtdvio/every-programmer-should-know,171,1,3,0,9886.281666666666,66,0,0,1
mtdvio/every-programmer-should-know,168,1,1,1,10557.084722222222,16,0,1,2
mtdvio/every-programmer-should-know,165,1,1,1,965.1780555555556,132,0,1,2
mtdvio/every-programmer-should-know,164,1,1,0,3885.113611111111,83,0,1,2
mtdvio/every-programmer-should-know,160,1,41,11,18908.959166666667,94,0,1,2
mtdvio/every-programmer-should-know,159,1,1,0,5199.516666666666,0,0,1,2
mtdvio/every-programmer-should-know,154,1,1,0,6.015,0,0,0,1
mtdvio/every-programmer-should-know,148,1,1,0,3646.788611111111,0,0,0,1
mtdvio/every-programmer-should-know,146,1,5,3,25372.84388888889,491,0,1,2
mtdvio/every-programmer-should-know,145,1,1,0,1080.026111111111,107,0,0,1
mtdvio/every-programmer-should-know,144,1,1,1,7273.589444444445,500,0,0,1
mtdvio/every-programmer-should-know,143,1,1,1,48.76638888888889,84,0,0,1
mtdvio/every-programmer-should-know,140,1,1,1,173.6025,0,0,0,1
mtdvio/every-programmer-should-know,139,1,2,0,10.016111111111112,0,0,0,1
mtdvio/every-programmer-should-know,137,1,1,0,249.05777777777777,89,0,0,1
mtdvio/every-programmer-should-know,136,0,0,0,14140.356944444444,6,0,0,1
mtdvio/every-programmer-should-know,135,1,1,0,1749.9388888888889,55,0,0,1
mtdvio/every-programmer-should-know,134,1,1,0,413.33944444444444,311,0,0,1
mtdvio/every-programmer-should-know,132,1,1,0,980.0752777777777,0,0,1,2
mtdvio/every-programmer-should-know,131,1,1,0,43654.5325,64,0,1,2
mtdvio/every-programmer-should-know,130,1,1,0,1454.756111111111,108,0,0,1
mtdvio/every-programmer-should-know,128,1,1,1,504.11583333333334,0,0,0,1
mtdvio/every-programmer-should-know,127,1,1,1,1903.6672222222223,189,0,0,1
mtdvio/every-programmer-should-know,125,1,1,0,2690.2213888888887,68,0,0,1
mtdvio/every-programmer-should-know,124,1,1,0,3004.6252777777777,70,0,0,1
mtdvio/every-programmer-should-know,122,1,15,15,352.9163888888889,54,0,0,1
mtdvio/every-programmer-should-know,121,1,1,1,353.18194444444447,0,0,0,1
mtdvio/every-programmer-should-know,120,1,1,0,9.154444444444444,0,0,0,1
mtdvio/every-programmer-should-know,119,1,1,1,17.153055555555557,0,0,0,1
mtdvio/every-programmer-should-know,118,1,1,0,88.10833333333333,45,0,0,1
mtdvio/every-programmer-should-know,117,1,1,0,19578.92361111111,65,0,0,1
mtdvio/every-programmer-should-know,116,1,11,7,22422.683333333334,49,0,0,1
mtdvio/every-programmer-should-know,115,1,19,19,1008.085,70,0,0,1
mtdvio/every-programmer-should-know,114,1,8,7,1008.2063888888889,196,0,0,1
mtdvio/every-programmer-should-know,113,1,1,0,3252.8255555555556,49,0,0,1
mtdvio/every-programmer-should-know,112,1,1,0,1541.3741666666667,0,0,0,1
mtdvio/every-programmer-should-know,110,1,1,0,1604.243888888889,0,0,0,1
mtdvio/every-programmer-should-know,108,1,1,0,1843.4197222222222,53,0,0,1
mtdvio/every-programmer-should-know,107,1,6,0,23359.668611111112,0,0,1,2
mtdvio/every-programmer-should-know,105,1,1,0,1882.0447222222222,49,0,1,2
mtdvio/every-programmer-should-know,104,1,1,0,1907.4855555555555,96,0,0,1
mtdvio/every-programmer-should-know,103,1,1,0,1976.6533333333334,92,0,2,2
mtdvio/every-programmer-should-know,102,1,3,0,2011.7,0,0,0,1
mtdvio/every-programmer-should-know,100,1,1,1,40.17583333333334,68,0,0,1
mtdvio/every-programmer-should-know,99,1,7,0,23555.855,0,0,0,1
mtdvio/every-programmer-should-know,97,1,3,0,110.965,0,0,0,1
mtdvio/every-programmer-should-know,96,1,1,0,2143.1613888888887,68,0,0,1
mtdvio/every-programmer-should-know,95,1,1,0,146.9936111111111,76,0,0,1
mtdvio/every-programmer-should-know,92,1,8,7,21000.453611111112,521,0,3,2
mtdvio/every-programmer-should-know,91,1,2,0,187.5311111111111,326,0,0,1
mtdvio/every-programmer-should-know,88,1,1,1,226.3697222222222,43,0,1,2
mtdvio/every-programmer-should-know,87,1,8,0,253.9036111111111,150,0,0,1
mtdvio/every-programmer-should-know,86,1,2,0,276.8333333333333,92,0,0,1
mtdvio/every-programmer-should-know,85,1,1,0,276.8311111111111,111,0,0,1
mtdvio/every-programmer-should-know,84,1,3,0,21101.511388888888,110,0,0,1
mtdvio/every-programmer-should-know,83,1,2,0,34.45944444444444,47,0,0,1
mtdvio/every-programmer-should-know,82,1,2,0,331.86833333333334,129,0,0,1
mtdvio/every-programmer-should-know,80,1,1,1,19.54138888888889,0,0,0,1
mtdvio/every-programmer-should-know,79,1,2,0,150.03722222222223,45,0,2,2
mtdvio/every-programmer-should-know,78,1,2,0,151.09222222222223,102,0,3,2
mtdvio/every-programmer-should-know,77,1,2,1,634.2122222222222,103,0,1,2
mtdvio/every-programmer-should-know,75,1,1,0,464.705,131,0,0,1
mtdvio/every-programmer-should-know,74,1,1,0,21278.24472222222,0,0,1,2
mtdvio/every-programmer-should-know,73,1,1,1,5.964722222222222,83,0,0,1
mtdvio/every-programmer-should-know,72,1,4,0,576.8413888888889,22,0,0,1
mtdvio/every-programmer-should-know,71,1,1,0,62.45444444444445,75,0,0,1
mtdvio/every-programmer-should-know,70,1,1,0,126.98416666666667,106,0,1,2
mtdvio/every-programmer-should-know,69,1,1,0,177.73444444444445,89,0,0,1
mtdvio/every-programmer-should-know,68,1,1,0,193.30777777777777,44,0,0,1
mtdvio/every-programmer-should-know,67,1,1,1,76.93305555555555,23,0,1,2
mtdvio/every-programmer-should-know,66,1,3,0,217.36555555555555,0,0,0,1
mtdvio/every-programmer-should-know,64,1,1,0,20.272777777777776,334,0,0,1
mtdvio/every-programmer-should-know,63,1,1,0,22.638055555555557,279,0,0,1
mtdvio/every-programmer-should-know,61,1,1,0,22.85611111111111,213,0,0,1
mtdvio/every-programmer-should-know,58,1,1,0,15.54888888888889,404,0,0,1
mtdvio/every-programmer-should-know,55,1,1,1,5.653333333333333,0,0,0,1
mtdvio/every-programmer-should-know,54,1,1,0,67.62833333333333,0,0,0,1
mtdvio/every-programmer-should-know,53,1,1,0,43.81388888888889,159,0,0,1
mtdvio/every-programmer-should-know,52,1,1,0,22.508055555555554,0,0,0,1
mtdvio/every-programmer-should-know,51,1,1,1,5.163888888888889,61,0,1,2
mtdvio/every-programmer-should-know,50,2,3,2,34.75472222222222,147,0,0,1
mtdvio/every-programmer-should-know,49,1,2,0,111.6463888888889,103,0,0,1
mtdvio/every-programmer-should-know,48,1,6,0,10.379444444444445,0,0,0,1
mtdvio/every-programmer-should-know,47,1,8,0,10.773055555555555,0,0,0,1
