repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
neovim/neovim,30938,30,79,4,1.0022222222222221,663,0,0,1
neovim/neovim,30932,6,34,36,3.430277777777778,19,0,5,2
neovim/neovim,30931,1,53,76,1.8955555555555557,92,0,1,2
neovim/neovim,30927,2,15,0,3.3208333333333333,109,0,1,1
neovim/neovim,30925,1,2,2,4.330277777777778,0,0,0,1
neovim/neovim,30921,1,3,3,1.8988888888888888,51,0,0,1
neovim/neovim,30919,4,63,30,1.45,0,0,0,1
neovim/neovim,30906,1,28,16,37.72888888888889,57,0,2,3
neovim/neovim,30903,7,11,493,4.4430555555555555,102,0,3,2
neovim/neovim,30902,4,78,70,9.573333333333334,0,0,3,2
neovim/neovim,30896,3,31,15,3.4125,0,0,0,1
neovim/neovim,30892,6,54,435,8.866666666666667,156,0,1,2
neovim/neovim,30891,2,9,2,8.654722222222222,366,0,1,2
neovim/neovim,30884,1,60,107,60.636944444444445,12,0,5,4
neovim/neovim,30881,2,6,6,18.453333333333333,249,0,0,1
neovim/neovim,30877,7,169,81,8.148888888888889,360,0,1,2
neovim/neovim,30876,1,11,25,2.6269444444444443,1073,0,0,1
neovim/neovim,30872,1,3,1,21.79083333333333,164,0,2,2
neovim/neovim,30871,1,2,3,9.02361111111111,0,0,0,1
neovim/neovim,30865,1,3,1,45.96194444444444,86,0,6,2
neovim/neovim,30864,1,2,2,21.435833333333335,156,0,0,1
neovim/neovim,30863,2,4,4,2.2525,111,0,0,1
neovim/neovim,30861,1,2,2,2.1119444444444446,51,0,1,2
neovim/neovim,30859,8,52,3,21.516944444444444,248,0,1,2
neovim/neovim,30858,2,2,2,9.061666666666667,222,0,0,1
neovim/neovim,30856,2,81,2,1.3044444444444445,104,0,0,1
neovim/neovim,30855,20,356,375,71.92555555555556,299,0,12,4
neovim/neovim,30853,1,11,9,2.5483333333333333,43,0,0,1
neovim/neovim,30852,3,3,3,9.004722222222222,0,0,0,1
neovim/neovim,30851,1,2,2,6.231111111111111,12,0,1,2
neovim/neovim,30850,4,299,2,9.679722222222223,136,0,1,2
neovim/neovim,30847,2,8,6,2.971111111111111,205,0,1,2
neovim/neovim,30845,3,8,2,19.56972222222222,84,0,0,1
neovim/neovim,30844,16,70,21,73.80444444444444,179,0,8,2
neovim/neovim,30840,18,97,68,86.39,276,0,7,4
neovim/neovim,30833,19,141,253,23.83,0,0,13,4
neovim/neovim,30830,2,13,3,23.4775,287,0,17,5
neovim/neovim,30825,9,567,549,44.03805555555556,0,0,13,5
neovim/neovim,30820,5,208,19,6.380833333333333,472,0,1,2
neovim/neovim,30819,3,5,6,12.682777777777778,226,0,3,2
neovim/neovim,30814,1,1,1,12.514166666666666,234,0,1,2
neovim/neovim,30806,1,8,13,201.30527777777777,513,0,6,2
neovim/neovim,30805,5,5,5,1.7202777777777778,299,0,0,1
neovim/neovim,30802,5,443,335,13.75361111111111,385,0,1,2
neovim/neovim,30801,4,252,0,12.862777777777778,368,0,1,2
neovim/neovim,30800,1,16,0,12.963888888888889,188,0,1,2
neovim/neovim,30796,2,4,3,2.6394444444444445,61,0,2,2
neovim/neovim,30795,1,1,1,4.825555555555556,832,0,1,2
neovim/neovim,30793,2,70,16,40.759166666666665,272,0,3,2
neovim/neovim,30791,1,1,1,2.0883333333333334,87,0,0,1
neovim/neovim,30783,2,3,1,7.247777777777777,357,0,1,2
neovim/neovim,30782,1,7,2,7.4375,200,0,1,2
neovim/neovim,30780,1,6,6,9.474444444444444,638,0,1,2
neovim/neovim,30777,26,21,477,81.13805555555555,734,0,3,2
neovim/neovim,30774,2,23,14,1.3908333333333334,0,0,0,1
neovim/neovim,30771,2,6,4,9.644444444444444,393,0,0,1
neovim/neovim,30766,7,6,9,1.1030555555555555,117,0,1,2
neovim/neovim,30764,4,9,2,1.9244444444444444,90,0,2,3
neovim/neovim,30759,1,0,3,1.5244444444444445,0,0,0,1
neovim/neovim,30753,5,55,0,18.188055555555554,11,0,1,2
neovim/neovim,30749,1,10,1,282.2425,451,0,3,3
neovim/neovim,30748,1,1,0,15.674444444444445,0,0,1,2
neovim/neovim,30747,1,10,11,145.02083333333334,268,0,5,3
neovim/neovim,30742,9,57,46,4.704722222222222,790,0,0,1
neovim/neovim,30735,5,283,68,335.32055555555553,22,0,12,4
neovim/neovim,30722,3,56,30,283.6047222222222,109,0,4,4
neovim/neovim,30712,1,7,1,10.1775,154,0,1,2
neovim/neovim,30709,1,4,4,16.028055555555557,0,0,1,2
neovim/neovim,30706,4,55,44,16.244444444444444,11,0,1,2
neovim/neovim,30700,1,3,0,17.018333333333334,399,0,9,5
neovim/neovim,30698,7,55,2,56.10583333333334,0,0,0,1
neovim/neovim,30695,2,82,11,4.532222222222222,454,0,3,3
neovim/neovim,30693,2,55,52,5.783611111111111,0,0,6,2
neovim/neovim,30691,1,3,0,166.96138888888888,110,0,0,1
neovim/neovim,30689,1,2,2,93.4325,64,0,1,2
neovim/neovim,30687,1,3,1,43.75472222222222,156,0,5,2
neovim/neovim,30685,1,44,23,1.165,99,0,0,1
neovim/neovim,30680,3,903,978,14.291666666666666,282,0,0,1
neovim/neovim,30679,1,14,9,59.75083333333333,475,0,1,2
neovim/neovim,30677,4,9,9,21.048333333333332,0,0,0,1
neovim/neovim,30674,10,108,18,49.59638888888889,156,0,4,2
neovim/neovim,30668,5,22,24,23.520555555555557,331,0,0,1
neovim/neovim,30665,1,7,2,12.523888888888889,271,0,3,2
neovim/neovim,30661,1,15,18,51.326388888888886,220,0,5,4
neovim/neovim,30659,2,100,49,140.04444444444445,222,0,14,4
neovim/neovim,30654,5,3645,611,73.06972222222223,608,0,10,2
neovim/neovim,30653,1,3,1,12.559722222222222,712,0,0,1
neovim/neovim,30651,1,2,2,7.556388888888889,94,0,0,1
neovim/neovim,30650,1,1,1,3.7794444444444446,744,0,0,1
neovim/neovim,30649,16,155,32,10.022222222222222,210,0,2,1
neovim/neovim,30643,6,598,268,8.17,733,0,5,3
neovim/neovim,30642,1,13,7,24.47861111111111,187,0,1,2
neovim/neovim,30632,1,4,4,4.025833333333333,11,0,5,4
neovim/neovim,30631,2,8,6,3.7622222222222224,0,0,1,2
neovim/neovim,30629,9,96,18,209.47972222222222,210,0,8,3
neovim/neovim,30627,1,3,0,336.85527777777776,530,0,0,1
neovim/neovim,30623,4,14,11,74.31111111111112,30,0,0,1
neovim/neovim,30621,1,24,62,23.509444444444444,301,0,0,1
neovim/neovim,30619,11,309,39,15.625277777777777,418,0,1,2
neovim/neovim,30602,2,83,15,9.475277777777778,78,0,1,2
