repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
nestjs/nest,14076,2,232,205,16.7975,59997,0,0,1
nestjs/nest,14072,1,1,0,117.65916666666666,1234,0,0,1
nestjs/nest,14069,3,58,81,64.06888888888889,1678,0,0,1
nestjs/nest,14067,2,79,129,50.37694444444445,59997,0,0,1
nestjs/nest,14066,1,50,0,84.74305555555556,1099,0,1,2
nestjs/nest,14064,3,13,1015,130.1611111111111,1574,0,2,3
nestjs/nest,14060,3,14,1014,146.78277777777777,1591,0,4,5
nestjs/nest,14040,2,239,166,310.9533333333333,26093,0,0,1
nestjs/nest,14039,2,142,118,310.96,25595,0,0,1
nestjs/nest,14035,2,247,162,25.74138888888889,13550,0,0,1
nestjs/nest,14034,2,247,162,25.745,14439,0,0,1
nestjs/nest,14031,2,273,216,23.502777777777776,14439,0,0,1
nestjs/nest,14030,2,273,216,23.50722222222222,13550,0,0,1
nestjs/nest,14028,3,17,1,22.616944444444446,779,0,1,2
nestjs/nest,14026,2,241,168,24.074166666666667,14438,0,0,1
nestjs/nest,14025,2,241,168,24.076666666666668,13549,0,0,1
nestjs/nest,14019,2,108,46,600.5825,6892,0,0,1
nestjs/nest,14017,1,8,8,66.67333333333333,1254,0,1,2
nestjs/nest,14015,1,23,23,452.79305555555555,8857,0,1,2
nestjs/nest,14014,2,176,168,68.42,14438,0,0,1
nestjs/nest,14013,2,176,168,68.42194444444445,13549,0,0,1
nestjs/nest,14012,2,80,57,20.58222222222222,26998,0,0,1
nestjs/nest,14011,2,80,57,20.585555555555555,26092,0,0,1
nestjs/nest,14009,2,241,168,6.948055555555555,14438,0,0,1
nestjs/nest,14008,2,241,168,6.953611111111111,13549,0,0,1
nestjs/nest,14006,3,27,11,95.54666666666667,8482,0,0,1
nestjs/nest,14005,3,17,9,95.66027777777778,10154,0,0,1
nestjs/nest,14004,3,20,11,95.705,8628,0,0,1
nestjs/nest,14003,1,23,23,14.411944444444444,8857,0,0,1
nestjs/nest,14002,2,148,112,18.274166666666666,13549,0,0,1
nestjs/nest,14001,2,80,57,18.283055555555556,26998,0,0,1
nestjs/nest,14000,2,80,57,3.1280555555555556,26092,0,0,1
nestjs/nest,13999,2,148,112,3.145277777777778,30266,0,0,1
nestjs/nest,13998,2,80,57,3.1469444444444443,26998,0,0,1
nestjs/nest,13997,2,5,5,6.703888888888889,2260,0,0,1
nestjs/nest,13996,2,48,41,6.719166666666666,7957,0,0,1
nestjs/nest,13995,2,5,5,6.731944444444444,4328,0,0,1
nestjs/nest,13994,2,12,6,119.56444444444445,2201,0,0,1
nestjs/nest,13993,2,108,46,119.46777777777778,6565,0,0,1
nestjs/nest,13992,2,6,26,6.7844444444444445,11032,0,0,1
nestjs/nest,13991,2,36,28,119.6138888888889,7825,0,0,1
nestjs/nest,13989,9,9,9,18.42361111111111,1556,0,0,1
nestjs/nest,13988,2,148,112,23.199444444444445,26950,0,0,1
nestjs/nest,13987,2,148,112,23.203333333333333,24166,0,0,1
nestjs/nest,13986,2,148,112,23.209444444444443,26321,0,0,1
nestjs/nest,13985,2,148,112,23.233055555555556,30218,0,0,1
nestjs/nest,13982,2,310,32,6.684444444444445,11901,0,0,1
nestjs/nest,13981,2,9,8,6.747222222222222,4592,0,0,1
nestjs/nest,13980,2,124,37,6.758055555555556,7919,0,0,1
nestjs/nest,13979,2,21,14,6.771111111111111,8513,0,0,1
nestjs/nest,13978,2,30,17,6.868611111111111,20883,0,0,1
nestjs/nest,13977,2,77,86,6.879722222222222,14425,0,0,1
nestjs/nest,13976,2,5,5,6.888888888888889,7103,0,0,1
nestjs/nest,13974,1,1,1,21.31222222222222,57,0,2,3
nestjs/nest,13973,2,5,5,7.566388888888889,2256,0,0,1
nestjs/nest,13971,4,7,5,64.83666666666667,315,0,6,5
nestjs/nest,13969,2,5,5,103.28916666666667,10001,0,0,1
nestjs/nest,13968,2,96,653,103.36777777777777,7059,0,0,1
nestjs/nest,13967,1,3,2,104.44916666666667,2632,0,0,1
nestjs/nest,13966,1,6,6,104.95083333333334,3733,0,0,1
nestjs/nest,13965,1,1,1,109.78166666666667,3335,0,0,1
nestjs/nest,13964,1,1,1,117.36055555555555,1202,0,0,1
nestjs/nest,13963,1,1,1,115.35333333333334,1200,0,0,1
nestjs/nest,13961,1,2,2,121.66388888888889,1137,0,0,1
nestjs/nest,13958,1,1,1,129.60166666666666,1112,0,1,2
nestjs/nest,13957,1,1,1,8.721666666666666,7081,0,0,1
nestjs/nest,13954,2,310,32,167.82416666666666,10869,0,0,1
nestjs/nest,13952,3,3,3,227.4127777777778,27,0,0,1
nestjs/nest,13947,1,12,35,260.96166666666664,6443,0,0,1
nestjs/nest,13946,2,586,576,263.6761111111111,12848,0,0,1
nestjs/nest,13944,2,5,5,263.7158333333333,2256,0,0,1
nestjs/nest,13943,2,5,5,192.21305555555554,7612,0,0,1
