repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
netdata/netdata,18863,1,1,1,3.0952777777777776,76,0,1,2
netdata/netdata,18861,1,1,1,1.1633333333333333,103,0,1,2
netdata/netdata,18856,2,2,1,2.251388888888889,1105,0,0,1
netdata/netdata,18855,2,83,48,1.113611111111111,869,0,0,1
netdata/netdata,18849,1,3,1,1.2719444444444445,837,0,0,1
netdata/netdata,18845,1,1,0,1.823611111111111,973,0,0,1
netdata/netdata,18842,1,2,0,1.4233333333333333,103,0,1,2
netdata/netdata,18836,1,13,3,3.296111111111111,217,0,2,2
netdata/netdata,18831,6,122,66,3.908888888888889,0,0,0,1
netdata/netdata,18829,2,38,1,1.62,121,0,5,2
netdata/netdata,18828,2,3,3,3.4794444444444443,9329,0,1,2
netdata/netdata,18825,30,719,1081,19.36861111111111,1185,0,0,1
netdata/netdata,18824,13,745,168,4.046944444444445,169,0,1,2
netdata/netdata,18820,12,136,117,1.8169444444444445,503,0,0,1
netdata/netdata,18815,12,3149,1932,50.24138888888889,973,0,0,1
netdata/netdata,18814,3,127,121,7.6175,120,0,1,2
netdata/netdata,18813,1,1,1,1.3516666666666666,83,0,0,1
netdata/netdata,18811,1,1,2,11.8025,443,0,0,1
netdata/netdata,18810,12,530,225,28.079722222222223,164,0,0,1
netdata/netdata,18804,14,86,44,167.52305555555554,803,0,0,1
netdata/netdata,18803,4,52,1,19.968055555555555,1466,0,1,2
netdata/netdata,18798,11,679,276,12.387222222222222,1116,0,0,1
netdata/netdata,18797,1,2,2,16.517777777777777,369,0,0,1
netdata/netdata,18795,1,1,0,16.74416666666667,419,0,0,1
netdata/netdata,18791,7,338,14,3.35,391,0,3,2
netdata/netdata,18790,1,13,2,184.00222222222223,876,0,1,2
netdata/netdata,18789,1,1,1,2.158333333333333,136,0,0,1
netdata/netdata,18788,1,2,1,25.526666666666667,457,0,1,2
netdata/netdata,18786,1,3,1,2.783611111111111,837,0,0,1
netdata/netdata,18785,6,393,17,8.169722222222223,376,0,0,1
netdata/netdata,18784,1,4,4,3.8730555555555557,251,0,5,3
netdata/netdata,18783,2,3,3,4.209722222222222,3464,0,1,2
netdata/netdata,18781,1,1,1,16.842222222222222,1215,0,1,2
netdata/netdata,18777,3,107,79,44.31166666666667,0,0,0,1
netdata/netdata,18772,3,5266,3471,19.9875,78,0,1,2
netdata/netdata,18763,1,1,1,2.7205555555555554,907,0,1,2
netdata/netdata,18762,4,916,13,64.48583333333333,810,0,4,2
netdata/netdata,18761,3,8,8,84.09194444444445,674,0,1,2
netdata/netdata,18760,1,12,6,69.38194444444444,91,0,1,2
netdata/netdata,18758,1,1,1,3.9580555555555557,843,0,0,1
netdata/netdata,18754,7,338,153,69.24416666666667,764,0,2,2
netdata/netdata,18753,2,28,6,4.486666666666666,153,0,0,1
netdata/netdata,18749,16,70,70,1.7180555555555554,164,0,0,1
netdata/netdata,18748,4,14,1,1.4508333333333334,837,0,0,1
netdata/netdata,18747,1,2,1,2.620277777777778,879,0,0,1
netdata/netdata,18745,15,885,956,3.605,335,0,2,2
netdata/netdata,18737,1,576,576,17.75638888888889,847,0,1,2
netdata/netdata,18736,1,52,0,13.919166666666667,58,0,3,2
netdata/netdata,18733,3,53,22,21.836666666666666,621,0,21,3
netdata/netdata,18732,4,34,1,4.056666666666667,488,0,1,2
netdata/netdata,18728,1,30,13,15.220833333333333,986,0,0,1
netdata/netdata,18726,4,13,13,5.499722222222222,604,0,0,1
netdata/netdata,18723,12,62,19,22.43638888888889,431,0,0,1
netdata/netdata,18720,9,746,80,44.254444444444445,164,0,3,3
netdata/netdata,18719,1,2,2,22.778333333333332,973,0,1,2
netdata/netdata,18717,2,5,4,7.011111111111111,688,0,0,1
netdata/netdata,18712,9,89,17,39.068888888888885,430,0,2,2
netdata/netdata,18711,1,20,8,15.883611111111112,963,0,2,2
netdata/netdata,18710,1,27,11,15.131944444444445,92,0,3,3
netdata/netdata,18703,1,21,7,3.660833333333333,170,0,8,2
netdata/netdata,18702,3,24,4,7.549722222222222,321,0,2,3
netdata/netdata,18701,2,15,15,1.0905555555555555,3226,0,1,2
netdata/netdata,18700,2,3,3,1.1088888888888888,2702,0,0,1
netdata/netdata,18699,3,37,26,203.105,321,0,1,2
netdata/netdata,18695,1,1,1,1.0255555555555556,1227,0,0,1
netdata/netdata,18694,1,4,3,2.1594444444444445,892,0,0,1
netdata/netdata,18691,1,1,1,16.373333333333335,2072,0,1,2
netdata/netdata,18689,2,754,26,109.88861111111112,931,0,5,2
netdata/netdata,18688,30,2282,612,252.60833333333332,622,0,0,1
netdata/netdata,18686,3,9,4,1.5652777777777778,164,0,1,2
netdata/netdata,18685,11,309,347,1.0438888888888889,973,0,0,1
netdata/netdata,18684,10,211,602,4.876944444444445,282,0,0,1
netdata/netdata,18683,1,7,0,46.10055555555556,178,0,0,1
netdata/netdata,18676,30,189,265,1.8052777777777778,234,0,4,2
netdata/netdata,18674,5,156,100,330.03055555555557,209,0,0,1
netdata/netdata,18673,30,549,802,6.745277777777778,1161,0,0,1
netdata/netdata,18670,28,733,865,1.0044444444444445,149,0,1,2
netdata/netdata,18668,1,4,0,5.148888888888889,348,0,1,2
netdata/netdata,18664,1,14,0,4.486944444444444,49,0,2,2
netdata/netdata,18661,3,4,4,44.38583333333333,391,0,1,2
netdata/netdata,18660,30,212,232,22.8125,217,0,1,2
netdata/netdata,18659,1,26,26,1.3325,973,0,0,1
netdata/netdata,18657,1,12,12,492.80333333333334,103,0,0,1
netdata/netdata,18656,3,34,19,34.355,1096,0,1,2
netdata/netdata,18654,25,1633,3,45.12111111111111,973,0,0,1
netdata/netdata,18653,7,52,22,24.93722222222222,152,0,1,2
netdata/netdata,18652,18,802,300,24.805555555555557,743,0,2,2
netdata/netdata,18651,7,1,1507,46.95583333333333,43,0,1,2
netdata/netdata,18649,5,73,72,196.48388888888888,1334,0,6,3
netdata/netdata,18647,5,306,77,1.6183333333333334,164,0,1,2
netdata/netdata,18646,1,7,3,21.863611111111112,390,0,2,3
netdata/netdata,18645,11,72,90,47.44416666666667,197,0,2,2
netdata/netdata,18643,23,33,32,544.9833333333333,260,0,1,2
netdata/netdata,18641,3,29,29,23.73111111111111,973,0,0,1
netdata/netdata,18639,10,22,20,51.124722222222225,146,0,1,2
netdata/netdata,18638,11,17,17,7.151944444444444,153,0,1,2
netdata/netdata,18637,30,40,40,7.969444444444444,138,0,1,2
netdata/netdata,18632,5,85,1,87.445,600,0,4,2
netdata/netdata,18628,3,14,14,1.0727777777777778,973,0,0,1
netdata/netdata,18626,7,1,769,74.91916666666667,60,0,5,3
