repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
nodejs/node,55522,2,3,3,2.8202777777777777,278,0,0,1
nodejs/node,55513,30,346,255,12.043333333333333,21771,0,4,5
nodejs/node,55497,1,3,3,24.853055555555557,53,0,0,1
nodejs/node,55491,3,5,10,48.08777777777778,1904,0,4,5
nodejs/node,55485,0,0,0,1.073611111111111,276,0,2,2
nodejs/node,55484,4,51,2,48.26277777777778,699,0,2,3
nodejs/node,55477,3,6,4,48.11138888888889,51,0,4,5
nodejs/node,55473,2,4,2,48.16277777777778,292,0,7,8
nodejs/node,55471,2,29,3,50.4475,2273,0,3,4
nodejs/node,55470,3,1519,2225,48.2825,165,0,2,3
nodejs/node,55466,8,253,94,39.007777777777775,47,0,1,2
nodejs/node,55465,1,16,1,48.08305555555555,53,0,4,5
nodejs/node,55464,2,8,1,60.06472222222222,50,0,3,4
nodejs/node,55463,12,41,29,48.079166666666666,49,0,4,5
nodejs/node,55462,1,0,6,48.24638888888889,65,0,2,3
nodejs/node,55454,1,2,2,48.19111111111111,1911,0,3,4
nodejs/node,55453,7,30,27,77.82583333333334,127,0,5,6
nodejs/node,55450,1,18,0,80.42777777777778,1862,0,6,5
nodejs/node,55445,3,47,13,48.977222222222224,1331,0,2,3
nodejs/node,55444,1,2,269,101.34666666666666,1915,0,2,3
nodejs/node,55441,3,5,13,94.54694444444445,1897,0,2,3
nodejs/node,55440,3,5,20,48.153888888888886,72,0,6,7
nodejs/node,55439,1,1,0,96.90277777777777,1841,0,2,3
nodejs/node,55438,1,6,0,88.50888888888889,1804,0,4,4
nodejs/node,55435,1,2,4,14.660555555555556,112,0,5,4
nodejs/node,55427,12,707,471,54.00694444444444,32,0,3,4
nodejs/node,55426,1,1,0,4.712777777777778,65,0,4,5
nodejs/node,55425,1,1,0,48.05777777777778,2722,0,6,7
nodejs/node,55423,1,1,1,2.565,98,0,2,3
nodejs/node,55420,1,2,3,147.57861111111112,1935,0,2,3
nodejs/node,55415,1,2,2,6.061944444444444,98,0,0,1
nodejs/node,55414,9,71,186,101.93083333333334,742,0,3,4
nodejs/node,55409,1,0,13,119.4075,2337,0,2,3
nodejs/node,55408,7,156,9,115.70166666666667,545,0,12,4
nodejs/node,55407,11,17,22,65.40833333333333,129,0,25,9
nodejs/node,55404,6,78,12,162.39055555555555,1791,0,16,9
nodejs/node,55403,7,141,3,118.86972222222222,431,0,5,4
nodejs/node,55401,1,8,3,149.43055555555554,1979,0,2,3
nodejs/node,55399,1,5,9,48.28472222222222,51,0,7,7
nodejs/node,55398,2,5,8,48.12833333333333,1963,0,10,8
nodejs/node,55397,4,41,12,165.38305555555556,2734,0,8,6
nodejs/node,55393,2,0,102,48.16305555555556,2000,0,4,5
nodejs/node,55392,2,11,1,48.05583333333333,1811,0,6,7
nodejs/node,55387,1,1,1,64.6275,1995,0,7,5
nodejs/node,55385,15,81,29,5.760833333333333,570,0,2,1
nodejs/node,55381,1,2,2,177.23555555555555,300,0,6,7
nodejs/node,55379,2,27252,23972,48.159166666666664,48,0,4,5
nodejs/node,55378,1,16,0,202.69722222222222,1589,0,13,6
nodejs/node,55377,2,30,3,48.190555555555555,475,0,5,6
nodejs/node,55375,2,22,0,48.159444444444446,109,0,10,6
nodejs/node,55373,1,17,8,56.718333333333334,319,0,3,4
nodejs/node,55371,6,234,2,48.16777777777778,55,0,3,4
nodejs/node,55370,2,27880,25032,18.19388888888889,48,0,0,1
nodejs/node,55369,30,1778,795,48.20916666666667,49,0,2,3
nodejs/node,55365,3,11,4,79.90805555555555,2264,0,3,3
nodejs/node,55361,1,3,3,48.103611111111114,9,0,5,6
nodejs/node,55359,2,33,2,66.54833333333333,495,0,6,5
nodejs/node,55356,1,30,2,97.3338888888889,1892,0,3,4
nodejs/node,55354,2,145,9,96.9,270,0,16,5
nodejs/node,55353,2,2,2,5.3438888888888885,1866,0,6,5
nodejs/node,55349,1,3,0,1.7986111111111112,1809,0,3,4
nodejs/node,55348,4,76,76,48.17944444444444,46,0,3,4
nodejs/node,55344,3,0,3,16.815277777777776,1898,0,3,4
nodejs/node,55343,30,276,112,168.04666666666665,52145,0,0,1
nodejs/node,55339,2,1,53,41.610277777777775,299,0,2,3
nodejs/node,55338,30,71,54,164.19055555555556,28575,0,1,2
nodejs/node,55334,1,6,8,48.15027777777778,1994,0,9,9
nodejs/node,55333,3,9,13,70.53305555555555,1983,0,11,8
nodejs/node,55332,4,24,1,52.86555555555555,680,0,4,5
nodejs/node,55331,1,2,0,4.076944444444444,1811,0,6,5
nodejs/node,55329,27,1528,608,37.076388888888886,48,0,5,6
nodejs/node,55327,1,1,1,124.13222222222223,2170,0,0,1
nodejs/node,55324,2,252,256,48.11972222222222,1894,0,4,5
nodejs/node,55323,3,28,25,66.62861111111111,1833,0,8,5
nodejs/node,55322,1,9,0,324.29583333333335,1930,0,4,3
nodejs/node,55321,1,39,33,48.0425,1943,0,4,5
nodejs/node,55320,2,17,12,63.22361111111111,1829,0,5,5
nodejs/node,55318,2,38,0,216.85111111111112,2112,0,1,2
nodejs/node,55317,7,89,24,128.9188888888889,575,0,7,6
nodejs/node,55316,4,47,30,48.06111111111111,1058,0,15,5
nodejs/node,55312,3,62,26,147.77166666666668,404,0,11,9
nodejs/node,55306,1,1,0,48.049166666666665,1801,0,4,5
nodejs/node,55304,1,1,1,1.1413888888888888,9,0,3,4
nodejs/node,55300,1,2,2,50.810833333333335,300,0,6,7
nodejs/node,55297,4,75,4,50.00944444444445,2378,0,4,5
nodejs/node,55295,1,1,1,188.0636111111111,103,0,3,3
nodejs/node,55291,1,1,0,190.31472222222223,351,0,2,3
nodejs/node,55290,1,3,5,127.63861111111112,1932,0,3,4
nodejs/node,55287,1,2,2,200.8738888888889,387,0,3,3
nodejs/node,55286,10,108,31,62.327222222222225,2294,0,6,3
nodejs/node,55284,1,9,0,66.62583333333333,188,0,14,10
nodejs/node,55283,2,0,847,192.82083333333333,183,0,2,2
nodejs/node,55282,10,358,88,457.985,102,0,25,9
nodejs/node,55279,1,136,2,30.683055555555555,2043,0,3,2
nodejs/node,55276,26,33,70,48.07194444444445,0,0,7,8
nodejs/node,55274,1,5,0,48.63861111111111,725,0,3,4
nodejs/node,55273,1,9,0,203.6586111111111,1835,0,3,4
nodejs/node,55269,1,1,1,58.028333333333336,308,0,0,1
nodejs/node,55263,1,8,0,90.45444444444445,1814,0,2,3
nodejs/node,55262,10,415,59,54.33861111111111,1668,0,3,4
