repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
nomic-ai/gpt4all,3124,1,64,58,2.3758333333333335,576,0,1,2
nomic-ai/gpt4all,3123,2,18,1,2.548888888888889,357,0,1,2
nomic-ai/gpt4all,3121,4,40,4,3.9077777777777776,286,0,2,2
nomic-ai/gpt4all,3116,14,157,13,40.75805555555556,887,0,1,2
nomic-ai/gpt4all,3103,5,57,0,50.5225,159,0,2,2
nomic-ai/gpt4all,3094,3,38,38,23.255277777777778,768,0,2,2
nomic-ai/gpt4all,3089,2,3,20,30.139444444444443,267,0,0,1
nomic-ai/gpt4all,3083,5,70,13,88.80222222222223,161,0,2,2
nomic-ai/gpt4all,3082,2,8,5,1.2069444444444444,167,0,1,2
nomic-ai/gpt4all,3079,3,155,83,3.5680555555555555,196,0,1,2
nomic-ai/gpt4all,3077,1,2,2,5.316944444444444,359,0,0,1
nomic-ai/gpt4all,3065,16,27,69,215.7525,1268,0,1,2
nomic-ai/gpt4all,3052,2,50,27,15.862222222222222,244,0,1,2
nomic-ai/gpt4all,3048,1,5,5,18.325277777777778,762,0,1,2
nomic-ai/gpt4all,3047,1,0,1,161.81277777777777,803,0,0,1
nomic-ai/gpt4all,3046,2,13,8,1.98,70,0,1,2
nomic-ai/gpt4all,3045,3,56,45,20.57777777777778,149,0,1,2
nomic-ai/gpt4all,3039,12,71,20,37.80972222222222,703,0,2,2
nomic-ai/gpt4all,3038,7,3450,3223,1.3475,92,0,1,2
nomic-ai/gpt4all,3037,4,24,24,20.641666666666666,0,0,1,2
nomic-ai/gpt4all,3032,2,2,2,9.381666666666666,34,0,1,2
nomic-ai/gpt4all,3030,7,141,42,22.424722222222222,1223,0,9,2
nomic-ai/gpt4all,3029,6,81,0,122.18527777777778,93,0,1,2
nomic-ai/gpt4all,3028,3,3,3,99.29305555555555,91,0,2,2
nomic-ai/gpt4all,3027,2,2,2,10.28888888888889,68,0,2,2
nomic-ai/gpt4all,3025,1,2,2,24.05027777777778,300,0,3,2
nomic-ai/gpt4all,3022,5,48,41,50.58833333333333,750,0,7,2
nomic-ai/gpt4all,3018,6,146,79,2.155,0,0,2,2
nomic-ai/gpt4all,3016,5,24,25,1.1861111111111111,0,0,3,2
nomic-ai/gpt4all,3014,5,7,17,1.3663888888888889,652,0,0,1
nomic-ai/gpt4all,3010,1,9,0,4.0425,175,0,1,2
nomic-ai/gpt4all,3009,1,5,5,7.150833333333333,531,0,1,2
