repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
nvbn/thefuck,1447,1,1,1,238.45666666666668,128,0,0,1
nvbn/thefuck,1432,1,13,13,11.2575,0,0,1,2
nvbn/thefuck,1419,1,1,1,236.0625,55,0,0,1
nvbn/thefuck,1415,2,28,0,4152.600555555556,198,0,1,2
nvbn/thefuck,1413,2,25,7,3.410277777777778,351,0,0,1
nvbn/thefuck,1397,30,488,262,7966.658333333334,64,0,1,1
nvbn/thefuck,1390,1,2,2,16.72222222222222,17,0,1,2
nvbn/thefuck,1383,4,18,0,3.1555555555555554,58,0,0,1
nvbn/thefuck,1371,2,61,14,66.49277777777777,671,0,1,2
nvbn/thefuck,1361,2,33,0,2646.9058333333332,121,0,0,1
nvbn/thefuck,1352,5,60,0,5017.1930555555555,326,0,0,1
nvbn/thefuck,1348,1,1,0,311.56361111111113,103,0,0,1
nvbn/thefuck,1335,1,12,0,17877.376944444444,11,0,1,2
nvbn/thefuck,1329,3,37,3,7337.721666666666,373,0,6,2
nvbn/thefuck,1326,30,198,198,3.8355555555555556,0,0,0,1
nvbn/thefuck,1319,1,5,0,1199.24,0,0,1,2
nvbn/thefuck,1317,3,44,0,2075.1658333333335,139,0,5,2
nvbn/thefuck,1316,2,51,50,72.78444444444445,1246,0,3,2
nvbn/thefuck,1314,2,2,2,121.24333333333334,535,0,1,2
nvbn/thefuck,1310,1,3,2,67.10111111111111,0,0,0,1
nvbn/thefuck,1309,1,1,1,1391.1527777777778,144,0,0,1
nvbn/thefuck,1308,2,3,1,174.1772222222222,119,0,1,2
nvbn/thefuck,1307,2,4,0,77.26638888888888,421,0,3,2
nvbn/thefuck,1302,3,93,0,965.5897222222222,797,0,20,3
nvbn/thefuck,1301,2,7,0,4683.1194444444445,512,0,2,2
nvbn/thefuck,1298,1,1,1,478.2725,381,0,1,2
nvbn/thefuck,1293,3,124,0,1.2405555555555556,532,0,0,1
nvbn/thefuck,1292,2,5,4,985.9605555555555,461,0,4,2
nvbn/thefuck,1287,3,30,0,554.1744444444445,257,0,1,2
nvbn/thefuck,1279,4,9,3,32.658055555555556,118,0,2,2
nvbn/thefuck,1275,5,32,16,94.19083333333333,142,0,0,1
nvbn/thefuck,1272,1,133,0,7984.2461111111115,14,0,3,2
nvbn/thefuck,1270,1,1,1,44.965833333333336,29,0,1,2
nvbn/thefuck,1267,1,1,1,62.27861111111111,0,0,1,2
nvbn/thefuck,1266,1,44,0,1799.95,189,0,0,1
nvbn/thefuck,1264,1,4,1,1830.21,248,0,0,1
