repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
ocornut/imgui,8095,1,1,1,14.465,1404,0,0,1
ocornut/imgui,8094,1,1,1,9.201666666666666,145,0,0,1
ocornut/imgui,8087,1,3,0,56.41361111111111,209,0,0,1
ocornut/imgui,8085,8,1568,196,67.01805555555555,891,0,0,1
ocornut/imgui,8084,5,1028,61,66.24333333333334,355,0,0,1
ocornut/imgui,8083,1,17,0,72.63444444444444,206,0,0,1
ocornut/imgui,8062,1,2,2,64.93,412,0,0,1
ocornut/imgui,8041,4,425,60,115.355,678,0,0,1
ocornut/imgui,8025,2,1184,0,23.50027777777778,360,0,0,1
ocornut/imgui,8018,2,8,2,24.3875,164,0,0,1
ocornut/imgui,8012,30,100,0,1.6327777777777779,326,0,0,1
ocornut/imgui,8010,1,4,2,31.68777777777778,252,0,0,1
ocornut/imgui,8006,1,25,7,304.73083333333335,652,0,0,1
ocornut/imgui,8003,2,2,2,4.06,125,0,0,1
ocornut/imgui,7989,1,6,8,41.818333333333335,836,0,0,1
ocornut/imgui,7977,3,42,0,93.04444444444445,721,0,0,1
ocornut/imgui,7974,1,1,1,22.247222222222224,91,0,0,1
ocornut/imgui,7973,1,34,2,30.636944444444445,1319,0,0,1
ocornut/imgui,7968,1,2,2,582.1313888888889,458,0,0,1
ocornut/imgui,7967,1,7,0,28.778333333333332,1837,0,0,1
ocornut/imgui,7965,3,35,2,120.79777777777778,1167,0,0,1
ocornut/imgui,7961,4,188,26,92.63027777777778,15454,0,0,1
ocornut/imgui,7957,1,2,2,285.85333333333335,416,0,0,1
ocornut/imgui,7939,1,1,1,1.9127777777777777,58,0,0,1
ocornut/imgui,7929,1,2,2,2.772777777777778,481,0,0,1
ocornut/imgui,7927,4,46,9,1211.1675,2677,0,0,1
ocornut/imgui,7925,7,258,203,353.10777777777776,4030,0,0,1
ocornut/imgui,7918,1,2,1,216.09333333333333,194,0,0,1
ocornut/imgui,7915,4,35,6,359.9291666666667,5496,0,0,1
ocornut/imgui,7906,1,1,1,7.626111111111111,52,0,0,1
ocornut/imgui,7902,1,2,0,13.846111111111112,1048,0,0,1
ocornut/imgui,7898,1,2,1,20.174444444444443,1846,0,0,1
ocornut/imgui,7896,2,6,8,46.84111111111111,455,0,0,1
ocornut/imgui,7876,1,1,1,5.137777777777778,251,0,0,1
ocornut/imgui,7865,2,13,0,400.33694444444444,318,0,0,1
ocornut/imgui,7862,1,18,0,4.709444444444444,0,0,0,1
ocornut/imgui,7857,1,4,4,84.06777777777778,559,0,0,1
ocornut/imgui,7853,2,30,0,422.60833333333335,3206,0,0,1
ocornut/imgui,7852,1,1,1,111.32888888888888,0,0,0,1
ocornut/imgui,7846,1,3,3,3.4158333333333335,73,0,0,1
ocornut/imgui,7832,1,1,1,10.323055555555555,3004,0,0,1
ocornut/imgui,7824,1,1,1,25.5825,284,0,0,1
ocornut/imgui,7820,3,21,13,68.75833333333334,939,0,0,1
ocornut/imgui,7806,2,55,9,60.11944444444445,285,0,0,1
ocornut/imgui,7804,4,10,4,66.49027777777778,316,0,1,2
