repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
ollama/ollama,7306,1,44,10,22.16888888888889,62,0,1,2
ollama/ollama,7305,3,18,14,22.088333333333335,326,0,1,2
ollama/ollama,7303,2,38,9,22.537222222222223,419,0,3,2
ollama/ollama,7295,1,1,0,15.665,688,0,1,2
ollama/ollama,7282,1,1,1,22.94388888888889,0,0,0,1
ollama/ollama,7273,2,5,0,1.2180555555555554,0,0,1,2
ollama/ollama,7271,1,1,1,54.42305555555556,412,0,0,1
ollama/ollama,7250,2,146,12,112.5038888888889,297,0,1,2
ollama/ollama,7249,1,3,3,134.0263888888889,113,0,1,2
ollama/ollama,7218,1,2,1,3.9402777777777778,55,0,0,1
ollama/ollama,7203,2,13,6,45.07111111111111,252,0,1,2
ollama/ollama,7193,1,2,0,30.336666666666666,123,0,1,2
ollama/ollama,7174,2,1,2,21.468055555555555,317,0,1,2
ollama/ollama,7158,4,64,35,2.5858333333333334,389,0,4,2
ollama/ollama,7154,1,1,1,3.538611111111111,0,0,1,2
ollama/ollama,7149,1,1,0,4.444166666666667,0,0,0,1
ollama/ollama,7145,1,22,16,42.94583333333333,0,0,1,2
ollama/ollama,7143,30,38,38,195.55666666666667,280,0,3,2
ollama/ollama,7141,2,2,10,2.069166666666667,358,0,1,2
ollama/ollama,7139,16,374,181,221.70305555555555,729,0,10,3
ollama/ollama,7137,6,49,25,220.47694444444446,736,0,12,2
ollama/ollama,7124,30,31,31,15.401666666666667,25,0,0,1
ollama/ollama,7117,1,1,1,10.934444444444445,45,0,3,2
ollama/ollama,7103,3,1209,4,96.20666666666666,17,0,0,1
ollama/ollama,7096,1,1,0,43.132777777777775,112,0,1,2
ollama/ollama,7082,3,19,15,24.11138888888889,425,0,2,2
ollama/ollama,7073,2,13,7,1.508888888888889,510,0,0,1
ollama/ollama,7068,6,484,4,1.5327777777777778,248,0,1,2
ollama/ollama,7065,3,44,7,5.814444444444445,80,0,2,3
ollama/ollama,7050,4,310,58,29.602222222222224,739,0,2,3
ollama/ollama,7027,1,1,0,13.824444444444444,64,0,2,2
ollama/ollama,7010,1,8,8,68.81472222222222,90,0,0,1
ollama/ollama,7009,16,234,110,258.0836111111111,18,0,4,2
ollama/ollama,6991,12,64,18,281.4913888888889,27,0,0,1
ollama/ollama,6989,1,42,0,24.74888888888889,72,0,1,2
ollama/ollama,6971,19,2650,153,497.485,124,0,2,2
ollama/ollama,6965,2,704,0,52.489444444444445,176,0,0,1
ollama/ollama,6963,30,3817,129,556.2438888888889,349,0,7,4
ollama/ollama,6947,1,3,0,148.74916666666667,0,0,0,1
ollama/ollama,6943,0,0,0,91.94305555555556,1824,0,0,1
ollama/ollama,6940,1,1,1,1.9483333333333333,233,0,1,2
ollama/ollama,6925,7,62,16,351.6072222222222,44,0,0,1
ollama/ollama,6924,9,445,409,71.52361111111111,781,0,1,2
ollama/ollama,6919,1,1,0,11.068888888888889,0,0,1,2
ollama/ollama,6912,5,6,6,668.75,0,0,1,2
ollama/ollama,6899,7,708,316,233.94861111111112,458,0,0,1
ollama/ollama,6897,3,127,252,1.6283333333333334,0,0,0,1
ollama/ollama,6884,1,7,6,49.12916666666667,303,0,1,2
ollama/ollama,6849,4,144,39,2.151388888888889,0,0,1,2
ollama/ollama,6848,1,5,2,16.86861111111111,118,0,1,2
ollama/ollama,6846,1,402,0,2.8633333333333333,457,0,1,2
ollama/ollama,6845,1,3,2,141.7463888888889,66,0,5,3
ollama/ollama,6844,3,98,62,142.03277777777777,411,0,0,1
ollama/ollama,6842,1,39,32,243.05944444444444,104,0,3,2
ollama/ollama,6841,6,346,0,23.636388888888888,150,0,5,3
ollama/ollama,6833,10,130,55,24.31,550,0,2,3
ollama/ollama,6818,1,1,0,1.6933333333333334,619,0,1,2
ollama/ollama,6810,1,18,0,40.053333333333335,0,0,0,1
ollama/ollama,6789,1,1,0,44.07666666666667,102,0,1,2
ollama/ollama,6788,1,1,0,86.09555555555555,0,0,1,2
ollama/ollama,6780,1,1,1,14.999166666666667,251,0,1,2
ollama/ollama,6766,3,105,4,168.05055555555555,135,0,2,3
ollama/ollama,6762,3,277,105,2.1980555555555554,1416,0,5,2
ollama/ollama,6760,30,3625,3245,864.0055555555556,2949,0,20,2
ollama/ollama,6757,30,1019,799,3.8177777777777777,0,0,0,1
ollama/ollama,6754,1,1,0,6.9625,90,0,1,2
ollama/ollama,6752,1,1,0,13.660277777777777,60,0,1,2
ollama/ollama,6744,3,4,2,18.044722222222223,6538,0,1,2
ollama/ollama,6739,5,172,25,21.868055555555557,635,0,8,3
ollama/ollama,6736,2,32,0,20.59027777777778,463,0,1,2
ollama/ollama,6735,4,378,24,6.639722222222222,481,0,8,2
ollama/ollama,6732,1,14,0,6.5925,958,0,1,2
ollama/ollama,6718,6,45,45,7.2572222222222225,0,0,1,2
ollama/ollama,6716,2,24,24,2.651666666666667,81,0,1,2
ollama/ollama,6714,1,7,3,2.9930555555555554,366,0,3,3
ollama/ollama,6696,1,1,0,1.4569444444444444,66,0,2,2
ollama/ollama,6688,2,6,6,1.8155555555555556,133,0,1,2
ollama/ollama,6680,1,1,0,2.001388888888889,0,0,1,2
ollama/ollama,6666,1,15,1,15.122222222222222,124,0,1,2
ollama/ollama,6665,2,45,3,8.198055555555555,51,0,1,2
ollama/ollama,6656,1,1,1,5.193611111111111,443,0,1,2
ollama/ollama,6645,4,376,19,23.699166666666667,203,0,10,3
ollama/ollama,6642,2,1,24597,3.6683333333333334,276,0,1,2
ollama/ollama,6630,1,1,0,5.701944444444444,327,0,1,2
ollama/ollama,6621,30,1233,230,17.794166666666666,0,0,2,3
ollama/ollama,6620,1,1,1,1.4941666666666666,170,0,1,2
ollama/ollama,6618,7,32,422,3.406388888888889,0,0,1,2
ollama/ollama,6611,4,60,7,50.92861111111111,129,0,2,2
ollama/ollama,6608,1,2,1,2.941666666666667,61,0,1,2
ollama/ollama,6605,1,1,0,7.136666666666667,0,0,1,2
ollama/ollama,6598,30,3101,618,2.0211111111111113,0,0,0,1
ollama/ollama,6587,1,2,0,17.87527777777778,336,0,2,2
ollama/ollama,6584,1,7,1,34.35583333333334,118,0,0,1
ollama/ollama,6583,1,2,0,39.675555555555555,48,0,1,2
ollama/ollama,6582,0,0,0,140.61694444444444,0,0,0,1
ollama/ollama,6579,1,8,5,13.495833333333334,48,0,1,2
ollama/ollama,6577,1,3,3,12.909166666666666,500,0,1,2
ollama/ollama,6570,30,8503,334,383.90166666666664,956,0,6,2
ollama/ollama,6562,1,2,0,19.985277777777778,79,0,2,3
ollama/ollama,6559,7,97,737,123.92444444444445,162,0,10,2
