repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
openai/openai-cookbook,1510,2,10,5,2.1108333333333333,69,0,1,2
openai/openai-cookbook,1507,1,1,1,1.9291666666666667,48,0,1,2
openai/openai-cookbook,1506,3,501,0,4.431666666666667,2138,0,2,2
openai/openai-cookbook,1473,6,130816,1,50.12972222222222,230,0,3,2
openai/openai-cookbook,1470,1,1,1,13.53111111111111,274,0,1,2
openai/openai-cookbook,1469,1,1,1,18.815833333333334,1855,0,1,2
openai/openai-cookbook,1455,2,899,3,48.034444444444446,155,0,1,2
openai/openai-cookbook,1451,1,33,0,49.85444444444445,1855,0,0,1
openai/openai-cookbook,1449,1,1,1,258.71694444444444,0,0,1,2
openai/openai-cookbook,1448,1,0,2,260.385,156,0,1,2
openai/openai-cookbook,1426,7,230,1,670.0005555555556,2345,0,2,2
openai/openai-cookbook,1423,2,648,0,75.45083333333334,1973,0,1,2
openai/openai-cookbook,1422,1,21,0,24.680833333333332,59,0,1,2
openai/openai-cookbook,1421,1,259,57,357.7325,61,0,1,2
openai/openai-cookbook,1420,3,270,0,78.50222222222222,2007,0,9,2
openai/openai-cookbook,1412,1,4,4,14.704166666666667,93,0,1,2
openai/openai-cookbook,1411,1,2,2,95.3375,270,0,1,2
openai/openai-cookbook,1410,1,76,16,19.321666666666665,549,0,6,2
openai/openai-cookbook,1409,8,602,699,69.7213888888889,1782,0,3,2
openai/openai-cookbook,1399,4,5,5,960.7283333333334,2409,0,1,2
openai/openai-cookbook,1396,7,136,2,20.406111111111112,1677,0,1,2
openai/openai-cookbook,1395,1,1,1,22.28472222222222,3051,0,1,2
openai/openai-cookbook,1394,1,19,3,7.351111111111111,72,0,1,2
openai/openai-cookbook,1384,21,17,17,1.136111111111111,214,0,1,2
openai/openai-cookbook,1381,1,1,1,20.166944444444443,125,0,1,2
openai/openai-cookbook,1380,1,29,29,26.50861111111111,1742,0,1,2
openai/openai-cookbook,1378,4,22,24,48.89222222222222,166,0,1,2
openai/openai-cookbook,1376,1,0,1,6.133055555555556,116,0,1,2
openai/openai-cookbook,1375,2,696,0,8.021666666666667,1855,0,3,2
openai/openai-cookbook,1374,4,435,0,8.294444444444444,1855,0,1,2
openai/openai-cookbook,1373,11,522,0,19.23361111111111,1831,0,1,2
openai/openai-cookbook,1372,5,250,2,22.75861111111111,1934,0,2,2
openai/openai-cookbook,1369,1,1,1,446.6575,63,0,1,2
openai/openai-cookbook,1367,1,1,1,1725.6341666666667,29,0,0,1
openai/openai-cookbook,1366,3,11,19,112.67722222222223,70,0,1,2
openai/openai-cookbook,1363,30,3954,1004,1700.9233333333334,1844,0,0,1
openai/openai-cookbook,1347,4,144,0,38.886944444444445,1824,0,1,2
openai/openai-cookbook,1345,0,0,0,1711.9530555555555,1909,0,0,1
openai/openai-cookbook,1344,4,1037,0,125.11083333333333,1962,0,4,3
openai/openai-cookbook,1343,21,1042,1,265.285,1931,0,7,2
openai/openai-cookbook,1341,5,1003,0,151.65805555555556,1767,0,2,2
openai/openai-cookbook,1339,4,448,0,120.81611111111111,1835,0,1,2
openai/openai-cookbook,1335,3,427,0,4.758333333333334,1963,0,1,2
openai/openai-cookbook,1334,1,9,0,4.841388888888889,113,0,0,1
openai/openai-cookbook,1333,1,1,1,1727.8380555555555,132,0,0,1
openai/openai-cookbook,1331,1,6,1,11.739444444444445,119,0,1,2
openai/openai-cookbook,1330,1,0,0,18.177777777777777,1750,0,0,1
openai/openai-cookbook,1328,2,15,1,4.186111111111111,1868,0,1,2
openai/openai-cookbook,1327,1,1,1,176.95,79,0,1,2
openai/openai-cookbook,1309,5,570,1,113.89,1839,0,2,2
openai/openai-cookbook,1307,7,630,1,1.1211111111111112,1855,0,1,2
openai/openai-cookbook,1306,5,602,0,323.5316666666667,1855,0,1,2
openai/openai-cookbook,1305,1,9,0,3.4202777777777778,0,0,1,2
openai/openai-cookbook,1303,9,571,0,26.519166666666667,1789,0,2,2
openai/openai-cookbook,1302,1,1,0,1686.608888888889,2758,0,0,1
openai/openai-cookbook,1299,10,1922,14,25.122222222222224,2021,0,2,2
openai/openai-cookbook,1296,1,7,7,2058.7475,1848,0,0,1
openai/openai-cookbook,1293,10,498,1,70.07444444444444,1707,0,1,2
openai/openai-cookbook,1292,9,5728,2311,2.4780555555555557,1790,0,1,2
openai/openai-cookbook,1291,1,1,0,1720.7147222222222,60,0,0,1
openai/openai-cookbook,1290,13,405,31,24.720555555555556,1856,0,2,2
openai/openai-cookbook,1288,0,0,0,1.5775,1836,0,0,1
openai/openai-cookbook,1287,2,12,12,4.158611111111111,452,0,1,2
openai/openai-cookbook,1286,8,711,1,115.8236111111111,1769,0,2,2
openai/openai-cookbook,1285,14,594,18,18.825277777777778,1855,0,0,1
openai/openai-cookbook,1284,8,680,1,20.62527777777778,1714,0,0,1
openai/openai-cookbook,1283,1,2,2,1713.9027777777778,204,0,0,1
openai/openai-cookbook,1282,1,5,0,1684.4475,1774,0,1,2
openai/openai-cookbook,1281,11,576,1,33.52055555555555,1895,0,1,2
openai/openai-cookbook,1280,30,0,0,1839.0830555555556,271,0,0,1
openai/openai-cookbook,1277,1,6,22,1.5886111111111112,61,0,1,2
openai/openai-cookbook,1274,5,24,0,4.2025,1799,0,1,2
openai/openai-cookbook,1273,30,4067,0,30.278333333333332,0,0,2,2
openai/openai-cookbook,1272,30,6780,0,412.3797222222222,1855,0,4,2
openai/openai-cookbook,1263,3,617,0,27.4625,1855,0,6,2
openai/openai-cookbook,1261,3,31,6,1683.276388888889,1971,0,0,1
openai/openai-cookbook,1256,1,0,1,295.6711111111111,145,0,1,2
openai/openai-cookbook,1255,2,2,2,339.4869444444444,77,0,2,3
openai/openai-cookbook,1254,1,1,1,385.2911111111111,2405,0,1,2
openai/openai-cookbook,1253,3,1563,534,8.434166666666666,0,0,2,3
openai/openai-cookbook,1252,2,679,273,26.730555555555554,173,0,1,2
openai/openai-cookbook,1250,1,14,14,1709.5113888888889,1905,0,0,1
openai/openai-cookbook,1249,1,1,1,3.4105555555555553,2031,0,0,1
openai/openai-cookbook,1247,30,5636,1239,3242.4547222222222,1831,0,1,1
openai/openai-cookbook,1243,1,1,1,1.238611111111111,1855,0,1,2
openai/openai-cookbook,1241,1,1,1,13.698055555555555,1773,0,1,2
openai/openai-cookbook,1240,1,7,9,7.018888888888889,1874,0,1,2
openai/openai-cookbook,1239,1,21,14,2.1547222222222224,1860,0,2,2
openai/openai-cookbook,1237,8,19,11,1.2013888888888888,1855,0,1,2
openai/openai-cookbook,1235,1,1,1,1552.8880555555556,2228,0,1,2
openai/openai-cookbook,1234,1,1,1,1553.1463888888889,1470,0,1,2
openai/openai-cookbook,1233,3,1174,0,2462.8063888888887,1963,0,0,1
openai/openai-cookbook,1231,10,1442,1,137.53027777777777,1862,0,1,2
openai/openai-cookbook,1230,1,1,1,1716.3636111111111,1750,0,0,1
openai/openai-cookbook,1220,1,190,159,207.65055555555554,2027,0,1,2
openai/openai-cookbook,1217,3,551,0,3186.9436111111113,3725,0,0,1
openai/openai-cookbook,1215,1,2,2,1726.2197222222221,93,0,0,1
openai/openai-cookbook,1213,1,309,201,58.29666666666667,298,0,2,2
openai/openai-cookbook,1212,3,44,38,1975.3966666666668,2081,0,0,1
openai/openai-cookbook,1211,2,1106,0,576.7580555555555,1855,0,7,2
