repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
openai/whisper,2309,1,1,0,463.5105555555556,0,0,0,1
openai/whisper,2307,2,2,2,521.1066666666667,198,0,0,1
openai/whisper,2298,1,1,1,1691.0933333333332,70,0,0,1
openai/whisper,2240,1,22,102,42.45611111111111,1003,0,0,1
openai/whisper,2229,1,1,0,4.315555555555555,23,0,0,1
openai/whisper,2153,1,14,0,1193.7997222222223,491,0,0,1
openai/whisper,2152,5,150,0,21.58888888888889,2,0,0,1
openai/whisper,1946,30,4364,0,219.52805555555557,147,0,0,1
openai/whisper,1926,2,3,3,10.648055555555555,1143,0,0,1
openai/whisper,1898,1,88,0,1.5347222222222223,0,0,0,1
openai/whisper,1887,2,4,4,24.041944444444443,2614,0,0,1
openai/whisper,1838,3,153,19,580.9291666666667,8696,0,0,1
openai/whisper,1831,2,62,8,7514.214444444445,84,0,0,1
openai/whisper,1802,1,1,1,3.8536111111111113,136,0,1,2
openai/whisper,1751,1,1,2,86.6613888888889,288,0,0,1
openai/whisper,1741,1,1,1,130.00166666666667,359,0,0,1
openai/whisper,1729,2,106,47,353.5788888888889,1542,0,0,1
openai/whisper,1704,0,0,0,691.3630555555555,1415,0,9,3
openai/whisper,1682,1,7,2,929.0763888888889,184,0,0,1
openai/whisper,1661,30,376,9648,6.730555555555555,0,0,0,1
openai/whisper,1643,1,5,5,297.7266666666667,17,0,0,1
openai/whisper,1596,2,29,5,3.161388888888889,1794,0,0,1
openai/whisper,1571,1,5,2,1121.5522222222223,161,0,0,1
openai/whisper,1568,4,109,34,1148.4122222222222,0,0,1,2
openai/whisper,1559,1,7,2,214.34194444444444,0,0,2,1
openai/whisper,1528,4,60,5,1528.6169444444445,452,0,1,2
openai/whisper,1526,1,1,1,1544.2975,0,0,2,2
openai/whisper,1511,1,3,3,2886.6694444444443,416,0,0,1
openai/whisper,1483,1,9,6,153.2136111111111,209,0,7,2
openai/whisper,1481,3,32,2,27.355,0,0,0,1
openai/whisper,1461,2,60,28,200.4322222222222,2523,0,0,1
openai/whisper,1460,1,4,4,1959.1447222222223,953,0,0,1
openai/whisper,1431,1,4,2,250.01638888888888,0,0,0,1
openai/whisper,1402,1,9,0,408.63444444444445,1673,0,0,1
openai/whisper,1396,1,1,1,3270.0175,923,0,1,2
openai/whisper,1279,1,5,1,242.70472222222222,314,0,0,1
openai/whisper,1254,1,0,0,396.36277777777775,0,0,0,1
openai/whisper,1252,2,62,1,1116.3433333333332,312,0,0,1
openai/whisper,1250,1,3,2,425.65472222222223,595,0,0,1
openai/whisper,1242,3,20,13,434.3519444444444,439,0,2,3
openai/whisper,1239,2,7,1,3743.447777777778,195,0,0,1
openai/whisper,1236,1,1,1,470.30944444444447,445,0,0,1
openai/whisper,1233,1,1,1,480.69916666666666,190,0,0,1
openai/whisper,1224,1,4,4,549.0433333333333,401,0,0,1
openai/whisper,1211,1,2,2,54.611666666666665,322,0,0,1
openai/whisper,1184,2,106,42,213.37527777777777,1455,0,0,1
openai/whisper,1180,1,2,1,235.2061111111111,0,0,0,1
openai/whisper,1171,3,11,8,834.9147222222222,51,0,0,1
openai/whisper,1155,1,7,0,372.83194444444445,180,0,4,2
openai/whisper,1154,1,8,3,5409.256944444444,727,0,0,1
openai/whisper,1135,1,1,1,108.95083333333334,497,0,0,1
openai/whisper,1123,1,1,8,508.3519444444444,102,0,1,2
openai/whisper,1114,1,25,7,567.5191666666667,5664,0,0,1
openai/whisper,1105,1,2,2,604.6194444444444,0,0,0,1
openai/whisper,1089,2,21,1,7.4222222222222225,505,0,0,1
openai/whisper,1087,1,30,22,7.203611111111111,218,0,0,1
openai/whisper,1076,1,3,0,74.61416666666666,222,0,1,2
openai/whisper,1052,2,38,27,6.335,0,0,0,1
openai/whisper,1044,15,100601,100096,143.15194444444444,428,0,6,3
openai/whisper,1038,21,533,227,1.0216666666666667,0,0,0,1
openai/whisper,1033,3,30,16,10.657222222222222,434,0,0,1
openai/whisper,1021,1,1,0,85.47833333333334,78,0,0,1
openai/whisper,1012,4,15,4,4.8052777777777775,0,0,0,1
openai/whisper,1005,1,1,1,177.51944444444445,16,0,0,1
openai/whisper,997,1,6,4,242.07527777777779,162,0,0,1
openai/whisper,973,1,12,0,8.9575,142,0,0,1
openai/whisper,965,1,2,4,513.4133333333333,0,0,0,1
openai/whisper,934,1,17,5,666.9455555555555,3097,0,0,1
openai/whisper,914,1,7,1,14.565555555555555,49,0,3,3
openai/whisper,894,1,5,5,896.0969444444445,60,0,1,2
openai/whisper,881,1,1,0,3.8380555555555556,19,0,0,1
openai/whisper,869,14,769,78,1081.4852777777778,0,0,25,7
openai/whisper,864,1,8,3,36.776666666666664,141,0,0,1
openai/whisper,857,1,1,1,5.7811111111111115,101,0,0,1
openai/whisper,839,1,1,1,85.44305555555556,593,0,0,1
openai/whisper,812,1,2,2,303.21722222222223,118,0,0,1
openai/whisper,804,1,1,1,342.62388888888887,134,0,0,1
openai/whisper,789,2,25,1,435.3077777777778,1162,0,0,1
openai/whisper,731,1,4,0,705.4,935,0,0,1
openai/whisper,727,8,1077,405,683.5802777777777,72,0,0,1
openai/whisper,681,6,61,11,841.4577777777778,515,0,0,1
openai/whisper,670,1,4,1,898.6211111111111,937,0,1,2
openai/whisper,659,2,1,1,983.4183333333333,501,0,0,1
openai/whisper,630,1,2,1,100.29444444444445,55,0,0,1
openai/whisper,627,4,22,3,44.71083333333333,285,0,0,1
openai/whisper,561,1,2,1,347.0180555555556,1051,0,0,1
openai/whisper,532,1,8,4,12.16,637,0,0,1
openai/whisper,468,1,37,0,728.4802777777778,691,0,2,2
openai/whisper,401,1,1,1,1076.6730555555555,495,0,1,1
openai/whisper,399,1,1,1,1031.6380555555556,491,0,0,1
openai/whisper,370,1,3,3,9.7975,478,0,0,1
openai/whisper,333,2,89,57,2347.8947222222223,514,0,0,1
openai/whisper,327,8,1077,405,48.134166666666665,3,0,0,1
openai/whisper,315,1,5,1,95.53722222222223,145,0,0,1
openai/whisper,305,1,1,1,122.33277777777778,193,0,0,1
openai/whisper,278,1,6,1,3.3986111111111112,92,0,0,1
openai/whisper,257,1,4,1,83.3825,675,0,0,1
openai/whisper,248,1,10,0,116.70305555555555,477,0,0,1
openai/whisper,240,1,1,1,8.883611111111112,646,0,0,1
openai/whisper,231,1,399,0,27.675833333333333,418,0,1,2
