repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
opencv/opencv,26357,1,12,4,4.205,736,0,1,2
opencv/opencv,26356,1,1,1,29.136111111111113,986,0,0,1
opencv/opencv,26353,1,3,3,14.402222222222223,717,0,0,1
opencv/opencv,26346,1,23,0,28.158055555555556,987,0,0,1
opencv/opencv,26340,1,14,3,55.6525,734,0,1,2
opencv/opencv,26335,1,1,1,1.0991666666666666,366,0,0,1
opencv/opencv,26333,2,32,6,3.5755555555555554,599,0,1,2
opencv/opencv,26330,4,253,62,111.11222222222223,1839,0,11,3
opencv/opencv,26327,8,26,231,118.98805555555556,900,0,1,2
opencv/opencv,26324,1,26,1,96.72194444444445,717,0,0,1
opencv/opencv,26321,3,98,4,38.50388888888889,2687,0,1,2
opencv/opencv,26320,1,4,0,8.873055555555556,1110,0,1,2
opencv/opencv,26318,2,376,423,185.21777777777777,2271,0,1,2
opencv/opencv,26313,1,4,4,25.76888888888889,717,0,1,2
opencv/opencv,26302,1,1,3,96.50027777777778,878,0,0,1
opencv/opencv,26301,4,292,239,31.340555555555557,1115,0,2,2
opencv/opencv,26300,1,2,1,95.65666666666667,1045,0,0,1
opencv/opencv,26298,3,17,4,46.126666666666665,732,0,1,2
opencv/opencv,26294,30,2272,166,90.3938888888889,1242,0,0,1
opencv/opencv,26293,4,52,1,139.47027777777777,717,0,9,2
opencv/opencv,26292,1,12,74,23.223055555555554,815,0,0,1
opencv/opencv,26286,30,2268,164,17.161944444444444,773,0,0,1
opencv/opencv,26285,1,1,1,5.858611111111111,845,0,1,2
opencv/opencv,26284,1,28,28,267.93944444444446,781,0,1,2
opencv/opencv,26281,1,123,63,206.6536111111111,782,0,3,2
opencv/opencv,26280,9,57,0,138.29111111111112,728,0,0,1
opencv/opencv,26278,2,42,0,24.85333333333333,1474,0,1,2
opencv/opencv,26277,30,2268,164,2.390277777777778,804,0,0,1
opencv/opencv,26274,1,14,1,16.269444444444446,790,0,2,2
opencv/opencv,26272,30,2268,164,8.68138888888889,717,0,0,1
opencv/opencv,26271,7,1946,788,168.4038888888889,20891,0,18,2
opencv/opencv,26268,5,120,803,161.21083333333334,1077,0,1,2
opencv/opencv,26267,1,2,0,1.0966666666666667,281,0,1,2
opencv/opencv,26266,1,1,1,3.3097222222222222,1425,0,1,2
opencv/opencv,26265,7,61,951,56.3225,1559,0,0,1
opencv/opencv,26263,1,2,1,51.37027777777778,774,0,1,2
opencv/opencv,26260,16,139,325,91.79861111111111,759,0,1,2
opencv/opencv,26259,5,59,25,76.52194444444444,794,0,3,3
opencv/opencv,26256,4,142,19,64.65472222222222,673,0,3,2
opencv/opencv,26255,1,45,0,65.26833333333333,607,0,1,2
opencv/opencv,26253,1,1,1,109.55027777777778,396,0,1,2
opencv/opencv,26252,30,2268,164,99.40027777777777,773,0,0,1
opencv/opencv,26251,1,2,2,3.8938888888888887,786,0,1,2
opencv/opencv,26248,7,92,76,3.756666666666667,1028,0,0,1
opencv/opencv,26247,30,2147,182,80.44666666666667,1859,0,0,1
opencv/opencv,26245,1,31,1,455.39166666666665,1794,0,1,2
opencv/opencv,26242,17,3082,253,221.64111111111112,741,0,0,1
opencv/opencv,26241,1,2,2,3.405,717,0,0,1
opencv/opencv,26239,30,2143,170,13.217777777777778,777,0,0,1
opencv/opencv,26238,30,2143,170,158.78527777777776,717,0,0,1
opencv/opencv,26237,4,242,0,238.2275,7357,0,0,1
opencv/opencv,26236,1,5,1,5.165277777777778,1634,0,1,2
opencv/opencv,26234,1,10,10,234.45694444444445,790,0,4,2
opencv/opencv,26231,3,161,17,21.311666666666667,804,0,1,2
opencv/opencv,26230,1,196,201,12.008333333333333,18,0,1,2
opencv/opencv,26229,1,196,201,12.04111111111111,0,0,1,2
opencv/opencv,26228,1,6,6,13.437222222222223,25,0,1,2
opencv/opencv,26227,1,6,7,13.444166666666666,69,0,1,2
opencv/opencv,26225,2,0,55,13.651111111111112,30,0,1,2
opencv/opencv,26224,26,1438,1966,45.504444444444445,36,0,2,3
opencv/opencv,26222,30,2143,170,20.753055555555555,1317,0,0,1
opencv/opencv,26221,8,362,214,5.310833333333333,921,0,5,3
opencv/opencv,26220,30,2143,170,15.745,901,0,0,1
opencv/opencv,26219,2,163,49,21.25,1120,0,2,3
opencv/opencv,26217,1,10,0,4.8694444444444445,759,0,0,1
