repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
oven-sh/bun,14798,2,8,44,1.1063888888888889,875,0,0,1
oven-sh/bun,14783,8,180,14,1.6158333333333332,1747,0,0,1
oven-sh/bun,14776,4,11,11,3.379722222222222,88,0,0,1
oven-sh/bun,14755,5,279,9,17.470833333333335,431,0,5,4
oven-sh/bun,14751,4,395,790,14.47861111111111,1687,0,0,1
oven-sh/bun,14748,3,76,33,25.024166666666666,1789,0,0,1
oven-sh/bun,14730,1,1,1,2.622777777777778,218,0,0,1
oven-sh/bun,14726,1,2,2,18.659444444444443,1585,0,1,2
oven-sh/bun,14704,1,4,1,2.0791666666666666,197,0,0,1
oven-sh/bun,14695,4,70,22,20.690277777777776,1780,0,6,2
oven-sh/bun,14691,10,101,13,24.75583333333333,159,0,1,1
oven-sh/bun,14690,1,1,1,10.155555555555555,1769,0,0,1
oven-sh/bun,14683,6,216,35,11.075555555555555,438,0,1,1
oven-sh/bun,14679,11,396,187,3.3944444444444444,155,0,6,2
oven-sh/bun,14677,2,33,0,1.2127777777777777,1740,0,0,1
oven-sh/bun,14675,1,7,1,6.064444444444445,50,0,1,2
oven-sh/bun,14657,1,3,1,18.67361111111111,259,0,1,2
oven-sh/bun,14656,1,28,10,23.149722222222223,50,0,1,2
oven-sh/bun,14654,1,1,1,14.126666666666667,158,0,1,2
oven-sh/bun,14648,3,77,51,3.8447222222222224,1863,0,2,2
oven-sh/bun,14643,1,35,35,1.1547222222222222,72,0,0,1
oven-sh/bun,14642,1,3,2,3.3783333333333334,56,0,0,1
oven-sh/bun,14641,1,2,2,3.410277777777778,56,0,0,1
oven-sh/bun,14640,4,236,234,5.915555555555556,1769,0,0,1
oven-sh/bun,14639,10,179,152,4.085555555555556,1558,0,0,1
oven-sh/bun,14629,2,61,0,131.5261111111111,360,0,1,2
oven-sh/bun,14620,1,1,1,29.469444444444445,1769,0,1,2
oven-sh/bun,14608,1,9,8,11.599722222222223,551,0,0,1
oven-sh/bun,14606,5,171,133,11.767777777777777,1783,0,0,1
oven-sh/bun,14603,1,1,1,117.80638888888889,1769,0,0,1
oven-sh/bun,14602,1,1,0,15.178055555555556,320,0,0,1
oven-sh/bun,14601,4,131,0,16.766666666666666,1769,0,0,1
oven-sh/bun,14599,4,46,20,3.7777777777777777,7197,0,2,2
oven-sh/bun,14598,2,10,2,1.8733333333333333,1783,0,0,1
oven-sh/bun,14597,30,38,33,1.0577777777777777,0,0,0,1
oven-sh/bun,14578,1,2,1,18.376666666666665,55,0,0,1
oven-sh/bun,14577,14,12,26,1.4572222222222222,0,0,0,1
oven-sh/bun,14576,2,27,2,3.834722222222222,514,0,0,1
oven-sh/bun,14573,17,652,225,5.423333333333333,0,0,0,1
oven-sh/bun,14569,2,45,3,2.9244444444444446,96,0,2,2
oven-sh/bun,14565,1,2,2,2.5838888888888887,64,0,0,1
oven-sh/bun,14548,14,765,215,12.994722222222222,2764,0,1,2
oven-sh/bun,14531,1,3,3,43.2625,1790,0,0,1
oven-sh/bun,14528,5,33,2,2.3047222222222223,2247,0,1,2
oven-sh/bun,14521,1,0,10,11.545,198,0,0,1
oven-sh/bun,14514,1,5,5,56.985,85,0,0,1
oven-sh/bun,14513,1,2,4,57.06722222222222,176,0,0,1
oven-sh/bun,14510,5,56,54,114.16777777777777,1734,0,0,1
oven-sh/bun,14508,1,1,1,166.69972222222222,1785,0,0,1
oven-sh/bun,14506,1,12,12,1.7280555555555555,0,0,0,1
oven-sh/bun,14504,27,2600,1321,66.91416666666667,1287,0,13,2
oven-sh/bun,14503,2,7,483,3.5319444444444446,1968,0,0,1
oven-sh/bun,14499,30,5307,1457,13.352777777777778,5285,0,10,2
oven-sh/bun,14497,3,6,4,2.2841666666666667,1657,0,0,1
oven-sh/bun,14492,26,362,143,16.398611111111112,225,0,8,3
oven-sh/bun,14488,8,583,62,20.670277777777777,1780,0,1,2
oven-sh/bun,14486,10,614,67,21.94388888888889,218,0,0,1
oven-sh/bun,14484,5,19,27,1.0883333333333334,1794,0,1,2
oven-sh/bun,14479,5,392,54,4.566388888888889,917,0,2,2
oven-sh/bun,14478,3,35,1,26.13138888888889,215,0,1,2
oven-sh/bun,14473,3,17,3,5.601944444444444,92,0,0,1
oven-sh/bun,14468,2,113,27,43.660833333333336,702,0,0,1
oven-sh/bun,14461,1,10,0,25.60638888888889,79,0,0,1
oven-sh/bun,14455,1,1,0,16.621944444444445,691,0,0,1
oven-sh/bun,14449,5,58,2,9.189722222222223,1670,0,1,2
oven-sh/bun,14446,5,223,142,12.115277777777777,335,0,0,1
oven-sh/bun,14443,1,2,0,2.0502777777777776,1821,0,0,1
oven-sh/bun,14429,1,1,1,25.98027777777778,1899,0,0,1
oven-sh/bun,14428,1,1,1,10.881944444444445,0,0,1,2
oven-sh/bun,14423,4,311,4,76.21333333333334,50,0,0,1
oven-sh/bun,14421,5,0,189,146.2175,1625,0,0,1
oven-sh/bun,14419,1,0,22,2.418888888888889,2069,0,1,2
oven-sh/bun,14416,29,677,124,71.7275,1819,0,4,2
