repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
pallets/flask,5617,14,129,62,1.8327777777777778,86,0,0,1
pallets/flask,5614,9,22,29,64.02777777777777,1446,0,0,1
pallets/flask,5613,1,1,1,47.483333333333334,371,0,0,1
pallets/flask,5610,1,1,1,469.62666666666667,1033,0,0,1
pallets/flask,5609,1,1,1,630.2436111111111,233,0,0,1
pallets/flask,5601,1,1,0,5.057222222222222,371,0,0,1
pallets/flask,5555,2,5,2,2.9691666666666667,915,0,3,3
pallets/flask,5552,1,2,2,90.48666666666666,932,0,0,1
pallets/flask,5550,8,26,17,1891.4872222222223,50,0,1,1
pallets/flask,5546,2,3,1,1.1488888888888888,72,0,0,1
pallets/flask,5544,2,14,9,1.5161111111111112,66,0,9,2
pallets/flask,5541,1,1,1,16.36138888888889,188,0,0,1
pallets/flask,5539,2,6,6,46.66972222222222,8614,0,0,1
pallets/flask,5538,4,12,12,537.5975,31399,0,0,1
pallets/flask,5535,2,5,0,2.0866666666666664,0,0,0,1
pallets/flask,5526,4,81,53,14.329444444444444,179,0,0,1
pallets/flask,5522,1,1,1,38.79694444444444,869,0,0,1
pallets/flask,5517,1,1,1,11.040277777777778,188,0,0,1
pallets/flask,5516,2,5,5,3.8447222222222224,17251,0,0,1
pallets/flask,5514,3,10,10,7.763888888888889,16617,0,0,1
pallets/flask,5497,1,3,0,5.505,356,0,0,1
pallets/flask,5496,4,14,2,53.730555555555554,1116,0,1,2
pallets/flask,5490,1,1,1,2.2933333333333334,0,0,0,1
pallets/flask,5487,1,4,4,90.56666666666666,197,0,0,1
pallets/flask,5485,1,1,1,141.95416666666668,895,0,0,1
pallets/flask,5475,1,1,1,4.129444444444444,137,0,0,1
pallets/flask,5474,4,13,13,121.9186111111111,23817,0,0,1
pallets/flask,5473,2,5,5,121.92805555555556,11509,0,0,1
pallets/flask,5466,1,2,2,2.8941666666666666,40,0,0,1
pallets/flask,5464,1,6,0,960.8658333333333,166,0,0,1
pallets/flask,5457,30,352,301,17.028333333333332,78,0,0,1
pallets/flask,5453,6,11,18,139.98666666666668,188,0,0,1
pallets/flask,5452,4,19,17,146.09055555555557,55207,0,0,1
pallets/flask,5451,2,8,8,146.8022222222222,33711,0,0,1
pallets/flask,5444,1,1,1,4.402777777777778,1035,0,0,1
pallets/flask,5433,13,42,29,46.81944444444444,0,0,0,1
pallets/flask,5426,2,3,3,744.0225,13156,0,0,1
pallets/flask,5425,4,12,10,744.8588888888889,36849,0,0,1
pallets/flask,5423,1,5,3,958.865,146,0,0,1
pallets/flask,5420,2,2,2,9.880833333333333,863,0,0,1
pallets/flask,5404,1,1,1,168.36694444444444,190,0,0,1
pallets/flask,5402,1,2,0,3.2047222222222222,227,0,0,1
pallets/flask,5401,4,12,12,47.975,30481,0,0,1
pallets/flask,5400,2,3,3,48.06138888888889,5367,0,0,1
pallets/flask,5393,3,10,1,210.29722222222222,1436,0,0,1
pallets/flask,5389,2,4,1,267.6325,967,0,0,1
pallets/flask,5384,1,6,6,384.0672222222222,238,0,0,1
pallets/flask,5383,28,390,284,72.88027777777778,333,0,0,1
pallets/flask,5377,2,2,2,331.4794444444444,188,0,0,1
pallets/flask,5376,2,5,5,336.18583333333333,16220,0,0,1
pallets/flask,5370,1,1,1,1.788888888888889,663,0,0,1
pallets/flask,5357,1,0,0,2.234722222222222,1001,0,0,1
pallets/flask,5355,1,2,2,197.13361111111112,234,0,0,1
pallets/flask,5354,1,1,1,1.9430555555555555,188,0,0,1
pallets/flask,5352,2,3,3,78.65388888888889,11909,0,0,1
pallets/flask,5351,3,6,6,295.48277777777776,16044,0,0,1
pallets/flask,5350,1,2,2,1.9583333333333333,696,0,0,1
pallets/flask,5344,2,4,1,456.985,519,0,0,1
pallets/flask,5340,1,2,0,1.0172222222222222,1040,0,0,1
pallets/flask,5338,2,2,2,3.013888888888889,614,0,0,1
pallets/flask,5336,2,3,1,57.35472222222222,757,0,1,2
pallets/flask,5331,26,99,128,3.0305555555555554,0,0,0,1
pallets/flask,5317,2,2,2,192.5038888888889,12116,0,0,1
pallets/flask,5316,2,2,2,192.50555555555556,3670,0,0,1
pallets/flask,5315,1,1,1,4.975833333333333,718,0,0,1
pallets/flask,5313,1,1,1,7.113888888888889,564,0,0,1
