repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
papers-we-love/papers-we-love,801,1,29,0,107.23972222222223,557,0,0,1
papers-we-love/papers-we-love,798,1,2,0,644.4077777777778,284,0,0,1
papers-we-love/papers-we-love,795,1,1,1,3.477777777777778,14,0,1,2
papers-we-love/papers-we-love,793,1,1,1,5.404444444444445,82,0,1,2
papers-we-love/papers-we-love,791,1,1,0,15.288611111111111,57,0,1,2
papers-we-love/papers-we-love,790,1,3,1,3416.282222222222,187,0,7,4
papers-we-love/papers-we-love,772,1,1,0,16.761111111111113,364,0,1,2
papers-we-love/papers-we-love,770,1,1,0,3.734166666666667,0,0,0,1
papers-we-love/papers-we-love,766,1,9,0,9.4425,552,0,0,1
papers-we-love/papers-we-love,764,1,8,0,9.81638888888889,538,0,1,2
papers-we-love/papers-we-love,761,1,2,2,4.069166666666667,46,0,0,1
papers-we-love/papers-we-love,752,1,1,1,15.920833333333333,251,0,0,1
papers-we-love/papers-we-love,740,6,6,6,4.211666666666667,82,0,0,1
papers-we-love/papers-we-love,737,2,2,0,2.4877777777777776,215,0,1,2
papers-we-love/papers-we-love,724,1,1,1,2.375277777777778,226,0,1,2
papers-we-love/papers-we-love,718,7,7,7,2.0408333333333335,438,0,1,2
papers-we-love/papers-we-love,715,1,1,1,4.602222222222222,207,0,1,2
papers-we-love/papers-we-love,709,1,1,1,24.95611111111111,505,0,1,2
papers-we-love/papers-we-love,705,2,8,45,17.70277777777778,0,0,1,2
papers-we-love/papers-we-love,700,1,3,0,6.956111111111111,120,0,0,1
papers-we-love/papers-we-love,697,1,1,1,16.32888888888889,264,0,0,1
papers-we-love/papers-we-love,696,1,1,1,1.4636111111111112,260,0,0,1
papers-we-love/papers-we-love,692,1,1,0,9.991111111111111,142,0,0,1
papers-we-love/papers-we-love,691,1,1,1,15.385277777777778,167,0,0,1
papers-we-love/papers-we-love,690,1,4,0,50.560833333333335,428,0,0,1
papers-we-love/papers-we-love,688,1,6,0,31.601666666666667,446,0,0,1
papers-we-love/papers-we-love,681,1,1,0,6.033611111111111,199,0,1,2
papers-we-love/papers-we-love,678,1,4,0,68.44833333333334,0,0,0,1
papers-we-love/papers-we-love,677,30,0,0,63.685833333333335,143,0,0,1
papers-we-love/papers-we-love,672,2,0,12,10.331111111111111,232,0,0,1
papers-we-love/papers-we-love,664,1,1,1,59.565,98,0,0,1
papers-we-love/papers-we-love,662,1,1,1,617.5147222222222,232,0,0,1
papers-we-love/papers-we-love,657,3,4,4,2.4991666666666665,495,0,0,1
papers-we-love/papers-we-love,651,1,1,1,2.2994444444444446,288,0,0,1
papers-we-love/papers-we-love,646,1,1,1,454.0338888888889,248,0,1,2
papers-we-love/papers-we-love,643,7,9,10,1.4297222222222221,0,0,0,1
papers-we-love/papers-we-love,641,13,30,32,1.4027777777777777,145,0,1,2
papers-we-love/papers-we-love,640,2,2,1,91.73555555555555,318,0,0,1
papers-we-love/papers-we-love,635,1,2,0,24.980833333333333,630,0,0,1
papers-we-love/papers-we-love,630,2,11,11,105.72638888888889,177,0,0,1
papers-we-love/papers-we-love,627,1,1,0,14.726111111111111,921,0,0,1
papers-we-love/papers-we-love,626,1,1,1,10.822777777777778,165,0,1,2
papers-we-love/papers-we-love,624,1,28,0,797.6927777777778,286,0,0,1
papers-we-love/papers-we-love,623,1,1,1,12.057777777777778,33,0,1,2
papers-we-love/papers-we-love,622,2,2,0,13.639722222222222,224,0,0,1
papers-we-love/papers-we-love,617,1,3,0,39.88444444444445,404,0,2,2
papers-we-love/papers-we-love,615,1,9,1,4.7188888888888885,692,0,0,1
papers-we-love/papers-we-love,613,1,4,0,20.89638888888889,527,0,0,1
papers-we-love/papers-we-love,611,1,0,1,885.4469444444444,62,0,0,1
papers-we-love/papers-we-love,609,1,1,1,48.401666666666664,98,0,0,1
papers-we-love/papers-we-love,608,1,1,1,64.32833333333333,96,0,0,1
papers-we-love/papers-we-love,605,1,1,1,143.8972222222222,77,0,0,1
papers-we-love/papers-we-love,602,1,1,1,65.7175,56,0,0,1
papers-we-love/papers-we-love,600,1,6,0,26.546666666666667,869,0,0,1
papers-we-love/papers-we-love,599,1,1,1,15.118055555555555,58,0,0,1
papers-we-love/papers-we-love,598,1,0,11,13.142222222222221,29,0,0,1
papers-we-love/papers-we-love,597,3,80,0,58.90111111111111,0,0,0,1
papers-we-love/papers-we-love,596,1,11,5,71.53944444444444,258,0,0,1
papers-we-love/papers-we-love,595,1,5,0,610.2913888888888,164,0,0,1
papers-we-love/papers-we-love,594,1,0,0,38.60138888888889,703,0,0,1
papers-we-love/papers-we-love,592,1,1,0,877.4055555555556,464,0,0,1
papers-we-love/papers-we-love,591,1,1,1,224.55916666666667,295,0,0,1
papers-we-love/papers-we-love,588,1,2,0,3.2558333333333334,369,0,0,1
papers-we-love/papers-we-love,587,9,89,13,917.7561111111111,381,0,0,1
papers-we-love/papers-we-love,586,1,6,0,642.4511111111111,0,0,0,1
papers-we-love/papers-we-love,585,1,4,1,1.0580555555555555,753,0,0,1
papers-we-love/papers-we-love,584,1,1,0,9.313333333333333,42,0,0,1
papers-we-love/papers-we-love,583,1,4,0,348.6088888888889,751,0,0,1
papers-we-love/papers-we-love,582,1,3,0,406.06055555555554,333,0,0,1
papers-we-love/papers-we-love,579,1,2,2,8.057222222222222,205,0,1,1
