repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
practical-tutorials/project-based-learning,614,1,0,1,191.69861111111112,1076,0,0,1
practical-tutorials/project-based-learning,518,1,6,0,4651.380277777777,1353,0,0,1
practical-tutorials/project-based-learning,511,1,1,0,231.68472222222223,1311,0,0,1
practical-tutorials/project-based-learning,510,1,1,0,231.76055555555556,1321,0,0,1
practical-tutorials/project-based-learning,505,1,4,0,20.601944444444445,1712,0,0,1
practical-tutorials/project-based-learning,498,1,1,1,4773.685277777778,1368,0,0,1
practical-tutorials/project-based-learning,491,1,0,1,2337.9994444444446,1073,0,0,1
practical-tutorials/project-based-learning,487,1,11,11,1362.7380555555555,669,0,0,1
practical-tutorials/project-based-learning,481,1,1,0,65.75722222222223,1270,0,0,1
practical-tutorials/project-based-learning,477,1,3,0,2533.7055555555557,1270,0,0,1
practical-tutorials/project-based-learning,464,1,1,1,2001.9419444444445,1223,0,0,1
practical-tutorials/project-based-learning,451,1,1,1,840.5788888888889,1681,0,0,1
practical-tutorials/project-based-learning,447,1,1,0,7887.8525,482,0,0,1
practical-tutorials/project-based-learning,445,1,1,1,311.3236111111111,351,0,0,1
practical-tutorials/project-based-learning,432,1,1,0,1939.0605555555555,1270,0,0,1
practical-tutorials/project-based-learning,430,1,7,1,8156.597777777778,845,0,0,1
practical-tutorials/project-based-learning,426,1,0,4,3113.7283333333335,1377,0,0,1
practical-tutorials/project-based-learning,416,1,1,0,58.026944444444446,188,0,0,1
practical-tutorials/project-based-learning,415,1,1,0,152.43555555555557,289,0,0,1
practical-tutorials/project-based-learning,413,1,3,0,183.57833333333335,307,0,0,1
practical-tutorials/project-based-learning,411,1,1,1,258.5538888888889,1270,0,0,1
practical-tutorials/project-based-learning,408,1,1,0,664.9447222222223,40,0,0,1
practical-tutorials/project-based-learning,407,1,1,0,678.0125,1523,0,0,1
practical-tutorials/project-based-learning,403,1,1,0,1039.4819444444445,1295,0,0,1
practical-tutorials/project-based-learning,398,1,1,0,1038.6083333333333,1365,0,0,1
practical-tutorials/project-based-learning,397,1,2,0,1405.9991666666667,1270,0,0,1
practical-tutorials/project-based-learning,395,1,55,0,1840.4908333333333,1270,0,0,1
practical-tutorials/project-based-learning,392,1,4,0,380.18638888888887,1421,0,0,1
practical-tutorials/project-based-learning,384,1,2,0,7508.775277777778,1824,0,1,2
practical-tutorials/project-based-learning,377,1,1,0,382.585,1270,0,0,1
practical-tutorials/project-based-learning,376,1,14,0,582.6827777777778,1847,0,0,1
practical-tutorials/project-based-learning,373,1,8,0,649.4097222222222,233,0,0,1
practical-tutorials/project-based-learning,372,1,0,6,5761.941666666667,1534,0,0,1
practical-tutorials/project-based-learning,371,1,8,0,792.2908333333334,1374,0,0,1
practical-tutorials/project-based-learning,367,1,8,1,996.8108333333333,311,0,0,1
practical-tutorials/project-based-learning,366,1,1,1,983.4566666666667,1386,0,0,1
practical-tutorials/project-based-learning,364,1,18,1,1356.8827777777778,853,0,1,2
practical-tutorials/project-based-learning,363,1,1,1,1353.3180555555555,1540,0,0,1
practical-tutorials/project-based-learning,362,1,2,0,1369.9719444444445,0,0,0,1
practical-tutorials/project-based-learning,361,1,1,0,228.3072222222222,1332,0,0,1
practical-tutorials/project-based-learning,359,1,1,1,2262.2366666666667,2316,0,0,1
practical-tutorials/project-based-learning,358,1,5,0,5242.0761111111115,1514,0,0,1
practical-tutorials/project-based-learning,357,1,1,1,4487.9013888888885,1427,0,0,1
practical-tutorials/project-based-learning,355,1,1,0,39.102777777777774,1393,0,0,1
practical-tutorials/project-based-learning,354,1,10,0,521.3813888888889,1244,0,0,1
practical-tutorials/project-based-learning,352,1,12,0,753.6858333333333,1343,0,0,1
practical-tutorials/project-based-learning,351,1,0,1,585.1269444444445,1796,0,0,1
practical-tutorials/project-based-learning,349,1,5,13,981.3219444444444,1214,0,0,1
practical-tutorials/project-based-learning,348,1,4,0,1480.1269444444445,1095,0,0,1
practical-tutorials/project-based-learning,346,1,176,106,17945.735277777778,2474,0,0,1
practical-tutorials/project-based-learning,345,1,1,0,1720.36,2475,0,1,2
practical-tutorials/project-based-learning,343,1,1,0,8.433055555555555,1117,0,0,1
practical-tutorials/project-based-learning,341,2,11,0,2.1658333333333335,1270,0,0,1
practical-tutorials/project-based-learning,337,1,1,0,1677.8997222222222,1270,0,0,1
practical-tutorials/project-based-learning,336,1,1,0,1729.5177777777778,1357,0,0,1
practical-tutorials/project-based-learning,335,1,0,2,2106.7730555555554,904,0,0,1
practical-tutorials/project-based-learning,334,1,0,1,2299.186388888889,1337,0,0,1
practical-tutorials/project-based-learning,333,1,1,1,1.0833333333333333,70,0,0,1
practical-tutorials/project-based-learning,331,1,14,0,5202.192777777777,1775,0,1,2
