repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
protocolbuffers/protobuf,18987,2,2,2,1.3975,22,0,0,1
protocolbuffers/protobuf,18986,9,10,9,2.988888888888889,22,0,0,1
protocolbuffers/protobuf,18984,1,3,2,1.4266666666666667,22,0,0,1
protocolbuffers/protobuf,18983,1,1,1,1.4336111111111112,22,0,0,1
protocolbuffers/protobuf,18981,1,1,1,1.9705555555555556,22,0,0,1
protocolbuffers/protobuf,18980,2,2,1,1.9830555555555556,22,0,0,1
protocolbuffers/protobuf,18978,2,32,1,8.88861111111111,135,0,1,2
protocolbuffers/protobuf,18977,2,32,1,8.938333333333333,135,0,1,2
protocolbuffers/protobuf,18976,0,0,0,14.161111111111111,88,0,0,1
protocolbuffers/protobuf,18975,1,4,0,22.65,323,0,0,1
protocolbuffers/protobuf,18973,6,23,23,1.2780555555555555,139,0,1,2
protocolbuffers/protobuf,18967,2,32,1,7.035277777777778,58,0,0,1
protocolbuffers/protobuf,18964,1,1,1,1.396388888888889,131,0,1,2
protocolbuffers/protobuf,18962,4,58,67,4.628611111111111,59,0,0,1
protocolbuffers/protobuf,18959,2,5,0,3.328611111111111,94,0,0,1
protocolbuffers/protobuf,18954,3,8,3,16.948055555555555,84,0,0,1
protocolbuffers/protobuf,18953,0,0,0,38.62777777777778,487,0,0,1
protocolbuffers/protobuf,18950,1,1,0,25.230555555555554,16,0,0,1
protocolbuffers/protobuf,18948,0,0,0,45.77444444444444,79,0,0,1
protocolbuffers/protobuf,18947,2,11,0,2.0572222222222223,109,0,0,1
protocolbuffers/protobuf,18941,0,0,0,1.0280555555555555,127,0,0,1
protocolbuffers/protobuf,18939,0,0,0,1.2025,232,0,0,1
protocolbuffers/protobuf,18937,2,0,17,55.5775,282,0,0,1
protocolbuffers/protobuf,18936,0,0,0,49.01833333333333,209,0,0,1
protocolbuffers/protobuf,18932,5,295,3,21.4,131,0,0,1
protocolbuffers/protobuf,18931,1,1,1,27.139166666666668,16,0,0,1
protocolbuffers/protobuf,18929,1,5,2,1.0927777777777778,374,0,0,1
protocolbuffers/protobuf,18927,5,77,30,5.020555555555555,135,0,0,1
protocolbuffers/protobuf,18922,0,0,0,3.865,47,0,0,1
protocolbuffers/protobuf,18921,1,5,9,23.503888888888888,339,0,0,1
protocolbuffers/protobuf,18920,0,0,0,7.956666666666667,63,0,0,1
protocolbuffers/protobuf,18918,1,2,1,26.289166666666667,65,0,1,2
protocolbuffers/protobuf,18916,0,0,0,25.684444444444445,54,0,0,1
