repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
public-apis/public-apis,4022,1,1,0,230.23416666666665,902,0,1,2
public-apis/public-apis,3993,1,1,0,647.5713888888889,902,0,0,1
public-apis/public-apis,3982,1,1,1,1025.3536111111111,940,0,0,1
public-apis/public-apis,3954,1,1,1,1398.6763888888888,902,0,1,2
public-apis/public-apis,3947,1,1,1,94.89972222222222,902,0,0,1
public-apis/public-apis,3945,1,1,1,1523.4811111111112,132,0,0,1
public-apis/public-apis,3936,1,1,0,7.764722222222222,902,0,0,1
public-apis/public-apis,3935,1,1,1,1182.0669444444445,1072,0,1,2
public-apis/public-apis,3933,1,1,1,1182.6955555555555,1005,0,0,1
public-apis/public-apis,3880,1,37,36,702.0188888888889,894,0,0,1
public-apis/public-apis,3862,1,1,1,1757.8327777777777,932,0,0,1
public-apis/public-apis,3854,1,0,1,403.27916666666664,987,0,0,1
public-apis/public-apis,3852,1,1,0,67.51333333333334,902,0,0,1
public-apis/public-apis,3838,1,1,0,27.51222222222222,767,0,0,1
public-apis/public-apis,3829,1,1,1,16.389166666666668,902,0,0,1
public-apis/public-apis,3826,1,0,1,3.8455555555555554,951,0,0,1
public-apis/public-apis,3811,1,3,1,8.562222222222223,902,0,0,1
public-apis/public-apis,3809,1,0,0,548.4855555555556,902,0,0,1
public-apis/public-apis,3806,1,1,1,47.40361111111111,902,0,0,1
public-apis/public-apis,3805,2,347,248,1097.9458333333334,902,0,2,2
public-apis/public-apis,3796,1,1,0,46.62,32,0,0,1
public-apis/public-apis,3788,1,3,0,19.464444444444446,911,0,0,1
public-apis/public-apis,3785,2,10,1837,261.5363888888889,374,0,0,1
public-apis/public-apis,3783,0,0,0,308.81083333333333,390,0,0,1
public-apis/public-apis,3777,1,1,0,2792.5383333333334,940,0,0,1
public-apis/public-apis,3775,1,0,1,5405.687777777778,74,0,0,1
public-apis/public-apis,3774,1,99,0,451.78333333333336,902,0,0,1
public-apis/public-apis,3773,1,99,21,451.90222222222224,902,0,0,1
public-apis/public-apis,3756,1,1,60,1087.1163888888889,902,0,0,1
public-apis/public-apis,3736,30,1554,1,109.65194444444444,902,0,0,1
public-apis/public-apis,3733,1,1,0,94.81194444444445,902,0,0,1
public-apis/public-apis,3720,3,2006,266,2166.265,902,0,0,1
public-apis/public-apis,3716,1,1,0,8.448611111111111,903,0,0,1
public-apis/public-apis,3705,1,1,0,6070.501944444444,902,0,0,1
public-apis/public-apis,3702,1,1,0,1.1172222222222221,902,0,0,1
public-apis/public-apis,3695,1,0,1,4491.688611111111,987,0,0,1
public-apis/public-apis,3690,1,1,1837,3320.7566666666667,902,0,0,1
public-apis/public-apis,3688,1,0,67,3333.2833333333333,902,0,0,1
public-apis/public-apis,3679,1,1,1,3383.248888888889,902,0,1,2
public-apis/public-apis,3669,0,0,0,6830.766111111111,954,0,0,1
public-apis/public-apis,3667,1,3,0,58.07472222222222,148,0,0,1
public-apis/public-apis,3665,6,155,94,36.956944444444446,902,0,0,1
public-apis/public-apis,3655,1,0,1,347.3672222222222,940,0,0,1
public-apis/public-apis,3654,1,1,0,74.60916666666667,920,0,0,1
public-apis/public-apis,3635,1,1,1,1.0730555555555557,902,0,0,1
public-apis/public-apis,3634,1,1,0,5924.475833333333,132,0,0,1
public-apis/public-apis,3620,1,1,0,34.45361111111111,902,0,1,1
public-apis/public-apis,3618,1,1,0,38.913333333333334,904,0,1,2
public-apis/public-apis,3579,1,1,0,3739.0405555555553,902,0,0,1
public-apis/public-apis,3566,1,1,0,1460.5716666666667,902,0,0,1
public-apis/public-apis,3554,1,1,0,6596.3741666666665,902,0,0,1
public-apis/public-apis,3551,1,1,0,10.983333333333333,902,0,0,1
public-apis/public-apis,3550,1,1,0,91.59666666666666,902,0,0,1
public-apis/public-apis,3549,1,1,1,384.50916666666666,902,0,0,1
public-apis/public-apis,3548,1,4,0,15.2625,902,0,0,1
public-apis/public-apis,3544,1,1,1,9479.8825,902,0,2,3
public-apis/public-apis,3538,1,1,0,47.88944444444444,902,0,0,1
public-apis/public-apis,3530,1,1,0,5688.323333333334,902,0,0,1
public-apis/public-apis,3529,1,2,1,5569.804166666667,902,0,0,1
public-apis/public-apis,3525,1,7,0,109.10916666666667,928,0,0,1
public-apis/public-apis,3524,1,1,0,3292.9513888888887,902,0,0,1
public-apis/public-apis,3522,2,4,2,494.19138888888887,902,0,0,1
public-apis/public-apis,3519,1,44,0,597.4094444444445,902,0,0,1
public-apis/public-apis,3514,1,1,0,160.7125,902,0,0,1
public-apis/public-apis,3510,1,3,0,7172.581388888889,902,0,1,2
public-apis/public-apis,3507,1,102,0,1268.8683333333333,902,0,0,1
public-apis/public-apis,3503,1,1,0,9232.1275,902,0,0,1
public-apis/public-apis,3501,1,1,0,8477.34111111111,902,0,0,1
public-apis/public-apis,3500,1,1,1,1482.9830555555557,902,0,0,1
public-apis/public-apis,3492,2,1,466,1801.2497222222223,902,0,0,1
public-apis/public-apis,3480,1,1,0,133.1,902,0,1,2
public-apis/public-apis,3479,1,1,0,874.0222222222222,902,0,0,1
public-apis/public-apis,3476,1,1,0,5374.018055555555,902,0,0,1
public-apis/public-apis,3471,1,1,0,456.0661111111111,902,0,0,1
public-apis/public-apis,3468,3,9,9,7973.634166666667,902,0,0,1
public-apis/public-apis,3461,1,8,9,3781.967222222222,37,0,0,1
public-apis/public-apis,3460,1,1,0,68.63388888888889,902,0,0,1
public-apis/public-apis,3455,1,2,1,8030.055,43,0,0,1
public-apis/public-apis,3452,1,1,0,3117.4955555555557,902,0,0,1
public-apis/public-apis,3450,1,1,1,358.52722222222224,902,0,0,1
public-apis/public-apis,3449,1,14,0,335.7816666666667,902,0,0,1
public-apis/public-apis,3448,1,20,0,4574.175,902,0,0,1
public-apis/public-apis,3446,1,1,0,5328.276111111111,902,0,0,1
public-apis/public-apis,3435,1,1,0,716.2752777777778,951,0,0,1
public-apis/public-apis,3428,1,1,1,409.91,129,0,0,1
public-apis/public-apis,3425,1,1,0,10519.543333333333,902,0,0,1
public-apis/public-apis,3422,1,1,0,19.598333333333333,902,0,0,1
public-apis/public-apis,3410,1,1,1,1012.1894444444445,87,0,1,2
public-apis/public-apis,3409,1,0,1,5472.984444444444,1051,0,0,1
public-apis/public-apis,3407,1,1,0,3948.611388888889,902,0,0,1
public-apis/public-apis,3400,1,1681,1579,8696.676666666666,789,0,0,1
public-apis/public-apis,3379,1,1,1,93.66805555555555,902,0,0,1
public-apis/public-apis,3373,1,1,0,362.8702777777778,902,0,0,1
public-apis/public-apis,3372,1,1,1,116.26277777777777,1036,0,0,1
public-apis/public-apis,3369,1,1,0,2194.487222222222,902,0,0,1
public-apis/public-apis,3368,1,7,7,1183.1661111111111,963,0,0,1
public-apis/public-apis,3364,1,1,1,1168.1444444444444,817,0,0,1
public-apis/public-apis,3361,1,1,0,910.8491666666666,946,0,0,1
public-apis/public-apis,3356,1,1,0,11121.128055555555,902,0,0,1
public-apis/public-apis,3351,1,1,0,12886.97361111111,902,0,0,1
