repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
pytorch/pytorch,138781,2,12,16,14.706388888888888,489,0,1,2
pytorch/pytorch,138779,2,11,7,19.44972222222222,201,0,2,2
pytorch/pytorch,138760,1,2,2,24.508333333333333,303,0,1,2
pytorch/pytorch,138744,1,2,2,22.81277777777778,730,0,2,3
pytorch/pytorch,138738,1,2,2,1.8694444444444445,148,0,1,2
pytorch/pytorch,138734,1,19,8,6.893888888888889,338,0,1,2
pytorch/pytorch,138733,2,21,17,9.869166666666667,356,0,2,3
pytorch/pytorch,138730,2,22,0,23.466944444444444,665,0,2,2
pytorch/pytorch,138725,1,40,0,20.810833333333335,222,0,2,3
pytorch/pytorch,138716,1,4,4,26.057222222222222,396,0,2,3
pytorch/pytorch,138714,3,8,1,1.583888888888889,98,0,2,3
pytorch/pytorch,138713,1,102,30,25.541944444444443,152,0,0,1
pytorch/pytorch,138712,1,12,0,23.43777777777778,152,0,0,1
pytorch/pytorch,138711,1,20,4,23.465555555555557,94,0,0,1
pytorch/pytorch,138710,1,21,13,23.488888888888887,94,0,0,1
pytorch/pytorch,138702,2,14,84,18.86861111111111,58,0,1,2
pytorch/pytorch,138701,5,6,6,23.709444444444443,47,0,2,3
pytorch/pytorch,138700,2,3,7,5.435555555555555,21,0,1,2
pytorch/pytorch,138694,1,7,4,4.528611111111111,58,0,0,1
pytorch/pytorch,138693,1,10,11,8.937777777777777,274,0,2,3
pytorch/pytorch,138690,1,0,5,35.80416666666667,79,0,3,3
pytorch/pytorch,138670,17,74,27,26.094444444444445,199,0,1,2
pytorch/pytorch,138668,1,4,1,14.815555555555555,217,0,0,1
pytorch/pytorch,138662,3,52,12,45.032222222222224,230,0,1,2
pytorch/pytorch,138660,17,268,23,17.373333333333335,1095,0,3,4
pytorch/pytorch,138659,2,63,24,1.065,377,0,1,2
pytorch/pytorch,138657,4,42,2,28.350833333333334,332,0,2,3
pytorch/pytorch,138656,1,4,4,8.84,114,0,3,2
pytorch/pytorch,138655,2,78,6,44.675555555555555,457,0,2,3
pytorch/pytorch,138648,3,26,35,7.184444444444445,486,0,0,1
pytorch/pytorch,138646,1,10,0,43.75111111111111,106,0,0,1
pytorch/pytorch,138642,1,6,0,5.454444444444444,563,0,1,2
pytorch/pytorch,138641,1,3,1,25.00027777777778,94,0,1,2
pytorch/pytorch,138633,1,2,4,2.3241666666666667,48,0,1,2
pytorch/pytorch,138625,1,3,3,5.356944444444444,120,0,1,2
pytorch/pytorch,138624,2,63,24,4.618888888888889,377,0,7,3
pytorch/pytorch,138619,6,46,3,33.968333333333334,278,0,1,2
pytorch/pytorch,138615,1,4,1,22.015833333333333,771,0,1,2
pytorch/pytorch,138614,1,1,1,22.278333333333332,138,0,0,1
pytorch/pytorch,138607,1,1,1,28.236666666666668,21,0,3,3
pytorch/pytorch,138603,1,12,0,53.9675,849,0,1,2
pytorch/pytorch,138602,2,26,0,4.054722222222222,585,0,2,3
pytorch/pytorch,138600,1,1,1,5.973888888888889,202,0,1,2
pytorch/pytorch,138599,1,1,1,15.0225,764,0,1,2
pytorch/pytorch,138598,3,19,3,52.963055555555556,934,0,7,2
pytorch/pytorch,138597,3,8,12,11.152222222222223,21,0,2,2
pytorch/pytorch,138595,1,5,0,14.958333333333334,934,0,1,2
pytorch/pytorch,138589,1,0,4,5.6725,258,0,1,2
pytorch/pytorch,138588,2,8,2,5.966388888888889,423,0,2,3
pytorch/pytorch,138587,2,8,9,9.911944444444444,1048,0,1,2
pytorch/pytorch,138572,14,32,46,10.689166666666667,92,0,1,2
pytorch/pytorch,138571,2,2,8,17.70611111111111,180,0,1,2
pytorch/pytorch,138569,1,1,1,16.913055555555555,21,0,2,3
pytorch/pytorch,138549,19,308,53,17.69972222222222,823,0,1,2
pytorch/pytorch,138548,5,4,8,50.69555555555556,1655,0,7,3
pytorch/pytorch,138544,2,13,85,18.571666666666665,535,0,2,3
pytorch/pytorch,138543,1,3,0,10.623055555555556,197,0,1,2
pytorch/pytorch,138542,2,15,0,64.85666666666667,707,0,2,3
pytorch/pytorch,138541,3,282,213,11.5625,1156,0,1,2
pytorch/pytorch,138539,1,0,1,15.462222222222222,176,0,1,2
pytorch/pytorch,138535,2,9,12,21.720833333333335,831,0,1,2
pytorch/pytorch,138528,5,25,45,19.311944444444446,336,0,0,1
pytorch/pytorch,138526,5,30,30,1.7977777777777777,123,0,1,2
pytorch/pytorch,138522,2,8,9,8.233333333333333,1048,0,3,4
pytorch/pytorch,138521,1,1,1,4.056388888888889,455,0,2,3
pytorch/pytorch,138516,2,115,115,26.26222222222222,215,0,1,2
pytorch/pytorch,138511,1,0,251,20.399166666666666,207,0,1,2
pytorch/pytorch,138507,1,1,1,42.79222222222222,223,0,0,1
pytorch/pytorch,138505,3,5,1,9.249166666666667,351,0,1,2
pytorch/pytorch,138504,1,7,0,52.31805555555555,897,0,4,2
pytorch/pytorch,138501,1,0,1,5.033333333333333,176,0,3,4
pytorch/pytorch,138500,3,7,2,27.343611111111112,376,0,0,1
pytorch/pytorch,138499,1,4,0,42.04666666666667,31,0,1,2
pytorch/pytorch,138498,2,7,9,69.36861111111111,368,0,1,2
pytorch/pytorch,138497,1,2,0,3.7805555555555554,415,0,1,2
pytorch/pytorch,138492,1,1,1,31.870555555555555,486,0,3,3
pytorch/pytorch,138490,7,107,41,13.271666666666667,1301,0,1,2
pytorch/pytorch,138488,1,7,0,2.9811111111111113,576,0,1,2
pytorch/pytorch,138487,1,1,1,1.6666666666666667,161,0,4,5
pytorch/pytorch,138486,2,27,10,73.55388888888889,726,0,3,3
pytorch/pytorch,138479,30,60,71,63.815555555555555,82,0,2,3
pytorch/pytorch,138477,3,80,9,29.295277777777777,2416,0,1,2
pytorch/pytorch,138472,5,121,25,4.547777777777778,386,0,1,2
pytorch/pytorch,138465,11,57,51,62.346666666666664,105,0,1,2
pytorch/pytorch,138458,5,31,31,6.865,247,0,2,3
pytorch/pytorch,138456,1,1,1,62.24472222222222,94,0,0,1
pytorch/pytorch,138448,1,28,4,10.465277777777779,262,0,3,2
pytorch/pytorch,138443,30,1847,935,12.176666666666666,328,0,1,2
pytorch/pytorch,138437,11,51,43,12.057777777777778,21,0,3,2
pytorch/pytorch,138435,3,1,1069,4.883611111111111,30,0,1,2
pytorch/pytorch,138434,1,1,0,4.766944444444444,120,0,2,3
pytorch/pytorch,138433,8,163,49,63.35111111111111,258,0,0,1
pytorch/pytorch,138424,1,0,4,31.80027777777778,386,0,1,2
pytorch/pytorch,138419,5,71,0,91.19972222222222,6535,0,8,3
pytorch/pytorch,138417,3,76,2,70.55083333333333,153,0,3,4
pytorch/pytorch,138415,1,5,1,18.79861111111111,450,0,2,2
pytorch/pytorch,138411,9,934,2,3.709722222222222,597,0,1,2
pytorch/pytorch,138410,10,35,71,69.10277777777777,69,0,2,2
pytorch/pytorch,138408,1,0,1,24.595,0,0,1,2
pytorch/pytorch,138406,18,83,177,63.408611111111114,1031,0,3,3
