repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
redis/redis,13609,2,13,2,19.185277777777777,290,0,10,3
redis/redis,13608,2,17,3,118.26277777777777,238,0,2,3
redis/redis,13606,3,3,3,1.7444444444444445,67,0,1,2
redis/redis,13601,1,4,2,43.99583333333333,518,0,1,2
redis/redis,13600,6,85,103,25.1375,245,0,2,2
redis/redis,13594,30,8617,4989,6.6775,4,0,0,1
redis/redis,13593,1,2,0,19.41583333333333,155,0,1,2
redis/redis,13588,5,20,4,5.071111111111111,155,0,1,2
redis/redis,13583,7,35,6,1.4080555555555556,339,0,1,2
redis/redis,13582,7,39,6,1.5752777777777778,407,0,2,2
redis/redis,13581,6,33,5,2.410277777777778,259,0,2,2
redis/redis,13580,2,7,4,137.8111111111111,140,0,0,1
redis/redis,13579,1,2,2,168.29916666666668,79,0,1,2
redis/redis,13578,1,2,2,215.01611111111112,46,0,1,2
redis/redis,13576,1,1,1,263.51694444444445,56,0,1,2
redis/redis,13573,30,4452,145,3.745277777777778,0,0,1,2
redis/redis,13571,7,36,33,258.72333333333336,0,0,0,1
redis/redis,13567,1,28,1,26.909166666666668,1067,0,1,2
redis/redis,13566,1,13,46,41.494166666666665,386,0,3,2
redis/redis,13564,8,357,21,144.53833333333333,999,0,17,4
redis/redis,13563,1,7,6,23.02722222222222,180,0,1,2
redis/redis,13560,2,7,1,71.35777777777778,45,0,2,2
redis/redis,13549,1,22,4,6.293611111111111,197,0,1,2
redis/redis,13545,1,1,1,2.411111111111111,266,0,3,4
redis/redis,13538,18,331,46,20.71611111111111,2355,0,2,3
redis/redis,13532,2,2,38,21.983888888888888,435,0,0,1
redis/redis,13531,2,67,8,86.09027777777777,3508,0,10,2
redis/redis,13530,2,36,3,70.18916666666667,2717,0,1,2
redis/redis,13529,2,10,7,24.15861111111111,3739,0,1,2
redis/redis,13528,1,28,1,37.888333333333335,362,0,2,2
redis/redis,13526,7,159,21,265.9683333333333,268,0,11,4
redis/redis,13524,7,159,3,27.316388888888888,227,0,5,3
redis/redis,13520,1,32,3,237.8161111111111,2828,0,5,2
redis/redis,13519,2,166,2,166.04972222222221,75,0,7,2
redis/redis,13518,2,23,1,72.23166666666667,257,0,2,2
redis/redis,13516,1,18,11,25.969444444444445,3381,0,4,2
redis/redis,13515,2,17,2,6.6475,281,0,2,3
redis/redis,13514,1,6,1,530.8175,862,0,1,2
redis/redis,13512,2,21,1,213.16305555555556,241,0,1,2
redis/redis,13510,2,4,1,25.11861111111111,232,0,1,2
redis/redis,13509,7,153,10,28.666944444444443,907,0,6,3
redis/redis,13505,4,87,30,127.69888888888889,4633,0,17,3
redis/redis,13504,1,9,1,117.46444444444444,134,0,13,2
redis/redis,13503,1,10,4,125.78,385,0,2,2
redis/redis,13500,1,9,0,14.24388888888889,383,0,1,2
redis/redis,13499,4,31,3,139.47555555555556,1970,0,8,2
redis/redis,13498,1,0,1,212.54861111111111,44,0,2,3
redis/redis,13495,15,316,49,161.25583333333333,1414,0,30,3
redis/redis,13494,1,4,4,170.94694444444445,2468,0,2,3
redis/redis,13493,1,4,0,32.95861111111111,206,0,0,1
redis/redis,13491,1,1,1,15.749722222222223,35,0,0,1
redis/redis,13490,3,18,10,186.18805555555556,4482,0,4,3
redis/redis,13489,1,0,1,6.4575,177,0,1,2
redis/redis,13488,5,174,15,218.48777777777778,2066,0,1,2
redis/redis,13487,1,20,0,94.67472222222223,263,0,1,2
redis/redis,13476,1,1,1,42.909166666666664,2204,0,1,2
redis/redis,13474,2,3,3,8.61,133,0,3,3
redis/redis,13473,2,56,2,73.72694444444444,1244,0,1,2
redis/redis,13468,1,41,30,825.0125,872,0,2,3
redis/redis,13465,3,68,16,38.43666666666667,1586,0,8,2
redis/redis,13461,3,14,4,3.8758333333333335,73,0,1,2
redis/redis,13460,1,3,1,1230.2580555555555,288,0,0,1
redis/redis,13458,1,1,1,9.53111111111111,0,0,1,2
