repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
reduxjs/redux,4741,1,1,1,1.2891666666666666,472,0,0,1
reduxjs/redux,4737,1,1,1,156.80388888888888,1659,0,12,4
reduxjs/redux,4732,1,1,0,14.152777777777779,68,0,0,1
reduxjs/redux,4731,30,1614,1519,18.82027777777778,55,0,0,1
reduxjs/redux,4730,2,10,10,14.256666666666666,57,0,0,1
reduxjs/redux,4725,1,1,1,1.4522222222222223,686,0,0,1
reduxjs/redux,4719,1,2,2,1.146111111111111,910,0,0,1
reduxjs/redux,4717,2,6,4,816.9805555555556,0,0,0,1
reduxjs/redux,4714,1,3,2,1073.3652777777777,77,0,0,1
reduxjs/redux,4706,30,4169,1786,1945.8316666666667,875,0,13,3
reduxjs/redux,4702,1,3,3,1.8041666666666667,456,0,0,1
reduxjs/redux,4701,1,2,2,12.04861111111111,977,0,0,1
reduxjs/redux,4700,1,1,1,4.634722222222222,918,0,0,1
reduxjs/redux,4697,1,1,1,2.2925,536,0,0,1
reduxjs/redux,4695,1,1,1,4.260555555555555,551,0,0,1
reduxjs/redux,4689,1,1,1,2.7025,1050,0,0,1
reduxjs/redux,4687,1,10,6,20.523055555555555,174,0,0,1
reduxjs/redux,4685,1,1,1,8.488333333333333,480,0,0,1
reduxjs/redux,4684,3,11,11,45.2975,136,0,0,1
reduxjs/redux,4683,4,13,6,2.4205555555555556,548,0,0,1
reduxjs/redux,4681,1,17,1,434.08722222222224,75,0,0,1
reduxjs/redux,4680,13,7915,7702,413.82666666666665,95,0,0,1
reduxjs/redux,4679,1,1,0,692.3794444444444,88,0,0,1
reduxjs/redux,4677,1,1,1,8.065555555555555,604,0,0,1
reduxjs/redux,4676,1,28,0,1.4891666666666667,365,0,0,1
reduxjs/redux,4673,1,5,3,13.141111111111112,1165,0,1,2
reduxjs/redux,4665,2,384,4,5066.796388888889,948,0,2,1
reduxjs/redux,4663,10,707,735,1.305,136,0,0,1
reduxjs/redux,4660,1,1,1,7.763055555555556,267,0,2,3
reduxjs/redux,4657,1,3,2,16.4725,86,0,0,1
reduxjs/redux,4651,1,1,1,9.005555555555556,1012,0,0,1
reduxjs/redux,4643,1,1,1,4.0775,592,0,0,1
reduxjs/redux,4642,1,2,2,1.4144444444444444,618,0,1,2
reduxjs/redux,4639,1,51,1,11.260555555555555,0,0,0,1
reduxjs/redux,4638,3,18,10,166.0661111111111,2654,0,0,1
reduxjs/redux,4634,1,14,36,3.0119444444444445,117,0,0,1
reduxjs/redux,4633,2,2,1,38.90833333333333,46,0,0,1
reduxjs/redux,4617,1,1,0,6.5841666666666665,861,0,0,1
reduxjs/redux,4616,1,0,3,2.005,365,0,0,1
reduxjs/redux,4612,1,3,2,35.72666666666667,190,0,0,1
reduxjs/redux,4608,2,36,4,21.109166666666667,75,0,0,1
reduxjs/redux,4607,5,3020,2651,3.522222222222222,268,0,0,1
reduxjs/redux,4606,1,2,2,423.8925,902,0,1,2
reduxjs/redux,4601,1,1,1,16.27638888888889,975,0,2,2
reduxjs/redux,4600,1,9,22,4298.098055555555,218,0,0,1
reduxjs/redux,4598,1,1,0,27.88138888888889,543,0,0,1
reduxjs/redux,4594,1,10,16,17.784166666666668,666,0,0,1
reduxjs/redux,4593,1,25,33,4.645,108,0,0,1
reduxjs/redux,4589,1,1,0,5.0675,1008,0,0,1
reduxjs/redux,4588,1,1,1,7.7380555555555555,32,0,0,1
reduxjs/redux,4586,11,81,69,1.7538888888888888,61,0,0,1
reduxjs/redux,4582,1,5,5,27.06111111111111,147,0,0,1
reduxjs/redux,4580,1,1,1,3.8272222222222223,420,0,0,1
reduxjs/redux,4578,1,1,1,4336.850555555556,1443,0,0,1
reduxjs/redux,4574,1,1,1,1.6788888888888889,266,0,1,2
reduxjs/redux,4573,1,7,7,4.9591666666666665,146,0,0,1
reduxjs/redux,4566,9,210,64,5833.778611111111,1097,0,6,3
reduxjs/redux,4564,2,2,2,2.026388888888889,661,0,0,1
reduxjs/redux,4562,27,19247,369777,4716.116666666667,766,0,0,1
reduxjs/redux,4561,10,35296,96,7.789722222222222,497,0,0,1
reduxjs/redux,4556,1,141,142,16.908333333333335,15346,0,0,1
reduxjs/redux,4551,1,1,1,1.2083333333333333,695,0,0,1
