repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
resume/resume.github.com,292,1,1,1,2685.3080555555557,142,0,0,1
resume/resume.github.com,255,1,1,1,4795.409166666666,0,0,2,3
resume/resume.github.com,254,1,1,1,2784.9030555555555,25,0,0,1
resume/resume.github.com,248,1,1,1,46341.79388888889,868,0,8,6
resume/resume.github.com,231,1,2,1,137.47694444444446,296,0,0,1
resume/resume.github.com,230,2,2,0,308.48305555555555,49,0,0,1
resume/resume.github.com,228,2,5,2,34.70583333333333,57,0,0,1
resume/resume.github.com,224,1,0,9,35.63,104,0,0,1
resume/resume.github.com,223,1,1,1,35.78111111111111,80,0,0,1
resume/resume.github.com,220,4,1,325,33.94416666666667,0,0,0,1
resume/resume.github.com,219,1,6,4,1.0194444444444444,36,0,0,1
resume/resume.github.com,218,10,266,261,3.319166666666667,0,0,0,1
resume/resume.github.com,215,1,1,1,671.6025,113,0,0,1
resume/resume.github.com,214,1,2,2,1056.9444444444443,92,0,0,1
resume/resume.github.com,213,1,2,2,1016.3691666666666,0,0,0,1
resume/resume.github.com,212,1,1,1,2222.426111111111,231,0,0,1
resume/resume.github.com,211,1,2,2,2644.9769444444446,0,0,0,1
resume/resume.github.com,209,1,1,1,3904.3591666666666,103,0,0,1
resume/resume.github.com,207,2,9,2,4605.455833333333,125,0,0,1
resume/resume.github.com,205,1,2,2,5349.163611111111,206,0,0,1
resume/resume.github.com,204,1,1,0,6408.998611111111,0,0,0,1
resume/resume.github.com,202,1,2,2,6528.961944444444,57,0,0,1
resume/resume.github.com,200,2,2,2,7722.097777777778,80,0,0,1
resume/resume.github.com,199,1,1,1,8721.918055555556,184,0,0,1
resume/resume.github.com,198,2,9,2,5428.055555555556,259,0,0,1
resume/resume.github.com,192,1,2,2,12826.73,75,0,0,1
resume/resume.github.com,190,1,2,2,14297.805,303,0,0,1
resume/resume.github.com,188,3,11,2,15030.828055555556,17,0,0,1
resume/resume.github.com,186,1,2,2,6796.685833333333,119,0,0,1
resume/resume.github.com,184,1,2,1,15512.18888888889,150,0,0,1
resume/resume.github.com,183,1,2,2,15619.926388888889,61,0,0,1
resume/resume.github.com,180,1,3,1,17965.425277777777,115,0,0,1
resume/resume.github.com,178,8,58,55,18506.735277777778,65,0,0,1
resume/resume.github.com,176,9,251,256,18766.2225,140,0,0,1
resume/resume.github.com,174,1,2,1,19204.140555555554,65,0,0,1
resume/resume.github.com,172,3,64,11,19260.72888888889,143,0,0,1
resume/resume.github.com,169,3,8,8,21.60611111111111,196,0,0,1
resume/resume.github.com,167,1,1,1,51.56611111111111,0,0,0,1
resume/resume.github.com,165,1,4,1,79.26027777777777,147,0,0,1
resume/resume.github.com,163,1,9,1,92.44944444444444,0,0,0,1
resume/resume.github.com,162,1,22,11,93.61222222222223,289,0,0,1
resume/resume.github.com,156,1,5,1,2.7758333333333334,479,0,0,1
resume/resume.github.com,154,2,21,6,29.239444444444445,618,0,0,1
resume/resume.github.com,153,1,1,2,5.450833333333334,70,0,0,1
resume/resume.github.com,150,1,1,1,17.35333333333333,0,0,0,1
resume/resume.github.com,149,1,78,11,25.067777777777778,0,0,0,1
resume/resume.github.com,146,1,3,3,68.32,0,0,0,1
resume/resume.github.com,145,1,2,1,78.0586111111111,0,0,0,1
resume/resume.github.com,142,1,2,1,5.215833333333333,13,0,0,1
resume/resume.github.com,141,1,2,1,9.234722222222222,0,0,0,1
resume/resume.github.com,140,1,2,1,12.09,8,0,0,1
resume/resume.github.com,139,4,30,46,11.543611111111112,189,0,0,1
resume/resume.github.com,138,1,1,0,12.235277777777778,22,0,0,1
resume/resume.github.com,137,1,2,1,12.813611111111111,0,0,0,1
resume/resume.github.com,136,1,2,1,13.124166666666667,41,0,0,1
resume/resume.github.com,135,1,1,1,13.223611111111111,219,0,0,1
resume/resume.github.com,134,1,1,1,14.061944444444444,0,0,0,1
resume/resume.github.com,133,1,8,1,14.185833333333333,336,0,0,1
resume/resume.github.com,132,1,2,1,14.251666666666667,0,0,0,1
resume/resume.github.com,131,1,1,1,14.456666666666667,0,0,0,1
resume/resume.github.com,130,1,1,0,14.509166666666667,0,0,0,1
resume/resume.github.com,129,1,1,0,14.518055555555556,15,0,0,1
resume/resume.github.com,128,1,2,1,14.52138888888889,12,0,0,1
resume/resume.github.com,126,1,1,0,14.895833333333334,0,0,0,1
resume/resume.github.com,125,1,1,0,15.198611111111111,0,0,0,1
resume/resume.github.com,124,1,22,1,15.755555555555556,501,0,0,1
resume/resume.github.com,123,1,2,1,16.06138888888889,0,0,0,1
resume/resume.github.com,121,1,2,1,16.101944444444445,0,0,0,1
resume/resume.github.com,118,6,9,36,16.415,422,0,0,1
resume/resume.github.com,75,1,1,1,16.486944444444443,185,0,0,1
resume/resume.github.com,74,4,27,1,20.808888888888887,286,0,0,1
resume/resume.github.com,68,2,2,2,4076.3927777777776,256,0,0,1
resume/resume.github.com,66,1,8,8,389.1952777777778,194,0,0,1
