repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
rustdesk/rustdesk,9739,1,61,69,1.3872222222222221,160,0,0,1
rustdesk/rustdesk,9733,2,43,3,1.8830555555555555,568,0,0,1
rustdesk/rustdesk,9731,16,222,52,7.038055555555555,1680,0,0,1
rustdesk/rustdesk,9726,1,4,4,3.888888888888889,0,0,0,1
rustdesk/rustdesk,9717,5,64,44,22.4775,502,0,0,1
rustdesk/rustdesk,9715,7,34,14,10.31611111111111,113,0,0,1
rustdesk/rustdesk,9713,1,9,9,2.808611111111111,0,0,0,1
rustdesk/rustdesk,9711,30,370,287,1.7616666666666667,1384,0,0,1
rustdesk/rustdesk,9697,3,70,3,1.505,489,0,0,1
rustdesk/rustdesk,9687,1,5,5,9.702222222222222,15,0,0,1
rustdesk/rustdesk,9680,1,1,1,9.475833333333334,228,0,0,1
rustdesk/rustdesk,9672,1,5,5,5.090277777777778,0,0,0,1
rustdesk/rustdesk,9668,1,3,3,6.989166666666667,0,0,0,1
rustdesk/rustdesk,9667,1,12,0,54.78055555555556,507,0,0,1
rustdesk/rustdesk,9666,30,118,9,9.747222222222222,883,0,0,1
rustdesk/rustdesk,9645,2,4,1,2.575,481,0,0,1
rustdesk/rustdesk,9644,1,8,4,54.34638888888889,906,0,6,2
rustdesk/rustdesk,9643,30,153,42,2.765833333333333,147,0,0,1
rustdesk/rustdesk,9641,2,35,5,1.3455555555555556,1767,0,2,2
rustdesk/rustdesk,9640,5,28,22,2.5494444444444446,51,0,0,1
rustdesk/rustdesk,9639,1,19,17,6.5744444444444445,36,0,0,1
rustdesk/rustdesk,9638,1,11,11,7.3630555555555555,0,0,0,1
rustdesk/rustdesk,9622,3,94,91,1.5888888888888888,364,0,0,1
rustdesk/rustdesk,9606,1,265,265,5.033055555555555,0,0,0,1
rustdesk/rustdesk,9588,4,46,27,2.0972222222222223,0,0,0,1
rustdesk/rustdesk,9587,9,411,194,95.97694444444444,0,0,0,1
rustdesk/rustdesk,9582,3,11,4,2.4925,0,0,0,1
rustdesk/rustdesk,9570,3,3,0,9.3225,53,0,0,1
rustdesk/rustdesk,9566,1,17,17,1.4144444444444444,80,0,0,1
rustdesk/rustdesk,9562,1,1,1,2.4163888888888887,1199,0,0,1
rustdesk/rustdesk,9546,1,463,463,12.625,582,0,0,1
rustdesk/rustdesk,9541,1,2,2,25.926111111111112,68,0,0,1
rustdesk/rustdesk,9540,1,42,44,34.82138888888889,1173,0,0,1
rustdesk/rustdesk,9535,6,24,3,2.351111111111111,200,0,0,1
rustdesk/rustdesk,9524,1,1,1,8.410277777777777,0,0,0,1
rustdesk/rustdesk,9496,1,2,2,4.312222222222222,0,0,0,1
rustdesk/rustdesk,9495,1,1,1,4.714444444444444,0,0,0,1
