repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
ryanmcdermott/clean-code-javascript,693,1,1,0,774.1436111111111,0,0,0,1
ryanmcdermott/clean-code-javascript,447,1,1,1,2241.0,0,0,0,1
ryanmcdermott/clean-code-javascript,440,1,371,557,9036.170833333334,27,0,0,1
ryanmcdermott/clean-code-javascript,409,1,12,11,13043.323888888888,0,0,0,1
ryanmcdermott/clean-code-javascript,408,2,78,81,190.7463888888889,0,0,0,1
ryanmcdermott/clean-code-javascript,402,1,1,1,7100.519166666667,0,0,0,1
ryanmcdermott/clean-code-javascript,400,1,1126,1347,2920.5202777777777,177,0,0,1
ryanmcdermott/clean-code-javascript,399,1,57,64,21.976111111111113,78,0,0,1
ryanmcdermott/clean-code-javascript,397,1,40,50,70.875,0,0,0,1
ryanmcdermott/clean-code-javascript,395,1,1,1,96.01194444444444,0,0,0,1
ryanmcdermott/clean-code-javascript,394,1,1,1,37.21194444444444,92,0,0,1
ryanmcdermott/clean-code-javascript,392,1,2,2,1008.3975,12,0,0,1
ryanmcdermott/clean-code-javascript,383,1,1,1,3125.3519444444446,47,0,0,1
ryanmcdermott/clean-code-javascript,368,1,1,1,4142.080277777778,98,0,0,1
ryanmcdermott/clean-code-javascript,365,1,18,0,26549.84388888889,45,0,0,1
ryanmcdermott/clean-code-javascript,356,1,1,0,13631.94611111111,161,0,0,1
ryanmcdermott/clean-code-javascript,355,1,2,1,2753.0133333333333,41,0,0,1
ryanmcdermott/clean-code-javascript,352,1,6,0,14.272777777777778,0,0,0,1
ryanmcdermott/clean-code-javascript,348,1,2,1,373.3283333333333,61,0,0,1
ryanmcdermott/clean-code-javascript,347,1,20,43,614.6769444444444,155,0,2,2
ryanmcdermott/clean-code-javascript,346,1,4,21,709.5638888888889,264,0,0,1
ryanmcdermott/clean-code-javascript,342,1,42,5,1304.2655555555555,124,0,0,1
ryanmcdermott/clean-code-javascript,341,1,2,2,1325.2347222222222,56,0,0,1
ryanmcdermott/clean-code-javascript,339,1,8,10,1678.6144444444444,46,0,0,1
ryanmcdermott/clean-code-javascript,338,1,28,1,2075.8458333333333,129,0,0,1
ryanmcdermott/clean-code-javascript,333,1,36,0,3302.742222222222,140,0,1,2
ryanmcdermott/clean-code-javascript,327,1,19,0,4.925,25,0,0,1
ryanmcdermott/clean-code-javascript,326,1,1,0,2459.3275,0,0,1,2
ryanmcdermott/clean-code-javascript,323,1,16,13,42.23166666666667,434,0,0,1
ryanmcdermott/clean-code-javascript,322,1,21,0,2.227222222222222,0,0,0,1
ryanmcdermott/clean-code-javascript,320,1,1,1,750.2452777777778,122,0,0,1
ryanmcdermott/clean-code-javascript,318,1,2,0,1330.8205555555555,295,0,0,1
ryanmcdermott/clean-code-javascript,313,1,1,0,13.6725,0,0,0,1
ryanmcdermott/clean-code-javascript,312,1,1,1,753.9936111111111,0,0,0,1
ryanmcdermott/clean-code-javascript,311,1,1,0,60.24055555555555,0,0,0,1
ryanmcdermott/clean-code-javascript,310,1,355,546,71.16166666666666,0,0,0,1
ryanmcdermott/clean-code-javascript,297,1,1,1,120.28722222222223,0,0,0,1
ryanmcdermott/clean-code-javascript,291,1,9,12,16.255,60,0,0,1
ryanmcdermott/clean-code-javascript,290,1,1,1,390.79083333333335,24,0,0,1
ryanmcdermott/clean-code-javascript,288,1,2,2,4602.678611111111,0,0,1,2
ryanmcdermott/clean-code-javascript,287,1,20,0,440.6644444444444,175,0,0,1
ryanmcdermott/clean-code-javascript,283,1,1,1,15.438333333333333,149,0,0,1
ryanmcdermott/clean-code-javascript,280,1,6,2,249.68416666666667,65,0,0,1
ryanmcdermott/clean-code-javascript,279,1,5,2,1.908611111111111,66,0,0,1
ryanmcdermott/clean-code-javascript,277,1,3,1,34.62277777777778,37,0,0,1
ryanmcdermott/clean-code-javascript,276,2,208,263,1.4925,101,0,0,1
ryanmcdermott/clean-code-javascript,274,1,40,1,13156.298611111111,266,0,0,1
ryanmcdermott/clean-code-javascript,273,1,1,1,9.09388888888889,0,0,0,1
ryanmcdermott/clean-code-javascript,272,1,3,2,2.8619444444444446,39,0,0,1
ryanmcdermott/clean-code-javascript,270,1,1,1,8084.833888888889,248,0,0,1
ryanmcdermott/clean-code-javascript,269,1,2,2,8214.900277777779,41,0,0,1
ryanmcdermott/clean-code-javascript,268,1,14,12,97.38416666666667,0,0,0,1
ryanmcdermott/clean-code-javascript,267,1,79,0,8895.865,26,0,0,1
ryanmcdermott/clean-code-javascript,265,1,528,531,1.3263888888888888,149,0,0,1
ryanmcdermott/clean-code-javascript,264,1,1,1,51.62277777777778,0,0,0,1
ryanmcdermott/clean-code-javascript,261,1,8,8,4.130277777777778,92,0,0,1
ryanmcdermott/clean-code-javascript,259,1,2,2,5.121666666666667,0,0,0,1
ryanmcdermott/clean-code-javascript,258,1,2,0,7.190833333333333,327,0,0,1
ryanmcdermott/clean-code-javascript,257,1,19,2,401.8436111111111,320,0,0,1
ryanmcdermott/clean-code-javascript,256,1,2,1,78.15611111111112,42,0,0,1
ryanmcdermott/clean-code-javascript,255,1,16,15,232.09,83,0,4,2
ryanmcdermott/clean-code-javascript,253,1,1,2,57.37777777777778,39,0,0,1
ryanmcdermott/clean-code-javascript,248,1,1,1,1808.453888888889,27,0,3,3
ryanmcdermott/clean-code-javascript,247,1,2,0,56.94611111111111,87,0,0,1
ryanmcdermott/clean-code-javascript,246,1,1,1,2951.1269444444442,0,0,0,1
ryanmcdermott/clean-code-javascript,244,1,6,6,4795.277777777777,455,0,0,1
ryanmcdermott/clean-code-javascript,243,1,1,1,5125.763333333333,46,0,0,1
ryanmcdermott/clean-code-javascript,240,1,1,1,92.35777777777778,106,0,0,1
