repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
sherlock-project/sherlock,2276,1,6,0,9.126111111111111,0,0,1,2
sherlock-project/sherlock,2274,1,6,0,20.271944444444443,15,0,1,2
sherlock-project/sherlock,2272,1,1,2,32.23916666666667,107,0,3,3
sherlock-project/sherlock,2269,0,0,0,113.26611111111112,70,0,1,1
sherlock-project/sherlock,2265,1,0,6,23.883333333333333,100,0,1,2
sherlock-project/sherlock,2263,1,17,8,42.4225,225,0,2,2
sherlock-project/sherlock,2259,1,0,13,182.97166666666666,155,0,1,2
sherlock-project/sherlock,2252,1,7,0,203.10083333333333,475,0,1,2
sherlock-project/sherlock,2239,4,0,2851,75.79861111111111,188,0,1,2
sherlock-project/sherlock,2225,1,10,0,807.5919444444445,0,0,7,3
sherlock-project/sherlock,2223,1,11,0,3.1483333333333334,21,0,1,2
sherlock-project/sherlock,2216,1,21,15,173.64305555555555,194,0,1,2
sherlock-project/sherlock,2215,2,12,1,174.83027777777778,694,0,1,2
sherlock-project/sherlock,2214,1,37,0,175.36194444444445,677,0,0,1
sherlock-project/sherlock,2213,2,12,1,175.9961111111111,13,0,1,2
sherlock-project/sherlock,2212,2,4,3,176.40666666666667,12,0,0,1
sherlock-project/sherlock,2209,1,1,0,4.514722222222222,30,0,0,1
sherlock-project/sherlock,2208,1,6,2,220.79694444444445,12,0,0,1
sherlock-project/sherlock,2203,2,7,7,62.923611111111114,159,0,0,1
sherlock-project/sherlock,2199,1,1,1,57.11888888888889,119,0,0,1
sherlock-project/sherlock,2191,3,24,29,317.41277777777776,0,0,2,2
sherlock-project/sherlock,2190,22,2896,2894,324.8622222222222,426,0,1,2
sherlock-project/sherlock,2187,4,19,8,9.036111111111111,195,0,1,2
sherlock-project/sherlock,2186,2,15,10,10.096388888888889,126,0,0,1
sherlock-project/sherlock,2182,1,2,2,8.35,0,0,0,1
sherlock-project/sherlock,2171,2,42,26,398.86055555555555,143,0,0,1
sherlock-project/sherlock,2166,1,6,0,49.29361111111111,33,0,0,1
sherlock-project/sherlock,2165,2,22,14,49.583888888888886,221,0,0,1
sherlock-project/sherlock,2160,2,14,1,166.21166666666667,147,0,6,2
sherlock-project/sherlock,2159,1,1,1,176.22944444444445,61,0,1,2
sherlock-project/sherlock,2157,4,2,2,3.283333333333333,414,0,1,2
sherlock-project/sherlock,2154,5,101,54,46.815,104,0,1,2
sherlock-project/sherlock,2151,1,1,7,4.435833333333333,315,0,2,2
sherlock-project/sherlock,2147,1,4,3,194.62416666666667,482,0,0,1
sherlock-project/sherlock,2146,1,2,2,13.695833333333333,15,0,1,2
sherlock-project/sherlock,2136,12,130,208,17.235,65,0,3,2
sherlock-project/sherlock,2134,9,16,23,10.044444444444444,109,0,2,2
sherlock-project/sherlock,2133,1,3,3,420.50166666666667,2110,0,0,1
sherlock-project/sherlock,2132,1,0,860,6.245555555555556,213,0,1,2
sherlock-project/sherlock,2128,1,47,0,32.85666666666667,559,0,0,1
sherlock-project/sherlock,2127,30,272,761,477.6663888888889,323,0,7,2
sherlock-project/sherlock,2120,1,14,4,82.33361111111111,71,0,0,1
sherlock-project/sherlock,2119,5,230,108,90.66638888888889,347,0,1,2
sherlock-project/sherlock,2118,1,3,0,1.5375,103,0,1,2
sherlock-project/sherlock,2117,1,10,0,109.36083333333333,963,0,0,1
sherlock-project/sherlock,2116,5,57,11,11.918055555555556,72,0,1,2
sherlock-project/sherlock,2115,1,1,1,29.62638888888889,456,0,0,1
sherlock-project/sherlock,2111,20,107,178,767.6019444444445,657,0,15,3
sherlock-project/sherlock,2107,1,2,2,44.029444444444444,118,0,3,2
sherlock-project/sherlock,2106,2,6,5,57.195,240,0,1,2
sherlock-project/sherlock,2105,1,1,1,12.118333333333334,67,0,0,1
sherlock-project/sherlock,2104,3,14,22,12.386944444444444,9,0,0,1
sherlock-project/sherlock,2100,3,11,14,5.308055555555556,284,0,1,2
sherlock-project/sherlock,2099,4,97,11,42.13916666666667,576,0,4,2
sherlock-project/sherlock,2098,1,7,0,25.318055555555556,67,0,0,1
sherlock-project/sherlock,2096,1,2,1,68.03972222222222,182,0,1,2
sherlock-project/sherlock,2092,4,85,43,213.06555555555556,1242,0,0,1
sherlock-project/sherlock,2083,1,0,7,487.23,37,0,0,1
sherlock-project/sherlock,2078,4,53,1,2.3305555555555557,1028,0,0,1
sherlock-project/sherlock,2077,4,124,12,1460.7519444444445,80,0,1,2
sherlock-project/sherlock,2076,1,5,0,549.8691666666666,0,0,0,1
sherlock-project/sherlock,2075,1,7,0,1904.63,123,0,0,1
sherlock-project/sherlock,2072,1,24,0,1367.9227777777778,97,0,0,1
sherlock-project/sherlock,2069,3,21,0,615.2725,1477,0,0,1
sherlock-project/sherlock,2068,5,166,84,634.5033333333333,1719,0,0,1
sherlock-project/sherlock,2066,2,7,7,677.6113888888889,152,0,0,1
sherlock-project/sherlock,2065,1,17,16,79.34833333333333,0,0,0,1
sherlock-project/sherlock,2058,2,7,1,261.2272222222222,0,0,1,2
sherlock-project/sherlock,2057,1,6,0,858.1825,26,0,0,1
sherlock-project/sherlock,2053,1,1,0,4.223055555555556,59,0,0,1
sherlock-project/sherlock,2052,1,1,0,4.381388888888889,33,0,0,1
sherlock-project/sherlock,2049,2,5,5,22.618333333333332,0,0,1,2
sherlock-project/sherlock,2044,1,6,0,2697.5875,35,0,0,1
sherlock-project/sherlock,2043,1,2,2,7.1994444444444445,0,0,0,1
sherlock-project/sherlock,2040,2,5,5,218.4911111111111,0,0,1,2
sherlock-project/sherlock,2038,2,16,1,1536.5861111111112,101,0,4,2
sherlock-project/sherlock,2036,3,27,11,1675.0288888888888,11,0,1,2
sherlock-project/sherlock,2034,1,7,0,1568.2691666666667,50,0,0,1
sherlock-project/sherlock,2033,1,6,1,1744.0777777777778,409,0,1,2
sherlock-project/sherlock,2032,1,0,7,194.81555555555556,24,0,0,1
sherlock-project/sherlock,2030,1,7,0,1653.3177777777778,81,0,0,1
sherlock-project/sherlock,2028,1,1,7,1722.2680555555555,122,0,0,1
sherlock-project/sherlock,2021,1,4,4,2582.7516666666666,40,0,1,2
