repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_participants
sindresorhus/awesome,3149,1,1,1,9.784444444444444,9031,0,1
sindresorhus/awesome,3095,1,1,1,1079.1483333333333,9159,9,5
sindresorhus/awesome,3092,1,1,0,2859.103888888889,8870,3,4
sindresorhus/awesome,3081,1,1,0,941.8266666666667,9595,7,5
sindresorhus/awesome,3071,1,1,0,3365.896388888889,8749,6,5
sindresorhus/awesome,3068,1,1,0,3402.565,461,6,7
sindresorhus/awesome,3053,1,1,0,295.9163888888889,8413,11,6
sindresorhus/awesome,3029,1,1,0,1856.993888888889,9254,8,10
sindresorhus/awesome,3027,1,1,1,35.66222222222222,59,2,3
sindresorhus/awesome,3003,1,1,0,1704.26,8592,11,5
sindresorhus/awesome,2999,2,6,3,497.06666666666666,9030,6,4
sindresorhus/awesome,2970,1,1,0,149.81277777777777,8877,1,2
sindresorhus/awesome,2958,1,1,0,2808.9630555555555,717,4,3
sindresorhus/awesome,2924,1,1,0,189.41166666666666,9169,4,4
sindresorhus/awesome,2919,1,2,0,7135.576388888889,8898,15,3
sindresorhus/awesome,2895,1,1,0,4114.0969444444445,9202,18,9
sindresorhus/awesome,2893,1,1,0,7723.115555555555,9046,3,5
sindresorhus/awesome,2888,1,1,0,1744.1755555555555,8989,4,5
sindresorhus/awesome,2878,1,1,0,1897.0172222222222,8982,2,3
sindresorhus/awesome,2867,1,1,0,8069.0552777777775,9049,10,9
sindresorhus/awesome,2846,1,1,1,1474.1291666666666,86,7,6
sindresorhus/awesome,2837,1,1,0,2639.835,9267,9,8
sindresorhus/awesome,2834,1,1,1,1.3488888888888888,1748,1,2
sindresorhus/awesome,2829,1,1,0,5127.973888888889,8606,7,3
sindresorhus/awesome,2813,1,1,0,2990.1630555555557,9245,4,3
sindresorhus/awesome,2810,1,1,0,3060.061111111111,8681,6,7
sindresorhus/awesome,2804,1,1,0,3141.35,8753,5,6
sindresorhus/awesome,2794,1,34,0,1.571388888888889,8681,2,3
sindresorhus/awesome,2780,0,0,0,751.6766666666666,8706,16,4
sindresorhus/awesome,2763,1,1,0,3407.641111111111,9226,11,8
sindresorhus/awesome,2753,1,1,0,4310.9525,4795,9,7
sindresorhus/awesome,2743,1,1,0,1086.405,9000,8,7
sindresorhus/awesome,2736,1,1,0,4702.898888888889,4559,8,7
sindresorhus/awesome,2734,1,1,0,1819.4725,8968,5,5
sindresorhus/awesome,2715,1,1,0,2832.2986111111113,9537,6,5
sindresorhus/awesome,2714,1,30,0,7.884166666666666,10701,0,1
sindresorhus/awesome,2695,1,1,4,450.5736111111111,9537,13,6
sindresorhus/awesome,2692,0,0,0,4449.953611111111,8668,6,9
sindresorhus/awesome,2690,1,1,0,5684.443888888889,8713,10,5
sindresorhus/awesome,2658,1,1,0,6152.934444444444,9346,5,5
sindresorhus/awesome,2655,1,1,0,520.7558333333334,10169,4,3
sindresorhus/awesome,2647,1,1,0,6277.207777777778,8900,13,12
sindresorhus/awesome,2642,1,1,1,1269.8722222222223,8836,14,5
sindresorhus/awesome,2640,1,1,0,3409.489722222222,8876,11,6
sindresorhus/awesome,2638,1,1,0,8885.679444444444,8823,16,10
sindresorhus/awesome,2622,1,1,0,6633.136111111111,8647,12,6
sindresorhus/awesome,2620,1,1,0,3742.3030555555556,9069,5,4
sindresorhus/awesome,2615,1,1,0,1074.9102777777778,0,3,3
sindresorhus/awesome,2612,1,1,0,359.5811111111111,8779,4,6
sindresorhus/awesome,2601,1,1,0,4137.448611111111,9017,5,3
sindresorhus/awesome,2593,1,1,0,455.54527777777776,8780,6,7
sindresorhus/awesome,2589,1,1,0,9839.084444444445,8501,8,9
sindresorhus/awesome,2585,1,1,0,7429.321388888889,8444,16,8
sindresorhus/awesome,2571,1,1,0,1125.5638888888889,7662,7,7
sindresorhus/awesome,2569,1,1,0,4685.705,8687,8,7
sindresorhus/awesome,2565,1,1,0,7688.23,9292,12,5
sindresorhus/awesome,2560,1,1,0,7850.978611111111,8923,16,9
sindresorhus/awesome,2550,1,1,0,1055.9544444444443,8869,15,6
sindresorhus/awesome,2546,1,0,1,3.7905555555555557,63,0,1
sindresorhus/awesome,2539,1,1,0,2532.931111111111,8517,4,6
sindresorhus/awesome,2525,1,1,0,526.34,8908,5,4
sindresorhus/awesome,2524,1,1,0,5088.862222222222,8706,12,6
sindresorhus/awesome,2513,1,1,0,5543.081111111111,8682,11,4
sindresorhus/awesome,2512,1,1,0,5547.033333333334,8859,16,6
sindresorhus/awesome,2509,1,1,0,3325.4527777777776,9422,8,6
sindresorhus/awesome,2506,1,1,0,6144.035277777778,8738,23,5
sindresorhus/awesome,2503,1,1,0,3646.1769444444444,8468,18,9
sindresorhus/awesome,2502,0,0,0,2286.9177777777777,162,11,8
sindresorhus/awesome,2501,1,1,0,473.44083333333333,8317,5,4
sindresorhus/awesome,2498,1,1,0,3543.2502777777777,9009,11,7
sindresorhus/awesome,2482,1,1,0,3919.920833333333,8665,12,11
sindresorhus/awesome,2477,1,1,0,2578.634722222222,9310,13,4
sindresorhus/awesome,2470,1,1,0,2643.083611111111,8449,9,10
sindresorhus/awesome,2465,1,1,0,15.4625,181,3,3
sindresorhus/awesome,2463,1,1,0,2813.2008333333333,9268,11,6
sindresorhus/awesome,2454,1,1,0,4522.894444444444,9143,11,4
sindresorhus/awesome,2453,1,1,0,4534.9025,8765,11,6
sindresorhus/awesome,2449,1,1,0,4582.0475,9149,8,9
sindresorhus/awesome,2448,1,1,0,3212.779722222222,8449,12,5
sindresorhus/awesome,2445,1,1,0,1727.3680555555557,8903,10,5
sindresorhus/awesome,2442,1,1,0,4876.000277777778,8425,7,8
sindresorhus/awesome,2435,1,2,0,5060.601944444445,8734,25,8
sindresorhus/awesome,2433,1,1,0,3665.4958333333334,4772,11,6
sindresorhus/awesome,2431,1,1,0,5129.769444444444,8754,6,5
sindresorhus/awesome,2428,1,1,1,551.3288888888889,8562,3,3
sindresorhus/awesome,2426,1,1,0,963.4255555555555,8159,8,7
sindresorhus/awesome,2424,1,1,0,4441.271111111111,9961,21,8
sindresorhus/awesome,2422,1,26,0,2348.2144444444443,8472,2,4
sindresorhus/awesome,2420,1,1,0,5664.508333333333,8519,5,4
sindresorhus/awesome,2418,1,1,0,4311.795833333334,601,3,5
sindresorhus/awesome,2417,1,1,0,3266.123611111111,8468,10,6
sindresorhus/awesome,2405,1,1,0,2823.54,8446,18,4
sindresorhus/awesome,2400,1,1,0,6271.0858333333335,9138,11,6
sindresorhus/awesome,2397,1,1,0,3151.14,8362,3,3
sindresorhus/awesome,2394,1,1,0,3378.68,8515,7,6
sindresorhus/awesome,2391,1,1,0,9298.026666666667,9146,14,8
sindresorhus/awesome,2390,1,1,0,3385.6105555555555,869,8,7
sindresorhus/awesome,2389,1,1,0,9377.950555555555,8539,14,4
sindresorhus/awesome,2386,1,1,0,2327.8555555555554,8655,12,9
sindresorhus/awesome,2383,1,1,0,5258.686388888889,8539,16,7
