repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
storybookjs/storybook,29439,30,169,70,5.434166666666667,3398,0,1,2
storybookjs/storybook,29430,2,56,56,27.074166666666667,6505,0,2,3
storybookjs/storybook,29424,2,6,6,21.499444444444446,5229,0,1,2
storybookjs/storybook,29423,30,1484,230,50.62888888888889,6529,0,1,2
storybookjs/storybook,29414,1,1,0,2.131111111111111,6514,0,2,3
storybookjs/storybook,29412,29,66,69,91.1675,1191,0,5,4
storybookjs/storybook,29411,29,58,59,21.64388888888889,836,0,2,2
storybookjs/storybook,29407,1,4,2,48.32055555555556,6615,0,6,4
storybookjs/storybook,29400,1,1,1,5.910277777777778,3388,0,0,1
storybookjs/storybook,29393,1,1,1,77.75972222222222,3993,0,2,3
storybookjs/storybook,29391,30,557,161,16.842222222222222,3889,0,1,2
storybookjs/storybook,29389,1,10,5,90.06722222222223,3770,0,1,2
storybookjs/storybook,29388,20,9255,69,94.4661111111111,6648,0,2,3
storybookjs/storybook,29382,30,850,183,23.962777777777777,7523,0,3,3
storybookjs/storybook,29375,3,5,3,19.03611111111111,3606,0,2,3
storybookjs/storybook,29373,5,108,3,19.154166666666665,6273,0,1,2
storybookjs/storybook,29371,1,2,16,1.7986111111111112,7295,0,2,3
storybookjs/storybook,29365,3,8,8,153.6313888888889,3946,0,2,3
storybookjs/storybook,29359,7,77,9,16.727777777777778,6568,0,2,3
storybookjs/storybook,29355,1,15,2,7.690555555555555,6514,0,3,4
storybookjs/storybook,29353,15,132,37,23.511111111111113,7316,0,2,3
storybookjs/storybook,29350,30,631,241,168.4975,4500,0,1,2
storybookjs/storybook,29345,12,18,18,3.7841666666666667,2915,0,2,3
storybookjs/storybook,29344,2,35,10,190.4986111111111,7553,0,2,3
storybookjs/storybook,29343,6,118,0,8.91638888888889,7038,0,2,3
storybookjs/storybook,29338,3,35,2,287.04305555555555,4232,0,2,3
storybookjs/storybook,29336,3,51,40,71.31194444444445,6565,0,1,2
storybookjs/storybook,29333,13,498,100,242.48333333333332,6859,0,8,5
storybookjs/storybook,29332,16,231,15,36.030277777777776,2957,0,1,2
storybookjs/storybook,29330,1,20,20,77.32027777777778,6014,0,4,4
storybookjs/storybook,29329,9,88,8,75.81305555555555,6760,0,2,3
storybookjs/storybook,29323,3,89,2,17.084444444444443,4933,0,1,2
storybookjs/storybook,29319,9,315,113,96.39472222222223,7611,0,3,3
storybookjs/storybook,29318,15,290,201,6.370833333333334,4290,0,1,2
storybookjs/storybook,29315,8,81,28,318.7963888888889,2774,0,11,5
storybookjs/storybook,29311,13,491,304,24.574166666666667,7443,0,2,3
storybookjs/storybook,29310,4,9,72,120.25055555555555,7194,0,2,3
storybookjs/storybook,29309,8,209,12,19.898888888888887,6724,0,5,3
storybookjs/storybook,29302,3,5,37,16.973333333333333,7564,0,3,3
storybookjs/storybook,29301,30,25,82,17.33138888888889,7765,0,3,3
storybookjs/storybook,29300,30,34,99,27.073055555555555,3088,0,1,2
storybookjs/storybook,29299,5,18,10,24.548055555555557,5141,0,0,1
storybookjs/storybook,29298,5,58,23,9.260555555555555,6069,0,2,3
storybookjs/storybook,29296,4,16,11,36.20361111111111,1605,0,2,3
storybookjs/storybook,29294,16,307,25,47.869166666666665,6601,0,9,5
storybookjs/storybook,29292,30,316,132,25.523333333333333,3068,0,1,2
storybookjs/storybook,29290,1,27,6,53.675,6776,0,6,4
storybookjs/storybook,29285,1,1,1,28.532777777777778,5262,0,2,3
storybookjs/storybook,29279,8,410,8,171.1772222222222,2366,0,0,1
storybookjs/storybook,29273,2,14,6,3.5969444444444445,6478,0,2,3
storybookjs/storybook,29266,30,64,3,116.43194444444444,6073,0,3,3
storybookjs/storybook,29261,15,284,223,39.66305555555556,3523,0,1,2
storybookjs/storybook,29259,1,1,1,2.1083333333333334,6571,0,3,4
storybookjs/storybook,29256,9,166,90,141.83527777777778,7009,0,3,3
storybookjs/storybook,29254,5,209,209,21.5675,6852,0,2,3
storybookjs/storybook,29250,4,47,2,30.711666666666666,4140,0,2,3
storybookjs/storybook,29248,30,142,101,18.766666666666666,3375,0,1,2
storybookjs/storybook,29246,12,74,15,85.1438888888889,3494,0,1,2
storybookjs/storybook,29245,1,1,1,1.3744444444444444,3366,0,2,3
storybookjs/storybook,29241,30,1930,115,574.9177777777778,10384,0,2,3
storybookjs/storybook,29236,30,646,143,92.21222222222222,7059,0,7,3
storybookjs/storybook,29232,30,2968,28,93.06527777777778,6556,0,2,3
storybookjs/storybook,29231,1,3,3,122.06083333333333,2801,0,4,3
storybookjs/storybook,29230,25,291,243,261.145,6360,0,11,4
storybookjs/storybook,29226,1,4,3,86.40277777777777,1455,0,3,4
storybookjs/storybook,29223,4,33,1,16.22888888888889,9692,0,2,3
storybookjs/storybook,29219,30,156,94,155.4586111111111,7179,0,2,2
storybookjs/storybook,29211,13,114,16,62.29472222222222,2805,0,1,2
storybookjs/storybook,29210,30,163,25,63.0425,4007,0,1,2
storybookjs/storybook,29209,1,2,1,579.1572222222222,6844,0,4,3
storybookjs/storybook,29208,10,64,91,46.77333333333333,5896,0,8,3
storybookjs/storybook,29197,1,8,0,30.860555555555557,5741,0,2,3
storybookjs/storybook,29196,7,23,81,30.81222222222222,3481,0,3,3
storybookjs/storybook,29187,1,1,1,21.890555555555554,6406,0,2,3
storybookjs/storybook,29186,8,21,14,24.188055555555554,3136,0,1,2
storybookjs/storybook,29184,2,6,6,3.0213888888888887,4869,0,2,3
storybookjs/storybook,29182,1,7,2,33.54388888888889,7926,0,4,3
storybookjs/storybook,29179,1,1,0,43.103611111111114,6433,0,2,3
storybookjs/storybook,29177,13,8,42,100.7838888888889,7060,0,3,4
storybookjs/storybook,29175,2,5,5,82.73611111111111,6799,0,2,3
storybookjs/storybook,29173,2,11,0,92.0575,6224,0,2,3
storybookjs/storybook,29171,30,1269,53,137.78333333333333,9876,0,4,4
storybookjs/storybook,29147,3,65,5,129.2877777777778,6930,0,6,3
storybookjs/storybook,29142,7,91,11,49.91694444444445,2842,0,1,2
storybookjs/storybook,29137,1,1,1,3.586388888888889,6454,0,2,3
storybookjs/storybook,29136,9,26,21,8.168611111111112,3402,0,1,2
storybookjs/storybook,29134,1,1,1,5.4025,7602,0,2,3
storybookjs/storybook,29133,3,62,6,25.905555555555555,7396,0,3,3
storybookjs/storybook,29129,1,1,1,380.1375,6641,0,2,3
storybookjs/storybook,29126,30,197,152,70.42277777777778,5999,0,19,4
storybookjs/storybook,29124,1,1,1,257.5311111111111,5980,0,2,3
storybookjs/storybook,29121,1,1,1,69.18555555555555,4030,0,1,2
storybookjs/storybook,29118,30,194,87,267.05305555555555,7385,0,1,2
storybookjs/storybook,29117,30,171,42,315.92583333333334,7200,0,7,4
storybookjs/storybook,29116,4,20,5,310.87833333333333,6684,0,2,3
storybookjs/storybook,29114,3,30,5,311.7319444444444,6707,0,2,3
storybookjs/storybook,29111,6,259,4,354.2738888888889,4948,0,2,3
storybookjs/storybook,29110,7,41,9,20.775277777777777,6396,0,1,2
storybookjs/storybook,29102,1,1,1,279.9891666666667,4033,0,2,3
storybookjs/storybook,29086,3,98,2,1.0869444444444445,2856,0,1,2
