repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
strapi/strapi,21966,1,6,1,6.17,92,0,1,2
strapi/strapi,21965,12,248,75,7.035,1146,0,8,3
strapi/strapi,21963,30,159,49,4.211388888888889,0,0,2,3
strapi/strapi,21955,30,154,154,18.47861111111111,16,0,0,1
strapi/strapi,21954,30,156,48,18.758333333333333,14,0,0,1
strapi/strapi,21927,5,27,15,16.336666666666666,1343,0,1,2
strapi/strapi,21913,2,15,2,64.16277777777778,290,0,3,3
strapi/strapi,21912,3,74,0,117.02777777777777,108,0,5,3
strapi/strapi,21900,3,88,16,114.09222222222222,350,0,7,2
strapi/strapi,21897,2,13,7,1.1116666666666666,185,0,1,2
strapi/strapi,21878,1,19,0,1.8308333333333333,391,0,2,3
strapi/strapi,21868,5,27,15,22.837222222222223,725,0,1,2
strapi/strapi,21864,1,1,1,10.22,1051,0,1,2
strapi/strapi,21858,1,21,0,64.86555555555556,208,0,3,2
strapi/strapi,21855,1,6,3,161.00972222222222,553,0,4,2
strapi/strapi,21833,4,81,39,164.51833333333335,717,0,3,2
strapi/strapi,21801,1,1,1,1.4947222222222223,275,0,3,2
strapi/strapi,21800,2,28,1,6.9975,425,0,4,2
strapi/strapi,21798,12,445,969,241.8538888888889,1058,0,6,3
strapi/strapi,21797,2,26,24,77.15833333333333,492,0,1,2
strapi/strapi,21795,4,9,9,1.0888888888888888,337,0,1,2
strapi/strapi,21782,1,1,1,168.95916666666668,814,0,0,1
strapi/strapi,21781,7,104,82,94.42805555555556,694,0,0,1
strapi/strapi,21780,7,44,77,90.8236111111111,340,0,2,2
strapi/strapi,21770,3,101,43,7.4325,1280,0,3,2
strapi/strapi,21754,14,178,14,109.36583333333333,774,0,2,3
strapi/strapi,21752,1,35,5,36.41972222222222,2946,0,1,2
strapi/strapi,21751,5,65,31,19.843055555555555,618,0,3,3
strapi/strapi,21745,7,103,48,41.83972222222222,1400,0,3,4
strapi/strapi,21740,1,15,14,16.906666666666666,1356,0,1,2
strapi/strapi,21739,1,222,221,142.08305555555555,82,0,1,2
strapi/strapi,21737,1,5,0,17.748055555555556,145,0,3,2
strapi/strapi,21726,1,3,0,22.380555555555556,547,0,2,3
strapi/strapi,21633,2,17,17,20.110833333333332,474,0,4,2
strapi/strapi,21630,6,10,13,38.673611111111114,403,0,3,2
strapi/strapi,21627,1,0,2,20.569166666666668,316,0,3,2
strapi/strapi,21626,1,1,1,6.926388888888889,706,0,0,1
strapi/strapi,21616,2,15,8,16.06861111111111,682,0,6,4
strapi/strapi,21612,16,191,41,189.45527777777778,635,0,4,2
strapi/strapi,21611,6,107,118,240.6,675,0,3,3
strapi/strapi,21610,1,3,1,23.808333333333334,301,0,4,2
strapi/strapi,21606,1,9,9,22.40277777777778,688,0,1,2
strapi/strapi,21588,5,42,11,4.3116666666666665,1309,0,2,3
strapi/strapi,21582,2,1,1,22.391111111111112,399,0,1,2
strapi/strapi,21581,9,274,129,505.2213888888889,1284,0,0,1
strapi/strapi,21580,1,20,0,278.7938888888889,182,0,7,2
strapi/strapi,21578,2,20,36,91.27638888888889,328,0,3,3
strapi/strapi,21576,2,933,13,22.593055555555555,1060,0,7,4
strapi/strapi,21574,7,275,8,119.34527777777778,201,0,8,2
strapi/strapi,21573,5,195,45,507.52444444444444,1776,0,23,6
strapi/strapi,21563,30,1742,2385,18.891111111111112,0,0,2,3
strapi/strapi,21562,30,30,30,18.995,0,0,3,3
strapi/strapi,21561,5,138,5,125.34,165,0,2,2
strapi/strapi,21559,2,79,4,116.53583333333333,837,0,5,2
strapi/strapi,21558,2,96,30,193.84194444444444,220,0,1,2
strapi/strapi,21557,1,1,1,44.66416666666667,526,0,2,3
strapi/strapi,21555,11,102,1,21.281111111111112,152,0,5,2
strapi/strapi,21554,30,364,220,119.06611111111111,12295,0,8,3
strapi/strapi,21550,2,2,2,19.376666666666665,942,0,2,2
