repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
supabase/supabase,30075,12,32,29,2.213611111111111,71,0,5,3
supabase/supabase,30072,30,3345,44,5.192222222222222,83,0,1,2
supabase/supabase,30065,1,1,1,5.4125,190,0,2,3
supabase/supabase,30059,5,2,15,9.35388888888889,0,0,1,2
supabase/supabase,30056,4,104,0,2.9877777777777776,92,0,1,2
supabase/supabase,30055,1,5,3,13.7725,150,0,1,2
supabase/supabase,30053,1,2,2,3.335,270,0,1,2
supabase/supabase,30052,5,32,34,17.340555555555557,89,0,1,2
supabase/supabase,30041,6,56,41,35.452777777777776,227,0,1,2
supabase/supabase,30037,1,1,1,2.0941666666666667,137,0,0,1
supabase/supabase,30035,3,15,1,2.6969444444444446,169,0,0,1
supabase/supabase,30031,20,97,189,23.236944444444443,321,0,1,2
supabase/supabase,30029,21,97,159,22.725,463,0,1,2
supabase/supabase,30025,22,269,207,21.768333333333334,705,0,6,2
supabase/supabase,30024,2,2,2,16.987222222222222,225,0,1,2
supabase/supabase,30022,2,25,15,4.1625,124,0,2,3
supabase/supabase,30013,1,3,4,13.970277777777778,1750,0,2,3
supabase/supabase,30003,11,68,87,22.057777777777776,750,0,6,3
supabase/supabase,30001,14,46,342,2.608611111111111,74,0,8,2
supabase/supabase,29996,3,11,3,10.784444444444444,896,0,1,2
supabase/supabase,29994,6,39,27,46.670833333333334,801,0,2,2
supabase/supabase,29987,30,710,221,137.0236111111111,0,0,6,2
supabase/supabase,29986,1,53,31,66.06027777777778,532,0,1,2
supabase/supabase,29984,1,5,12,5.082222222222223,753,0,1,2
supabase/supabase,29983,6,170,69,82.7025,78,0,3,2
supabase/supabase,29980,3,15,11,72.57194444444444,261,0,1,2
supabase/supabase,29979,3,17,19,94.86333333333333,0,0,1,2
supabase/supabase,29973,1,5,3,1.0166666666666666,302,0,1,2
supabase/supabase,29969,30,2087,126,124.92472222222223,105,0,2,2
supabase/supabase,29965,1,1,1,21.58388888888889,484,0,1,2
supabase/supabase,29955,1,19,24,120.65083333333334,450,0,1,2
supabase/supabase,29952,1,19,2,121.54222222222222,171,0,1,2
supabase/supabase,29948,3,17,4,1.9755555555555555,787,0,1,2
supabase/supabase,29945,1,8,9,3.991111111111111,0,0,2,3
supabase/supabase,29937,10,47,21,6.873888888888889,53,0,2,3
supabase/supabase,29934,1,2,3,21.535555555555554,645,0,2,3
supabase/supabase,29932,1,11,9,21.432777777777776,97,0,1,2
supabase/supabase,29930,1,3,1,21.975555555555555,123,0,1,2
supabase/supabase,29926,17,278,35,46.94361111111111,105,0,2,3
supabase/supabase,29919,1,59,0,2.578888888888889,56,0,2,2
supabase/supabase,29907,2,12,2,1.5805555555555555,0,0,1,2
supabase/supabase,29906,1,1,1,10.339444444444444,0,0,1,2
supabase/supabase,29904,1,1,1,37.8075,331,0,1,2
supabase/supabase,29903,1,19,27,20.467777777777776,55,0,1,2
supabase/supabase,29902,1,1,0,7.182222222222222,71,0,1,2
supabase/supabase,29899,1,12,10,1.5233333333333334,0,0,1,2
supabase/supabase,29897,1,9,0,35.98916666666667,15,0,0,1
supabase/supabase,29896,9,1473,358,47.40611111111111,0,0,1,2
supabase/supabase,29894,9,434,142,17.25777777777778,65,0,1,2
supabase/supabase,29891,14,196,79,5.715,341,0,1,2
supabase/supabase,29888,1,219,218,38.9125,9684,0,0,1
supabase/supabase,29885,1,1,0,15.047222222222222,401,0,1,2
supabase/supabase,29883,2,0,4,227.555,223,0,1,2
supabase/supabase,29882,1,2,2,9.978055555555555,0,0,1,2
supabase/supabase,29881,11,106,37,60.3675,521,0,1,2
supabase/supabase,29873,1,1,1,12.454166666666667,0,0,2,3
supabase/supabase,29870,9,519,142,26.913888888888888,665,0,1,2
supabase/supabase,29869,3,160,7,63.785833333333336,44,0,1,2
supabase/supabase,29866,1,1,0,72.77027777777778,649,0,1,2
supabase/supabase,29862,11,497,93,35.42583333333334,986,0,2,2
supabase/supabase,29861,1,1,1,33.657222222222224,511,0,1,2
supabase/supabase,29858,1,7,1,1.3791666666666667,141,0,1,2
supabase/supabase,29855,7,270,74,71.93583333333333,0,0,0,1
supabase/supabase,29849,2,968,1402,117.01944444444445,20930,0,0,1
supabase/supabase,29848,10,592,216,282.71166666666664,88,0,3,3
supabase/supabase,29846,1,8,0,116.26833333333333,0,0,1,2
supabase/supabase,29844,1,3,3,120.795,9963,0,0,1
supabase/supabase,29839,1,2,2,3.4830555555555556,417,0,1,2
supabase/supabase,29834,8,15,28,91.46972222222222,0,0,1,2
supabase/supabase,29825,1,36,1,91.0213888888889,177,0,1,2
supabase/supabase,29824,4,85,4,20.050555555555555,180,0,1,2
supabase/supabase,29822,1,1,1,24.49111111111111,450,0,1,2
supabase/supabase,29820,11,163,1,3.0744444444444445,223,0,2,3
supabase/supabase,29819,3,51,17,23.958055555555557,455,0,3,3
supabase/supabase,29818,30,616,463,140.1327777777778,210,0,5,3
supabase/supabase,29816,1,10,12,2.6530555555555555,196,0,1,2
supabase/supabase,29810,3,18,31,1.0205555555555557,110,0,1,2
supabase/supabase,29809,2,19,13,5.787222222222222,699,0,1,2
supabase/supabase,29808,1,11,11,2.036388888888889,280,0,1,2
supabase/supabase,29807,1,1,1,5.093055555555556,0,0,1,2
supabase/supabase,29806,3,40,26,180.41333333333333,595,0,2,2
supabase/supabase,29801,1,20,20,21.76,241,0,1,2
supabase/supabase,29797,7,104,120,139.67916666666667,360,0,1,2
supabase/supabase,29795,3,80,1,48.32472222222222,0,0,1,2
supabase/supabase,29794,2,63,40,16.638333333333332,575,0,4,2
supabase/supabase,29791,4,189,226,116.36138888888888,129,0,1,2
supabase/supabase,29788,13,146,82,4.456111111111111,0,0,2,2
supabase/supabase,29785,3,9,3,1.666388888888889,0,0,1,2
supabase/supabase,29784,1,124,110,1.7280555555555555,89,0,1,2
supabase/supabase,29780,2,79,2,50.07972222222222,123,0,1,2
supabase/supabase,29774,3,10,9,2.140833333333333,0,0,1,2
supabase/supabase,29773,3,33,10,2.484166666666667,110,0,1,2
supabase/supabase,29769,6,236,2,1.6877777777777778,100,0,1,2
supabase/supabase,29756,5,52,24,10.928333333333333,259,0,4,3
supabase/supabase,29750,5,206,5,139.46166666666667,0,0,1,2
supabase/supabase,29749,11,175,89,184.3386111111111,755,0,2,3
supabase/supabase,29747,30,614,556,15.905555555555555,900,0,4,3
supabase/supabase,29746,3,204,201,2.0772222222222223,55,0,4,3
supabase/supabase,29745,30,597,570,1.5297222222222222,348,0,0,1
supabase/supabase,29740,1,7,3,335.2763888888889,0,0,2,3
