repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
sveltejs/svelte,13888,10,20,37,3.444166666666667,1247,0,1,2
sveltejs/svelte,13887,9,108,5,1.2883333333333333,540,0,1,2
sveltejs/svelte,13884,1,4,0,1.765,1032,0,1,2
sveltejs/svelte,13877,4,62,1,2.7311111111111113,594,0,1,2
sveltejs/svelte,13870,7,32,3,8.327777777777778,186,0,1,2
sveltejs/svelte,13866,5,87,44,1.7961111111111112,723,0,1,2
sveltejs/svelte,13863,7,14,22,9.383888888888889,860,0,1,2
sveltejs/svelte,13859,4,33,5,3.7,150,0,1,2
sveltejs/svelte,13858,3,14,8,2.098333333333333,315,0,2,2
sveltejs/svelte,13857,1,1,1,1.5569444444444445,47,0,0,1
sveltejs/svelte,13854,1,1,1,15.475833333333334,206,0,0,1
sveltejs/svelte,13849,6,47,1,14.793333333333333,1078,0,1,2
sveltejs/svelte,13836,6,21,22,23.839444444444446,1476,0,1,2
sveltejs/svelte,13830,10,84,7,3.298611111111111,594,0,3,3
sveltejs/svelte,13827,2,6,2,2.2391666666666667,15,0,1,2
sveltejs/svelte,13826,1,21,5,2.5947222222222224,15,0,1,2
sveltejs/svelte,13824,5,96,88,2.528888888888889,1143,0,1,2
sveltejs/svelte,13820,2,15,2,1.4738888888888888,924,0,1,2
sveltejs/svelte,13807,1,5,1,8.425277777777778,484,0,0,1
sveltejs/svelte,13804,1,2,1,11.519722222222223,943,0,1,2
sveltejs/svelte,13803,5,7,7,12.0475,139,0,1,2
sveltejs/svelte,13796,1,1,1,7.124444444444444,757,0,2,2
sveltejs/svelte,13792,1,1,1,1.6541666666666666,617,0,1,2
sveltejs/svelte,13788,5,17,17,2.357222222222222,920,0,1,2
sveltejs/svelte,13782,1,2,2,6.576666666666667,617,0,1,2
sveltejs/svelte,13769,30,801,985,1.6780555555555556,0,0,0,1
sveltejs/svelte,13766,1,2,2,9.662222222222223,1103,0,1,2
sveltejs/svelte,13763,6,65,15,18.610555555555557,634,0,1,2
sveltejs/svelte,13757,14,30,57,47.94027777777778,1723,0,4,3
sveltejs/svelte,13756,18,812,2,8.523055555555555,24,0,1,2
sveltejs/svelte,13754,12,86,14,2.4419444444444443,617,0,3,3
sveltejs/svelte,13752,1,2,2,2.7488888888888887,695,0,1,2
sveltejs/svelte,13751,5,18,4,48.431666666666665,154,0,2,3
sveltejs/svelte,13750,4,22,3,1.5283333333333333,1435,0,1,2
sveltejs/svelte,13742,10,20,37,6.245,1225,0,0,1
sveltejs/svelte,13740,6,43,7,1.6111111111111112,769,0,1,2
sveltejs/svelte,13738,8,61,48,1.2383333333333333,647,0,1,2
sveltejs/svelte,13736,5,10,12,1.1919444444444445,601,0,0,1
sveltejs/svelte,13729,1,1,1,7.0375,1115,0,0,1
sveltejs/svelte,13706,1,3,3,14.043611111111112,991,0,1,2
sveltejs/svelte,13702,4,8,7,1.1002777777777777,498,0,0,1
sveltejs/svelte,13699,30,974,480,49.495,3,0,0,1
sveltejs/svelte,13698,18,171,26,6.226666666666667,1306,0,5,3
sveltejs/svelte,13694,2,25,6,1.0216666666666667,289,0,1,2
sveltejs/svelte,13693,2,54,44,1.8847222222222222,335,0,1,2
sveltejs/svelte,13690,4,43,3,55.272222222222226,1560,0,1,2
sveltejs/svelte,13685,2,7,2,10.764722222222222,52,0,0,1
sveltejs/svelte,13679,6,154,1,2.0972222222222223,1196,0,3,2
sveltejs/svelte,13678,18,128,56,2.5325,1299,0,1,2
sveltejs/svelte,13676,4,37,1,2.5494444444444446,54,0,1,2
sveltejs/svelte,13674,4,85,39,113.32666666666667,1009,0,1,2
sveltejs/svelte,13673,4,37,1,2.3002777777777776,53,0,1,2
sveltejs/svelte,13668,7,57,3,1.6027777777777779,1008,0,1,2
sveltejs/svelte,13660,8,37,6,35.10861111111111,329,0,16,4
sveltejs/svelte,13658,4,99,0,2.1144444444444446,1008,0,6,2
sveltejs/svelte,13654,1,1,1,3.431388888888889,874,0,0,1
sveltejs/svelte,13652,2,20,1,1.4808333333333332,377,0,1,2
sveltejs/svelte,13651,2,7,2,26.247777777777777,55,0,0,1
sveltejs/svelte,13650,4,39,2,29.66611111111111,1862,0,0,1
sveltejs/svelte,13648,7,36,0,1.2786111111111111,53,0,2,2
sveltejs/svelte,13643,5,45,2,3.046666666666667,218,0,10,3
sveltejs/svelte,13640,4,27,2,6.271111111111111,1395,0,0,1
sveltejs/svelte,13639,2,8,3,4.799722222222222,1009,0,4,4
sveltejs/svelte,13632,9,40,20,20.503055555555555,1008,0,2,2
sveltejs/svelte,13630,4,103,3,12.850277777777778,1157,0,1,2
sveltejs/svelte,13622,8,85,7,1.0477777777777777,145,0,1,2
sveltejs/svelte,13621,4,18,2,2.462222222222222,1058,0,0,1
sveltejs/svelte,13620,1,54,27,1.841388888888889,383,0,1,2
sveltejs/svelte,13617,4,33,1,11.857222222222223,1610,0,1,2
sveltejs/svelte,13614,5,64,0,22.04222222222222,480,0,1,2
sveltejs/svelte,13612,2,9,1,5.005,1617,0,1,2
sveltejs/svelte,13611,5,60,3,6.060555555555555,323,0,1,2
sveltejs/svelte,13603,4,21,2,29.4575,1120,0,0,1
sveltejs/svelte,13601,5,60,1,71.36805555555556,363,0,1,2
sveltejs/svelte,13589,9,135,5,50.745,1428,0,5,2
sveltejs/svelte,13586,6,91,12,41.69083333333333,2715,0,0,1
sveltejs/svelte,13574,3,13,4,66.55361111111111,1069,0,1,2
sveltejs/svelte,13571,1,2,0,286.30333333333334,1071,0,1,2
sveltejs/svelte,13568,11,305,19,91.24805555555555,1517,0,1,2
sveltejs/svelte,13567,9,442,86,81.93694444444445,1210,0,7,3
sveltejs/svelte,13563,8,111,39,90.28472222222223,1383,0,2,2
sveltejs/svelte,13557,13,2406,3,10.706111111111111,130,0,0,1
sveltejs/svelte,13554,1,2,0,321.335,178,0,0,1
sveltejs/svelte,13553,5,122,3,2.5155555555555558,1464,0,8,2
sveltejs/svelte,13552,1,2,2,1.0941666666666667,991,0,0,1
sveltejs/svelte,13549,4,77,0,115.53138888888888,198,0,1,2
sveltejs/svelte,13548,3,41,1,16.444166666666668,54,0,8,2
sveltejs/svelte,13545,4,30,2,122.20111111111112,1587,0,0,1
sveltejs/svelte,13540,6,42,2,1.9966666666666666,633,0,1,2
sveltejs/svelte,13538,9,90,21,1.7486111111111111,869,0,0,1
sveltejs/svelte,13535,4,82,1,12.424722222222222,1579,0,1,2
sveltejs/svelte,13532,4,24,2,18.189444444444444,1311,0,0,1
sveltejs/svelte,13530,2,9,3,22.028055555555557,5406,0,0,1
sveltejs/svelte,13529,1,4,0,1.3388888888888888,42,0,2,2
sveltejs/svelte,13527,5,75,3,4.399166666666667,53,0,1,2
sveltejs/svelte,13526,11,186,20,22.96527777777778,879,0,6,3
sveltejs/svelte,13515,3,35,1,19.89472222222222,1214,0,1,2
sveltejs/svelte,13504,13,165,14,16.45388888888889,1474,0,5,2
sveltejs/svelte,13502,2,18,41,67.95805555555556,1252,0,4,3
sveltejs/svelte,13500,5,418,39,5.450555555555556,821,0,4,2
