repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
swiftlang/swift,77208,1,7,0,3.6791666666666667,174,0,0,1
swiftlang/swift,77207,2,24,8,4.186944444444444,243,0,0,1
swiftlang/swift,77200,1,1,1,3.3175,96,0,1,2
swiftlang/swift,77198,2,23,0,11.208333333333334,43,0,0,1
swiftlang/swift,77197,3,24,13,19.6475,212,0,1,2
swiftlang/swift,77191,3,37,6,15.276111111111112,341,0,1,2
swiftlang/swift,77188,1,2,2,3.3105555555555557,62,0,1,2
swiftlang/swift,77184,2,7,1,29.91138888888889,0,0,1,2
swiftlang/swift,77180,3,92,144,11.17388888888889,143,0,0,1
swiftlang/swift,77179,9,1301,27,17.232222222222223,117,0,0,1
swiftlang/swift,77178,16,332,425,44.72,0,0,3,2
swiftlang/swift,77175,2,2,2,24.948055555555555,257,0,3,4
swiftlang/swift,77172,3,27,3,18.060833333333335,222,0,2,3
swiftlang/swift,77170,1,1,1,23.063333333333333,18,0,0,1
swiftlang/swift,77166,1,0,2,6.856111111111111,0,0,0,1
swiftlang/swift,77165,2,32,1,4.945833333333334,600,0,1,2
swiftlang/swift,77163,1,2,2,3.6358333333333333,1092,0,1,2
swiftlang/swift,77162,4,54,25,20.848333333333333,336,0,2,2
swiftlang/swift,77161,1,1,1,34.83694444444444,262,0,3,4
swiftlang/swift,77160,6,83,7,13.391388888888889,162,0,1,2
swiftlang/swift,77159,9,191,162,13.578888888888889,290,0,0,1
swiftlang/swift,77158,28,3231,2847,20.733888888888888,243,0,0,1
swiftlang/swift,77157,2,1,1,64.90194444444444,0,0,1,2
swiftlang/swift,77156,3,45,22,22.990277777777777,555,0,2,2
swiftlang/swift,77155,2,3,1,22.41888888888889,291,0,1,2
swiftlang/swift,77154,4,764,0,19.258333333333333,741,0,1,2
swiftlang/swift,77153,3,23,4,20.37388888888889,1219,0,8,2
swiftlang/swift,77152,10,58,42,4.706944444444445,501,0,1,2
swiftlang/swift,77151,13,366,9,2.0805555555555557,29,0,1,2
swiftlang/swift,77148,19,876,1103,35.23,210,0,0,1
swiftlang/swift,77147,1,4,2,26.304166666666667,1176,0,0,1
swiftlang/swift,77144,11,446,163,12.363611111111112,432,0,0,1
swiftlang/swift,77143,2,81,56,7.1497222222222225,200,0,1,2
swiftlang/swift,77142,1,3,3,18.954166666666666,54,0,0,1
swiftlang/swift,77138,1,0,2,5.889444444444444,133,0,0,1
swiftlang/swift,77135,30,40,40,23.319444444444443,199,0,1,2
swiftlang/swift,77133,1,0,6,28.983888888888888,0,0,0,1
swiftlang/swift,77131,1,61,0,44.01444444444444,0,0,1,2
swiftlang/swift,77130,30,59,59,20.017222222222223,200,0,1,2
swiftlang/swift,77128,30,38,38,10.781944444444445,192,0,0,1
swiftlang/swift,77127,1,4,2,3.578611111111111,300,0,0,1
swiftlang/swift,77126,3,53,11,44.38388888888889,101,0,0,1
swiftlang/swift,77124,30,41,41,10.735555555555555,199,0,1,2
swiftlang/swift,77121,4,91,14,57.439166666666665,493,0,3,4
swiftlang/swift,77120,2,31,2,137.01638888888888,943,0,1,2
swiftlang/swift,77118,30,40,36,17.860555555555557,0,0,0,1
swiftlang/swift,77117,1,2,2,66.28277777777778,181,0,1,2
swiftlang/swift,77114,30,37,37,6.949166666666667,164,0,0,1
swiftlang/swift,77112,3,40,0,15.311944444444444,0,0,1,2
swiftlang/swift,77109,1,1,1,3.5766666666666667,146,0,0,1
swiftlang/swift,77104,30,48,45,32.76861111111111,0,0,0,1
swiftlang/swift,77103,30,56,56,3.5211111111111113,88,0,1,2
swiftlang/swift,77101,1,1,1,5.713333333333333,121,0,1,2
swiftlang/swift,77098,2,3,1,5.810833333333333,1187,0,1,2
swiftlang/swift,77096,1,1,1,3.910277777777778,25,0,0,1
swiftlang/swift,77095,18,1103,869,6.103611111111111,155,0,0,1
swiftlang/swift,77094,1,1,1,8.41611111111111,106,0,0,1
swiftlang/swift,77093,1,5,3,3.5419444444444443,95,0,0,1
swiftlang/swift,77092,1,2,2,16.729166666666668,196,0,0,1
swiftlang/swift,77084,2,110,8,33.702222222222225,134,0,3,3
swiftlang/swift,77083,6,261,83,11.323333333333334,917,0,0,1
swiftlang/swift,77082,1,1,1,3.5322222222222224,0,0,0,1
swiftlang/swift,77081,1,5,5,9.264166666666666,155,0,0,1
swiftlang/swift,77080,1,2,5,3.716111111111111,690,0,1,2
swiftlang/swift,77079,2,73,3,6.4191666666666665,706,0,1,2
swiftlang/swift,77078,2,5,6,4.183888888888889,115,0,0,1
swiftlang/swift,77077,3,45,5,168.55083333333334,808,0,0,1
swiftlang/swift,77076,2,44,1,6.341666666666667,580,0,1,2
swiftlang/swift,77075,1,2,0,4.612777777777778,89,0,0,1
swiftlang/swift,77073,3,66,2,4.841944444444445,169,0,3,2
swiftlang/swift,77071,2,11,0,3.5122222222222224,955,0,1,2
swiftlang/swift,77070,2,1,3,27.358333333333334,167,0,1,2
swiftlang/swift,77069,2,40,0,3.5636111111111113,1070,0,1,2
swiftlang/swift,77066,2,43,1,12.095,85,0,1,2
swiftlang/swift,77064,1,1,112,19.5225,58,0,6,4
swiftlang/swift,77061,2,19,0,17.30361111111111,123,0,1,2
swiftlang/swift,77060,3,82,1,21.35611111111111,204,0,0,1
swiftlang/swift,77059,5,4,2,3.529166666666667,104,0,1,2
swiftlang/swift,77058,2,15,1,17.449444444444445,241,0,1,2
swiftlang/swift,77056,2,44,1,18.066944444444445,249,0,1,2
swiftlang/swift,77055,3,25,7,3.891111111111111,496,0,1,2
swiftlang/swift,77054,1,26,43,3.562777777777778,95,0,1,2
swiftlang/swift,77053,1,1,8,3.5275,254,0,2,3
swiftlang/swift,77049,3,117,36,20.746111111111112,1362,0,6,2
swiftlang/swift,77044,2,17,0,13.916944444444445,473,0,2,3
swiftlang/swift,77040,7,903,30,21.05027777777778,582,0,0,1
swiftlang/swift,77039,2,43,1,20.876666666666665,1651,0,1,2
swiftlang/swift,77038,13,9,366,42.345555555555556,103,0,3,4
swiftlang/swift,77036,2,6,2,40.58222222222222,137,0,4,2
swiftlang/swift,77034,3,71,1,62.49388888888889,133,0,1,2
swiftlang/swift,77033,1,3,0,5.103888888888889,75,0,0,1
swiftlang/swift,77032,10,112,17,43.6125,760,0,3,2
swiftlang/swift,77031,2,73,3,47.66638888888889,435,0,13,4
swiftlang/swift,77029,3,8,3,49.36416666666667,0,0,0,1
swiftlang/swift,77028,30,694,95,55.836666666666666,560,0,2,2
swiftlang/swift,77027,2,130,12,47.367777777777775,591,0,6,3
swiftlang/swift,77026,2,73,1,37.79888888888889,108,0,2,3
swiftlang/swift,77025,10,221,34,47.253055555555555,409,0,5,2
swiftlang/swift,77024,2,7,4,74.6225,1368,0,2,3
swiftlang/swift,77022,6,15,15,52.44722222222222,0,0,0,1
