repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
swisskyrepo/PayloadsAllTheThings,749,1,36,68,11.895,0,0,0,1
swisskyrepo/PayloadsAllTheThings,745,3,142,32,2.5791666666666666,1259,0,0,1
swisskyrepo/PayloadsAllTheThings,744,1,68,74,2.765833333333333,19,0,0,1
swisskyrepo/PayloadsAllTheThings,743,1,29,27,2.9630555555555556,13,0,0,1
swisskyrepo/PayloadsAllTheThings,741,1,0,179,78.81277777777778,0,0,0,1
swisskyrepo/PayloadsAllTheThings,740,30,793,748,1.1933333333333334,378,0,1,1
swisskyrepo/PayloadsAllTheThings,725,1,114,0,7.073333333333333,289,0,0,1
swisskyrepo/PayloadsAllTheThings,723,1,7,1,45.937777777777775,299,0,0,1
swisskyrepo/PayloadsAllTheThings,722,1,2,2,64.03333333333333,163,0,0,1
swisskyrepo/PayloadsAllTheThings,721,1,15,0,162.63944444444445,324,0,0,1
swisskyrepo/PayloadsAllTheThings,719,1,37,0,1.0369444444444444,180,0,0,1
swisskyrepo/PayloadsAllTheThings,718,1,2,2,1.8358333333333334,545,0,0,1
swisskyrepo/PayloadsAllTheThings,717,1,2,2,16.87472222222222,43,0,0,1
swisskyrepo/PayloadsAllTheThings,712,1,1,0,1.9977777777777779,0,0,0,1
swisskyrepo/PayloadsAllTheThings,711,1,12,0,11.152777777777779,90,0,0,1
swisskyrepo/PayloadsAllTheThings,710,1,4,1,42.33111111111111,78,0,0,1
swisskyrepo/PayloadsAllTheThings,708,1,9,0,599.9372222222222,0,0,0,1
swisskyrepo/PayloadsAllTheThings,706,1,9,1,2874.4275,136,0,0,1
swisskyrepo/PayloadsAllTheThings,705,1,7,0,1011.6288888888889,48,0,0,1
swisskyrepo/PayloadsAllTheThings,704,1,9,0,5.761111111111111,51,0,0,1
swisskyrepo/PayloadsAllTheThings,703,1,14,1,45.458333333333336,138,0,0,1
swisskyrepo/PayloadsAllTheThings,702,27,600,1327,2.883888888888889,0,0,0,1
swisskyrepo/PayloadsAllTheThings,701,1,2,0,188.87916666666666,180,0,0,1
swisskyrepo/PayloadsAllTheThings,700,1,1,1,2.778611111111111,139,0,0,1
swisskyrepo/PayloadsAllTheThings,698,1,11,0,5.675833333333333,90,0,0,1
swisskyrepo/PayloadsAllTheThings,697,1,8,0,932.5086111111111,33,0,0,1
swisskyrepo/PayloadsAllTheThings,696,1,16,0,12.4975,162,0,0,1
swisskyrepo/PayloadsAllTheThings,695,1,8,0,1.9669444444444444,225,0,0,1
swisskyrepo/PayloadsAllTheThings,694,1,9,0,59.464444444444446,67,0,0,1
swisskyrepo/PayloadsAllTheThings,693,1,1,0,265.79805555555555,15,0,0,1
swisskyrepo/PayloadsAllTheThings,692,1,24,9,288.8936111111111,0,0,0,1
swisskyrepo/PayloadsAllTheThings,691,1,1,1,47.62305555555555,0,0,0,1
swisskyrepo/PayloadsAllTheThings,690,1,11,1,2.7552777777777777,57,0,0,1
swisskyrepo/PayloadsAllTheThings,689,5,10,10,164.0702777777778,35,0,0,1
swisskyrepo/PayloadsAllTheThings,688,1,47,0,238.74277777777777,79,0,0,1
swisskyrepo/PayloadsAllTheThings,687,1,13,0,272.04555555555555,150,0,0,1
swisskyrepo/PayloadsAllTheThings,684,0,0,0,15.996944444444445,0,0,0,1
swisskyrepo/PayloadsAllTheThings,682,1,2,2,26.826666666666668,25,0,0,1
swisskyrepo/PayloadsAllTheThings,681,1,3,2,76.68916666666667,119,0,0,1
swisskyrepo/PayloadsAllTheThings,678,1,221,0,12.8975,643,0,0,1
swisskyrepo/PayloadsAllTheThings,677,1,95,0,15.137777777777778,213,0,0,1
swisskyrepo/PayloadsAllTheThings,676,2,16,6,95.74972222222222,167,0,0,1
swisskyrepo/PayloadsAllTheThings,675,1,15,0,197.1725,134,0,0,1
swisskyrepo/PayloadsAllTheThings,674,1,1,1,21.65222222222222,25,0,0,1
swisskyrepo/PayloadsAllTheThings,673,1,3,0,11.336388888888889,86,0,0,1
swisskyrepo/PayloadsAllTheThings,672,1,31,0,16.831944444444446,211,0,0,1
