repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
syncthing/syncthing,9777,2,28,0,37.242777777777775,985,0,2,1
syncthing/syncthing,9768,2,4,5,68.24861111111112,4034,0,0,1
syncthing/syncthing,9767,2,6,5,68.27722222222222,5519,0,0,1
syncthing/syncthing,9765,2,3,3,236.62722222222223,3669,0,0,1
syncthing/syncthing,9764,2,3,3,236.62777777777777,2702,0,0,1
syncthing/syncthing,9763,2,15,15,236.6286111111111,4019,0,0,1
syncthing/syncthing,9762,2,12,12,236.6302777777778,3226,0,0,1
syncthing/syncthing,9761,2,3,3,236.6302777777778,2015,0,0,1
syncthing/syncthing,9760,2,9,9,236.63111111111112,2914,0,0,1
syncthing/syncthing,9759,2,3,3,236.6325,2363,0,0,1
syncthing/syncthing,9758,3,2,4,2.268611111111111,547,0,6,3
syncthing/syncthing,9755,1,1,16,5.016111111111111,608,0,1,2
syncthing/syncthing,9748,1,2,2,12.62138888888889,355,0,0,1
syncthing/syncthing,9746,2,3,3,44.075833333333335,3879,0,0,1
syncthing/syncthing,9742,1,10,0,17.10972222222222,682,0,1,2
syncthing/syncthing,9741,1,12,1,23.9175,69,0,1,2
syncthing/syncthing,9740,1,28,18,31.6775,442,0,1,2
syncthing/syncthing,9738,1,0,6,7.789444444444444,288,0,1,2
syncthing/syncthing,9736,3,10,6,42.05444444444444,414,0,1,2
syncthing/syncthing,9731,3,6,4,3.043888888888889,0,0,4,2
syncthing/syncthing,9726,2,93,2,79.15027777777777,1115,0,1,2
syncthing/syncthing,9724,1,9,0,13.612777777777778,2019,0,1,2
syncthing/syncthing,9722,1,5,1,6.6075,1131,0,4,2
syncthing/syncthing,9721,5,17,8,86.46222222222222,77,0,0,1
syncthing/syncthing,9720,1,10,5,19.474722222222223,105,0,0,1
syncthing/syncthing,9717,3,59,35,235.93722222222223,309,0,5,2
syncthing/syncthing,9716,2,59,34,1.4244444444444444,264,0,1,2
syncthing/syncthing,9714,2,5,5,111.04138888888889,4513,0,0,1
syncthing/syncthing,9713,2,3,3,111.055,5532,0,0,1
syncthing/syncthing,9712,2,12,12,111.045,2557,0,0,1
syncthing/syncthing,9711,1,16,0,1.6566666666666667,350,0,1,2
syncthing/syncthing,9710,1,19,11,8.446111111111112,125,0,1,2
syncthing/syncthing,9708,1,6,0,1.8044444444444445,214,0,0,1
syncthing/syncthing,9706,1,1,1,129.35472222222222,92,0,1,2
syncthing/syncthing,9705,30,16,20,191.89222222222222,201,0,2,2
syncthing/syncthing,9704,2,18,0,51.204166666666666,432,0,2,3
syncthing/syncthing,9701,3,43,41,12.681944444444444,612,0,4,2
syncthing/syncthing,9698,24,1528,90,37.0625,63,0,0,1
syncthing/syncthing,9697,2,18,18,38.61416666666667,3922,0,0,1
syncthing/syncthing,9696,2,3,3,38.61555555555555,3851,0,0,1
syncthing/syncthing,9695,2,9,9,38.61638888888889,3909,0,0,1
syncthing/syncthing,9694,2,3,3,38.617222222222225,12515,0,0,1
syncthing/syncthing,9693,2,8,3,38.61888888888889,18883,0,0,1
syncthing/syncthing,9692,2,3,3,38.62,2387,0,0,1
syncthing/syncthing,9687,2,78,9,62.1275,367,0,4,2
syncthing/syncthing,9685,3,36,87,123.75361111111111,1233,0,2,2
syncthing/syncthing,9681,1,24,2,165.21694444444444,562,0,3,3
syncthing/syncthing,9680,6,170,82,191.35361111111112,353,0,0,1
syncthing/syncthing,9676,2,3,3,207.24388888888888,7898,0,0,1
syncthing/syncthing,9673,2,8,17,216.4025,1409,0,1,2
syncthing/syncthing,9672,6,416,21,253.6425,170,0,0,1
syncthing/syncthing,9671,2,27,5,21.663888888888888,634,0,5,2
syncthing/syncthing,9669,1,15,11,58.94916666666666,574,0,21,2
syncthing/syncthing,9664,2,8,3,336.0225,19637,0,0,1
syncthing/syncthing,9663,5,32,6,64.67166666666667,271,0,0,1
syncthing/syncthing,9661,1,1,1,1.8308333333333333,657,0,1,2
syncthing/syncthing,9659,5,14,18,3.5211111111111113,494,0,1,2
syncthing/syncthing,9657,6,497,228,188.1677777777778,213,0,17,4
syncthing/syncthing,9656,12,262,8,870.2330555555556,1282,0,5,4
syncthing/syncthing,9655,2,8,3,168.0702777777778,21273,0,0,1
syncthing/syncthing,9651,4,16,27,144.2877777777778,2,0,2,2
syncthing/syncthing,9648,2,59,34,13.057222222222222,103,0,1,2
syncthing/syncthing,9646,1,2,0,3.906111111111111,235,0,1,2
syncthing/syncthing,9644,4,2,6,15.6675,233,0,1,2
syncthing/syncthing,9643,26,17,217,5.371666666666667,2447,0,4,4
syncthing/syncthing,9635,10,949,72,321.8677777777778,287,0,7,2
syncthing/syncthing,9633,2,3,3,93.3325,3850,0,0,1
syncthing/syncthing,9632,2,3,3,93.33333333333333,10310,0,0,1
syncthing/syncthing,9631,2,3,3,93.3375,2357,0,0,1
syncthing/syncthing,9627,2,90,2,167.9322222222222,458,0,2,2
syncthing/syncthing,9622,1,1,1,238.96194444444444,49,0,1,2
syncthing/syncthing,9619,22,156,30,65.59166666666667,1921,0,16,3
syncthing/syncthing,9611,2,0,12,36.98555555555556,86,0,1,2
syncthing/syncthing,9608,2,12,12,856.4286111111111,3957,0,0,1
syncthing/syncthing,9607,2,18,18,856.4291666666667,4144,0,0,1
syncthing/syncthing,9606,2,15,15,856.4311111111111,3985,0,0,1
syncthing/syncthing,9605,2,3,3,856.4325,3957,0,0,1
syncthing/syncthing,9604,2,3,3,672.1752777777778,3862,0,0,1
syncthing/syncthing,9603,1,4,0,16.181944444444444,11,0,1,2
syncthing/syncthing,9602,1,3,1,7.175833333333333,12,0,1,2
syncthing/syncthing,9598,2,3,3,2192.32,3030,0,1,2
syncthing/syncthing,9593,2,3,3,1008.2708333333334,11228,0,0,1
syncthing/syncthing,9585,2,3,3,1360.55,2032,0,0,1
syncthing/syncthing,9584,2,2,2,1360.6908333333333,9982,0,0,1
syncthing/syncthing,9578,2,3,3,672.1522222222222,2986,0,0,1
syncthing/syncthing,9577,2,18,18,672.1580555555555,4001,0,0,1
syncthing/syncthing,9576,2,3,3,336.05833333333334,12187,0,0,1
syncthing/syncthing,9575,2,12,12,672.1627777777778,3525,0,0,1
syncthing/syncthing,9574,2,15,15,672.1611111111112,3934,0,0,1
syncthing/syncthing,9573,2,6,6,1528.5925,2772,0,0,1
syncthing/syncthing,9564,2,6,6,19.174166666666668,4878,0,0,1
syncthing/syncthing,9563,2,3,3,19.176666666666666,4202,0,0,1
syncthing/syncthing,9562,2,3,13,19.180833333333332,6415,0,0,1
syncthing/syncthing,9552,5,861,2,365.25444444444446,659,0,1,2
syncthing/syncthing,9551,2,21,21,18.341666666666665,11467,0,0,1
syncthing/syncthing,9550,2,12,12,18.340833333333332,3564,0,0,1
syncthing/syncthing,9549,2,3,3,18.3425,2015,0,0,1
syncthing/syncthing,9548,2,15,15,18.343333333333334,2836,0,0,1
syncthing/syncthing,9547,2,15,15,18.344444444444445,3980,0,0,1
syncthing/syncthing,9546,2,3,3,18.346666666666668,2845,0,0,1
