repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
tailwindlabs/tailwindcss,14783,5,144,39,2.1858333333333335,990,0,4,2
tailwindlabs/tailwindcss,14781,5,53,7,1.0105555555555557,71,0,2,2
tailwindlabs/tailwindcss,14778,4,85,5,1.9244444444444444,1576,0,5,3
tailwindlabs/tailwindcss,14776,6,139,29,1.5141666666666667,622,0,6,3
tailwindlabs/tailwindcss,14775,3,81,0,2.075277777777778,734,0,1,2
tailwindlabs/tailwindcss,14774,4,75,34,3.2083333333333335,588,0,4,2
tailwindlabs/tailwindcss,14773,5,360,539,6.576944444444444,1143,0,3,2
tailwindlabs/tailwindcss,14771,3,37,27,12.0025,4955,0,1,2
tailwindlabs/tailwindcss,14769,16,1145,80,19.858888888888888,458,0,2,2
tailwindlabs/tailwindcss,14766,1,3,3,2.4047222222222224,247,0,1,2
tailwindlabs/tailwindcss,14765,1,88,94,2.0477777777777777,408,0,1,2
tailwindlabs/tailwindcss,14756,3,31,16,38.855,1616,0,1,2
tailwindlabs/tailwindcss,14755,6,154,17,5.150833333333333,1076,0,5,3
tailwindlabs/tailwindcss,14754,6,46,2,3.6911111111111112,126,0,3,3
tailwindlabs/tailwindcss,14752,2,6,4,1.6977777777777778,917,0,0,1
tailwindlabs/tailwindcss,14749,3,26,0,6.275833333333333,526,0,1,2
tailwindlabs/tailwindcss,14748,7,109,0,6.245,652,0,4,3
tailwindlabs/tailwindcss,14747,4,36,1,18.370277777777776,62,0,1,2
tailwindlabs/tailwindcss,14746,9,1871,11,20.0275,963,0,23,3
tailwindlabs/tailwindcss,14745,2,2,2,18.627777777777776,105,0,2,3
tailwindlabs/tailwindcss,14743,13,1115,195,71.21111111111111,8063,0,10,4
tailwindlabs/tailwindcss,14742,2,8,0,4.3244444444444445,222,0,2,2
tailwindlabs/tailwindcss,14741,14,261,252,4.053055555555556,445,0,1,2
tailwindlabs/tailwindcss,14739,8,205,9,25.6775,523,0,2,2
tailwindlabs/tailwindcss,14738,5,111,14,8.298333333333334,1167,0,6,2
tailwindlabs/tailwindcss,14737,5,116,4,28.828055555555554,832,0,7,3
tailwindlabs/tailwindcss,14736,4,120,4,33.25972222222222,489,0,8,3
tailwindlabs/tailwindcss,14733,1,8,0,20.048055555555557,564,0,0,1
tailwindlabs/tailwindcss,14728,3,12,12,12.965,1619,0,1,2
tailwindlabs/tailwindcss,14727,2,14,14,13.112777777777778,1613,0,1,2
tailwindlabs/tailwindcss,14725,3,20,3,16.359444444444446,313,0,2,2
tailwindlabs/tailwindcss,14724,3,10,1,17.345277777777778,684,0,3,2
