repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
tensorflow/models,11261,2,4,2,21.92361111111111,1600,0,1,2
tensorflow/models,11254,2,202,232,793.1972222222222,6449,0,0,1
tensorflow/models,11246,1,18,0,1595.5344444444445,1050,0,0,1
tensorflow/models,11244,1,2,2,1798.6358333333333,73,0,1,2
tensorflow/models,11236,1,2,0,73.24472222222222,116,0,1,2
tensorflow/models,11191,1,821,0,4058.6691666666666,918,0,2,3
tensorflow/models,11187,1,1,1,4847.275277777778,154,0,2,2
tensorflow/models,11182,1,6,6,815.6213888888889,859,0,1,2
tensorflow/models,11181,2,38,2,5080.4961111111115,1279,0,0,1
tensorflow/models,11178,11,14,13,5197.552222222223,136,0,2,2
tensorflow/models,11177,30,47,47,111.05555555555556,63,0,0,1
tensorflow/models,11176,2,52,4,5200.636111111111,1807,0,1,2
tensorflow/models,11174,1,51,0,9.663611111111111,794,0,4,2
tensorflow/models,11171,1,37,0,23.267777777777777,790,0,1,2
tensorflow/models,11170,1,11,0,21.98472222222222,791,0,2,3
tensorflow/models,11160,1,3,0,46.3275,1009,0,1,2
tensorflow/models,11156,0,0,0,4779.086388888889,1684,0,3,2
tensorflow/models,11152,1,25,20,76.955,1157,0,1,2
tensorflow/models,11149,1,1,1,95.06694444444445,17181,0,1,2
tensorflow/models,11148,1,1,1,95.065,4878,0,0,1
tensorflow/models,11145,23,3703,0,184.45055555555555,1702,0,1,2
tensorflow/models,11144,1,1,1,561.1219444444445,144,0,0,1
tensorflow/models,11137,2,3,3,74.46083333333333,1752,0,1,2
tensorflow/models,11126,3,4,4,344.1188888888889,1752,0,1,2
tensorflow/models,11123,2,4,4,1643.3872222222221,1752,0,0,1
tensorflow/models,11122,2,52,24,1689.4766666666667,1499,0,4,3
tensorflow/models,11120,2,3,3,1713.0644444444445,1752,0,0,1
tensorflow/models,11118,1,1,1,1833.6008333333334,1752,0,0,1
tensorflow/models,11115,1,20,20,215.79416666666665,886,0,1,2
tensorflow/models,11111,2,4,4,2196.106111111111,1835,0,0,1
tensorflow/models,11110,1,46,74,52.26638888888889,950,0,1,2
tensorflow/models,11107,4,4,4,2390.29,1843,0,1,2
tensorflow/models,11105,1,209,242,2890.744166666667,1068,0,0,1
tensorflow/models,11100,1,5,5,2653.282777777778,1790,0,1,2
tensorflow/models,11094,1,2,2,1563.6797222222222,1843,0,1,2
tensorflow/models,11080,1,0,2,2.2466666666666666,808,0,1,2
tensorflow/models,11070,1,2,5,874.8641666666666,30,0,1,2
tensorflow/models,11061,3,36,12,4.079444444444444,1480,0,1,2
tensorflow/models,11049,1,8,2,125.59222222222222,1167,0,0,1
tensorflow/models,11036,3,6,6,482.10027777777776,829,0,2,3
tensorflow/models,11032,1,33,33,64.85277777777777,808,0,0,1
tensorflow/models,11031,2,123,123,66.55805555555555,808,0,0,1
tensorflow/models,11030,2,35,4,70.90416666666667,1184,0,1,2
tensorflow/models,11029,2,13,13,3912.283611111111,809,0,1,2
tensorflow/models,11027,1,1,1,4057.099166666667,810,0,4,4
tensorflow/models,11023,1,26,1,112.47055555555555,1207,0,1,2
tensorflow/models,11013,1,9,9,6052.14,1752,0,2,3
tensorflow/models,11009,1,1,1,5425.903888888889,1715,0,1,2
tensorflow/models,11006,15,1402,5,267.3088888888889,1443,0,10,3
tensorflow/models,10982,7,750,0,1247.5877777777778,1443,0,4,3
tensorflow/models,10965,14,2627,0,964.8458333333333,1858,0,1,2
tensorflow/models,10956,1,1,1,33.74861111111111,63,0,1,2
tensorflow/models,10955,1,7,7,7713.766111111111,1815,0,3,2
tensorflow/models,10950,2,67,39,347.59194444444444,160,0,3,2
tensorflow/models,10942,2,15,15,6743.177222222223,804,0,1,2
tensorflow/models,10933,30,4161,0,8210.33888888889,1752,0,0,1
tensorflow/models,10932,1,11,11,118.80666666666667,1752,0,1,2
tensorflow/models,10928,1,5,5,8742.494444444445,1752,0,5,3
tensorflow/models,10924,1,8,8,517.6847222222223,1752,0,1,2
tensorflow/models,10922,1,11,11,3963.889722222222,804,0,2,3
tensorflow/models,10920,3,5,5,1973.7041666666667,804,0,2,2
tensorflow/models,10919,4,6,6,501.945,804,0,1,2
tensorflow/models,10916,1,5,5,505.0783333333333,1827,0,1,2
tensorflow/models,10914,1,11,11,23.538055555555555,1778,0,1,2
