repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
tensorflow/tensorflow,78703,2,16,23,1.2958333333333334,336,0,0,1
tensorflow/tensorflow,78702,4,25,16,2.1194444444444445,305,0,0,1
tensorflow/tensorflow,78700,2,38,15,2.006388888888889,204,0,0,1
tensorflow/tensorflow,78695,1,1,0,4.182222222222222,67,0,0,1
tensorflow/tensorflow,78693,3,8,2,3.81,23,0,0,1
tensorflow/tensorflow,78689,7,159,113,2.918888888888889,109,0,0,1
tensorflow/tensorflow,78685,1,0,5,5.768055555555556,500,0,0,1
tensorflow/tensorflow,78681,4,35,36,4.374444444444444,45,0,0,1
tensorflow/tensorflow,78679,4,20,0,1.4408333333333334,48,0,0,1
tensorflow/tensorflow,78675,7,178,165,1.2480555555555555,137,0,0,1
tensorflow/tensorflow,78674,3,75,12,2.5797222222222222,63,0,0,1
tensorflow/tensorflow,78672,3,3,5,1.9408333333333334,47,0,0,1
tensorflow/tensorflow,78669,3,26,6,2.868333333333333,51,0,0,1
tensorflow/tensorflow,78657,4,148,52,15.130833333333333,216,0,0,1
tensorflow/tensorflow,78656,4,45,11,12.522777777777778,84,0,0,1
tensorflow/tensorflow,78636,4,20,16,18.509444444444444,329,0,0,1
tensorflow/tensorflow,78634,4,160,52,14.538333333333334,783,0,0,1
tensorflow/tensorflow,78632,2,82,7,17.726666666666667,342,0,0,1
tensorflow/tensorflow,78627,1,19,0,18.233055555555556,47,0,0,1
tensorflow/tensorflow,78625,30,129,133,7.317777777777778,77,0,0,1
tensorflow/tensorflow,78620,7,230,148,2.7519444444444443,151,0,0,1
tensorflow/tensorflow,78619,2,26,4,13.426111111111112,1945,0,0,1
tensorflow/tensorflow,78618,3,76,77,21.738055555555555,239,0,0,1
tensorflow/tensorflow,78615,2,0,5,2.363888888888889,49,0,0,1
tensorflow/tensorflow,78612,5,8,49,2.7630555555555554,60,0,0,1
tensorflow/tensorflow,78611,5,42,20,1.3202777777777779,277,0,0,1
tensorflow/tensorflow,78609,8,225,225,2.34,191,0,0,1
tensorflow/tensorflow,78608,6,75,2,1.313611111111111,1179,0,0,1
tensorflow/tensorflow,78607,4,8,5,5.704444444444444,21,0,0,1
tensorflow/tensorflow,78606,3,120,46,27.211388888888887,395,0,0,1
tensorflow/tensorflow,78605,9,70,18,18.137777777777778,153,0,0,1
tensorflow/tensorflow,78602,6,157,16,4.503333333333333,151,0,0,1
tensorflow/tensorflow,78601,5,20,3,2.9130555555555557,44,0,0,1
tensorflow/tensorflow,78600,2,180,113,22.621111111111112,995,0,0,1
tensorflow/tensorflow,78599,0,0,0,29.72833333333333,50,0,0,1
tensorflow/tensorflow,78594,1,13,0,7.8052777777777775,67,0,0,1
tensorflow/tensorflow,78593,1,4,333,10.185,29,0,0,1
tensorflow/tensorflow,78590,6,3,28,1.0286111111111111,49,0,0,1
tensorflow/tensorflow,78585,24,98,1,4.292222222222223,22,0,0,1
tensorflow/tensorflow,78579,1,1,0,28.198333333333334,192,0,0,1
tensorflow/tensorflow,78567,0,0,0,11.086388888888889,133,0,0,1
tensorflow/tensorflow,78552,16,2260,7,42.28777777777778,55,0,0,1
tensorflow/tensorflow,78546,2,2,0,19.78388888888889,224,0,0,1
tensorflow/tensorflow,78544,2,72,0,1.2683333333333333,198,0,0,1
tensorflow/tensorflow,78542,9,1,37,20.333055555555557,56,0,0,1
tensorflow/tensorflow,78541,0,0,0,21.64361111111111,252,0,0,1
tensorflow/tensorflow,78540,30,61,59,18.941944444444445,102,0,0,1
tensorflow/tensorflow,78539,3,232,67,45.54194444444445,672,0,0,1
tensorflow/tensorflow,78537,8,12,13,47.12305555555555,103,0,0,1
tensorflow/tensorflow,78535,7,489,0,7.028888888888889,59,0,0,1
tensorflow/tensorflow,78533,30,467,321,4.801666666666667,135,0,0,1
tensorflow/tensorflow,78530,4,85,47,43.81666666666667,771,0,0,1
tensorflow/tensorflow,78528,2,13,7,2.2444444444444445,83,0,0,1
tensorflow/tensorflow,78523,1,7,5,32.165277777777774,365,0,0,1
tensorflow/tensorflow,78510,2,9,26,24.790277777777778,75,0,0,1
tensorflow/tensorflow,78509,6,28,3,3.2472222222222222,226,0,0,1
tensorflow/tensorflow,78501,3,4,0,21.145833333333332,22,0,0,1
tensorflow/tensorflow,78497,1,9,0,3.7508333333333335,775,0,0,1
tensorflow/tensorflow,78496,3,22,4,31.230555555555554,970,0,0,1
tensorflow/tensorflow,78488,3,20,1,2.503888888888889,518,0,0,1
tensorflow/tensorflow,78487,4,16,2,1.8519444444444444,495,0,0,1
tensorflow/tensorflow,78486,0,0,0,1.0916666666666666,186,0,0,1
tensorflow/tensorflow,78484,2,1,8,20.307777777777776,22,0,0,1
tensorflow/tensorflow,78483,8,48,42,1.9011111111111112,22,0,0,1
tensorflow/tensorflow,78482,7,192,70,3.3680555555555554,63,0,0,1
tensorflow/tensorflow,78480,1,12,9,46.51638888888889,529,0,0,1
tensorflow/tensorflow,78479,1,4,2,1.9933333333333334,432,0,0,1
tensorflow/tensorflow,78478,1,2,2,17.60638888888889,29,0,0,1
tensorflow/tensorflow,78476,10,517,8,15.783888888888889,84,0,0,1
tensorflow/tensorflow,78474,9,140,205,14.521944444444445,177,0,0,1
tensorflow/tensorflow,78473,5,16,16,8.815277777777778,151,0,0,1
tensorflow/tensorflow,78471,1,2,2,19.253611111111113,54,0,0,1
tensorflow/tensorflow,78470,2,24,2,17.566666666666666,75,0,0,1
tensorflow/tensorflow,78469,3,39,1,1.5919444444444444,48,0,0,1
tensorflow/tensorflow,78463,2,2,2,1.1555555555555554,441,0,1,2
tensorflow/tensorflow,78462,1,1,1,2.6772222222222224,77,0,0,1
tensorflow/tensorflow,78461,1,10,0,70.40638888888888,27,0,0,1
