repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
tesseract-ocr/tesseract,4330,3,18,77,14.691666666666666,241,0,2,2
tesseract-ocr/tesseract,4326,3,5,6,9.874444444444444,64,0,1,2
tesseract-ocr/tesseract,4325,1,73,70,11.6,87,0,0,1
tesseract-ocr/tesseract,4324,1,111,59,13.907222222222222,419,0,0,1
tesseract-ocr/tesseract,4319,1,1,1,25.544444444444444,531,0,1,2
tesseract-ocr/tesseract,4314,5,96,15,12.77138888888889,373,0,3,3
tesseract-ocr/tesseract,4312,4,18,10,679.1044444444444,261,0,5,2
tesseract-ocr/tesseract,4309,12,45,49,4.8597222222222225,129,0,1,2
tesseract-ocr/tesseract,4308,1,14,62,12.580555555555556,0,0,1,2
tesseract-ocr/tesseract,4307,3,8,39,1.498888888888889,0,0,1,2
tesseract-ocr/tesseract,4306,2,33,28,220.9111111111111,165,0,2,2
tesseract-ocr/tesseract,4305,1,1,0,4.3566666666666665,1000,0,0,1
tesseract-ocr/tesseract,4303,1,5,2,12.078333333333333,393,0,14,4
tesseract-ocr/tesseract,4301,1,2,2,14.979722222222222,76,0,1,2
tesseract-ocr/tesseract,4292,1,51,0,8.325555555555555,21,0,0,1
tesseract-ocr/tesseract,4283,1,5,3,311.9886111111111,250,0,1,2
tesseract-ocr/tesseract,4278,1,8,1,2.980277777777778,69,0,3,2
tesseract-ocr/tesseract,4272,2,9,11,9.091944444444444,174,0,2,3
tesseract-ocr/tesseract,4266,11,39,56,1.8788888888888888,0,0,1,2
tesseract-ocr/tesseract,4263,3,31,50,5.184444444444445,99,0,0,1
tesseract-ocr/tesseract,4261,0,0,0,6.8277777777777775,21,0,0,1
tesseract-ocr/tesseract,4260,1,51,0,7.290555555555556,0,0,0,1
tesseract-ocr/tesseract,4259,1,7,3,3.1533333333333333,0,0,1,2
tesseract-ocr/tesseract,4258,1,51,0,1.6375,0,0,0,1
tesseract-ocr/tesseract,4256,1,51,0,29.570833333333333,19,0,1,1
tesseract-ocr/tesseract,4253,1,1,3,2.6219444444444444,57,0,1,2
tesseract-ocr/tesseract,4250,10,33,55,5.161388888888889,0,0,3,2
tesseract-ocr/tesseract,4249,2,2,2,1.436388888888889,41,0,0,1
tesseract-ocr/tesseract,4248,1,5,7,7.447222222222222,10,0,5,3
tesseract-ocr/tesseract,4246,2,20,2,3.6505555555555556,0,0,3,3
tesseract-ocr/tesseract,4245,14,39,39,8.97638888888889,0,0,3,2
tesseract-ocr/tesseract,4244,1,5,14,2.051111111111111,278,0,0,1
tesseract-ocr/tesseract,4243,3,27,20,24.70722222222222,318,0,0,1
tesseract-ocr/tesseract,4241,1,0,1,110.89472222222223,0,0,0,1
tesseract-ocr/tesseract,4240,1,3,4,56.51888888888889,0,0,6,2
tesseract-ocr/tesseract,4236,1,7,5,1.2152777777777777,92,0,1,2
tesseract-ocr/tesseract,4229,1,2,2,12.418055555555556,0,0,2,3
tesseract-ocr/tesseract,4228,1,0,1,12.495833333333334,0,0,2,3
tesseract-ocr/tesseract,4227,3,3,3,12.547222222222222,0,0,3,3
tesseract-ocr/tesseract,4226,4,16,24,12.594444444444445,0,0,2,3
tesseract-ocr/tesseract,4225,9,26,34,19.9125,47,0,7,2
tesseract-ocr/tesseract,4223,1,26,1,139.34666666666666,723,0,9,3
tesseract-ocr/tesseract,4220,19,60,3900,176.85083333333333,0,0,1,2
tesseract-ocr/tesseract,4215,1,27,1,713.8716666666667,205,0,11,3
tesseract-ocr/tesseract,4214,13,1220,2,727.6372222222222,1052,0,25,2
tesseract-ocr/tesseract,4209,1,26,69,23.661944444444444,278,0,0,1
tesseract-ocr/tesseract,4208,1,9,5,23.68722222222222,254,0,0,1
tesseract-ocr/tesseract,4207,1,11,7,23.692777777777778,254,0,0,1
tesseract-ocr/tesseract,4206,1,6,1,1.6972222222222222,793,0,1,1
tesseract-ocr/tesseract,4204,12,19,19,1.956388888888889,0,0,1,2
tesseract-ocr/tesseract,4202,2,4,4,47.94861111111111,0,0,1,2
tesseract-ocr/tesseract,4191,16,17,17,39.10472222222222,0,0,1,2
tesseract-ocr/tesseract,4189,1,1,8,37.979166666666664,276,0,1,2
tesseract-ocr/tesseract,4188,1,1,1,6.479166666666667,20,0,0,1
tesseract-ocr/tesseract,4182,1,1,0,24.588333333333335,0,0,0,1
tesseract-ocr/tesseract,4178,1,1,1,1.9738888888888888,51,0,2,2
tesseract-ocr/tesseract,4174,7,20,26,61.172222222222224,0,0,0,1
tesseract-ocr/tesseract,4169,4,217,16,1508.0897222222222,1573,0,0,1
tesseract-ocr/tesseract,4156,1,12,0,22.790555555555557,56,0,0,1
tesseract-ocr/tesseract,4153,1,1,1,1.1072222222222223,0,0,0,1
tesseract-ocr/tesseract,4151,1,8,8,1.0655555555555556,48,0,1,2
tesseract-ocr/tesseract,4150,2,5,2,5.116388888888889,196,0,1,2
tesseract-ocr/tesseract,4141,1,3,2,4.602222222222222,208,0,3,2
tesseract-ocr/tesseract,4139,1,24,22,2.544722222222222,321,0,0,1
tesseract-ocr/tesseract,4138,1,26,16,6.993888888888889,321,0,7,2
tesseract-ocr/tesseract,4136,1,4,4,17.106944444444444,159,0,1,2
tesseract-ocr/tesseract,4133,1,1,1,3.0502777777777776,24,0,1,2
tesseract-ocr/tesseract,4132,1,26,0,137.0361111111111,188,0,0,1
tesseract-ocr/tesseract,4124,1,4,5,18.243055555555557,178,0,8,2
tesseract-ocr/tesseract,4115,1,0,0,3.2994444444444446,0,0,0,1
tesseract-ocr/tesseract,4114,1,9,13,5.9025,0,0,1,2
