repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
thedaviddias/Front-End-Checklist,663,9,119,52,2.086388888888889,101,0,0,1
thedaviddias/Front-End-Checklist,525,1,0,2,22.606666666666666,177,0,1,2
thedaviddias/Front-End-Checklist,524,1,1,3,453.2561111111111,697,0,0,1
thedaviddias/Front-End-Checklist,519,1,1,1,2884.8441666666668,26,0,0,1
thedaviddias/Front-End-Checklist,517,1,0,2,1453.7766666666666,26,0,0,1
thedaviddias/Front-End-Checklist,516,1,2207,2,1523.2577777777778,156,0,0,1
thedaviddias/Front-End-Checklist,515,1,1,0,2801.7516666666666,1131,0,0,1
thedaviddias/Front-End-Checklist,512,2,7,7,2801.3297222222222,697,0,1,2
thedaviddias/Front-End-Checklist,510,1,7,3,1910.1727777777778,1179,0,1,2
thedaviddias/Front-End-Checklist,505,1,2,0,10979.259722222223,570,0,2,3
thedaviddias/Front-End-Checklist,497,3,3,3,2069.0866666666666,697,0,0,1
thedaviddias/Front-End-Checklist,496,3,32,4,1584.0666666666666,697,0,0,1
thedaviddias/Front-End-Checklist,493,1,1,1,4196.845833333334,1044,0,1,2
thedaviddias/Front-End-Checklist,484,2,7,7,4951.426666666666,852,0,1,2
thedaviddias/Front-End-Checklist,483,1,1,1,1.8402777777777777,732,0,1,2
thedaviddias/Front-End-Checklist,482,1,1,1,333.23583333333335,697,0,1,2
thedaviddias/Front-End-Checklist,481,1,352,301,678.1769444444444,0,0,0,1
thedaviddias/Front-End-Checklist,474,1,2,2,2034.2936111111112,18,0,0,1
thedaviddias/Front-End-Checklist,473,1,1,0,2078.909722222222,697,0,0,1
thedaviddias/Front-End-Checklist,472,1,1,1,1896.595,734,0,0,1
thedaviddias/Front-End-Checklist,471,1,1,1,1901.4322222222222,767,0,0,1
thedaviddias/Front-End-Checklist,470,1,5,1,1788.9333333333334,869,0,0,1
thedaviddias/Front-End-Checklist,467,1,31,15,1845.8013888888888,855,0,0,1
thedaviddias/Front-End-Checklist,463,1,12,12,1828.6808333333333,823,0,0,1
thedaviddias/Front-End-Checklist,462,1,1,1,14.852777777777778,119,0,0,1
thedaviddias/Front-End-Checklist,459,1,1,1,7377.383333333333,67,0,2,3
thedaviddias/Front-End-Checklist,458,1,1,1,396.4841666666667,903,0,0,1
thedaviddias/Front-End-Checklist,454,1,1,1,618.8372222222222,850,0,0,1
thedaviddias/Front-End-Checklist,453,1,0,12,5.838333333333333,403,0,0,1
thedaviddias/Front-End-Checklist,452,1,1,0,11.073055555555555,135,0,0,1
thedaviddias/Front-End-Checklist,451,1,229,209,32.284444444444446,780,0,0,1
thedaviddias/Front-End-Checklist,443,1,1,1,849.6816666666666,263,0,3,4
thedaviddias/Front-End-Checklist,440,2,8,1,10.09,697,0,0,1
thedaviddias/Front-End-Checklist,437,1,1,1,647.0297222222222,297,0,0,1
thedaviddias/Front-End-Checklist,435,1,1,1,2045.2644444444445,697,0,1,2
thedaviddias/Front-End-Checklist,430,1,0,1,1221.901388888889,1150,0,1,2
thedaviddias/Front-End-Checklist,429,1,4,0,1495.2091666666668,697,0,0,1
thedaviddias/Front-End-Checklist,428,1,1,0,1676.1277777777777,697,0,0,1
thedaviddias/Front-End-Checklist,426,1,2,2,15.776111111111112,697,0,0,1
thedaviddias/Front-End-Checklist,425,1,1,1,2355.483888888889,697,0,1,2
thedaviddias/Front-End-Checklist,421,1,13,13,15.149722222222222,854,0,1,2
thedaviddias/Front-End-Checklist,420,1,7,0,84.86,848,0,1,2
thedaviddias/Front-End-Checklist,419,1,2,2,344.49666666666667,687,0,1,2
thedaviddias/Front-End-Checklist,418,1,1,0,921.1458333333334,295,0,0,1
thedaviddias/Front-End-Checklist,416,1,1,1,1407.7969444444445,354,0,1,2
thedaviddias/Front-End-Checklist,415,1,435,809,3775.32,911,0,1,2
thedaviddias/Front-End-Checklist,413,1,1,1,26.935277777777777,927,0,0,1
thedaviddias/Front-End-Checklist,412,1,1,0,2167.301111111111,793,0,1,2
thedaviddias/Front-End-Checklist,410,3,15,0,1795.1416666666667,980,0,0,1
thedaviddias/Front-End-Checklist,409,1,1,0,1778.8097222222223,293,0,0,1
thedaviddias/Front-End-Checklist,408,1,1,1,1777.6075,727,0,0,1
thedaviddias/Front-End-Checklist,397,1,235,104,19.031388888888888,7687,0,0,1
thedaviddias/Front-End-Checklist,396,1,6,6,54.594166666666666,697,0,0,1
thedaviddias/Front-End-Checklist,395,1,1,1,173.7552777777778,1210,0,0,1
thedaviddias/Front-End-Checklist,394,1,9,0,365.3222222222222,356,0,0,1
thedaviddias/Front-End-Checklist,392,2,8,2,703.9955555555556,186,0,1,2
thedaviddias/Front-End-Checklist,380,1,1,1,31.464166666666667,10,0,0,1
thedaviddias/Front-End-Checklist,378,1,8,8,72.25805555555556,685,0,0,1
thedaviddias/Front-End-Checklist,345,3,5,6,274.5863888888889,798,0,1,2
thedaviddias/Front-End-Checklist,343,2,16,0,257.9011111111111,648,0,1,2
thedaviddias/Front-End-Checklist,341,2,1,1,4151.862777777777,108,0,0,1
thedaviddias/Front-End-Checklist,340,6,13,4,525.0125,729,0,0,1
thedaviddias/Front-End-Checklist,338,1,2,0,3150.0875,697,0,0,1
thedaviddias/Front-End-Checklist,337,1,61,62,2297.433611111111,697,0,0,1
thedaviddias/Front-End-Checklist,336,1,1,0,2307.592222222222,743,0,0,1
thedaviddias/Front-End-Checklist,334,1,1,1,2624.7883333333334,775,0,1,2
thedaviddias/Front-End-Checklist,332,2,171,40,5120.636666666666,836,0,0,1
thedaviddias/Front-End-Checklist,328,1,6,0,187.06805555555556,448,0,1,2
thedaviddias/Front-End-Checklist,325,1,1,1,549.0094444444444,769,0,1,2
thedaviddias/Front-End-Checklist,322,1,1,0,171.92138888888888,1251,0,0,1
thedaviddias/Front-End-Checklist,321,1,1,1,262.66583333333335,915,0,1,2
thedaviddias/Front-End-Checklist,316,2,25,11,27.850277777777777,857,0,0,1
thedaviddias/Front-End-Checklist,315,2,73,65,223.685,804,0,0,1
thedaviddias/Front-End-Checklist,314,2,26,12,299.36333333333334,4862,0,0,1
thedaviddias/Front-End-Checklist,313,2,132,62,309.28583333333336,802,0,0,1
thedaviddias/Front-End-Checklist,311,2,26,12,44.531666666666666,4406,0,0,1
thedaviddias/Front-End-Checklist,310,2,132,62,56.865,802,0,1,2
thedaviddias/Front-End-Checklist,309,1,0,1,52.465555555555554,767,0,0,1
thedaviddias/Front-End-Checklist,307,1,1,0,29.711666666666666,561,0,0,1
thedaviddias/Front-End-Checklist,306,2,25,11,831.8025,817,0,0,1
thedaviddias/Front-End-Checklist,305,2,93,13,150.3238888888889,4003,0,0,1
thedaviddias/Front-End-Checklist,304,2,35,19,324.0102777777778,857,0,0,1
thedaviddias/Front-End-Checklist,303,1,67,64,670.5997222222222,571,0,1,2
thedaviddias/Front-End-Checklist,301,2,1482,611,747.2175,5236,0,0,1
thedaviddias/Front-End-Checklist,300,1,1,1,991.6255555555556,830,0,1,2
thedaviddias/Front-End-Checklist,299,2,47,21,1402.4888888888888,802,0,0,1
thedaviddias/Front-End-Checklist,297,2,3460,1693,1573.1352777777777,838,0,0,1
thedaviddias/Front-End-Checklist,296,2,25,11,1808.8808333333334,2793,0,0,1
thedaviddias/Front-End-Checklist,295,2,25,11,2133.976388888889,1809,0,0,1
thedaviddias/Front-End-Checklist,294,3,9157,12936,36.666111111111114,496,0,0,1
thedaviddias/Front-End-Checklist,293,4,32,2,13461.249444444444,711,0,2,3
thedaviddias/Front-End-Checklist,292,2,34,15,2423.3752777777777,817,0,0,1
thedaviddias/Front-End-Checklist,291,2,47,26,1800.7080555555556,857,0,0,1
thedaviddias/Front-End-Checklist,290,2,53,34,1843.643611111111,4163,0,0,1
thedaviddias/Front-End-Checklist,289,2,905,432,260.68333333333334,2386,0,0,1
thedaviddias/Front-End-Checklist,287,1,1,1,12.479444444444445,2650,0,0,1
thedaviddias/Front-End-Checklist,285,1,1,1,2424.134722222222,5851,0,0,1
thedaviddias/Front-End-Checklist,282,1,1,1,71.3775,5072,0,0,1
thedaviddias/Front-End-Checklist,281,1,1,1,8.445,4690,0,0,1
