repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
tonsky/FiraCode,1616,1,3,3,91.87583333333333,0,0,0,1
tonsky/FiraCode,1614,2,28,0,119.7063888888889,46,0,0,1
tonsky/FiraCode,1613,1,6,7,119.63722222222222,76,0,0,1
tonsky/FiraCode,1608,1,5,0,2.2744444444444443,388,0,0,1
tonsky/FiraCode,1568,2,259,0,8.74611111111111,21,0,0,1
tonsky/FiraCode,1566,1,1321,112,2268.9119444444445,1362,0,0,1
tonsky/FiraCode,1537,3,293,2,2.0644444444444443,36,0,0,1
tonsky/FiraCode,1533,1,21,18,64.00027777777778,134,0,0,1
tonsky/FiraCode,1529,1,2,1,1.5158333333333334,71,0,0,1
tonsky/FiraCode,1525,1,3,0,15.727222222222222,0,0,0,1
tonsky/FiraCode,1514,1,1,1,2.9563888888888887,202,0,0,1
tonsky/FiraCode,1512,4,0,0,6.993055555555555,44,0,0,1
tonsky/FiraCode,1503,1,1,1,87.60083333333333,19,0,0,1
tonsky/FiraCode,1501,2,5,2,11.023055555555555,0,0,0,1
tonsky/FiraCode,1481,2,16,15,11.221388888888889,1054,0,0,1
tonsky/FiraCode,1480,1,14,6,25.110833333333332,583,0,0,1
tonsky/FiraCode,1471,4,7,10,11.534722222222221,310,0,0,1
tonsky/FiraCode,1452,1,64,17,11.4225,104,0,0,1
tonsky/FiraCode,1451,2,81,0,8.630555555555556,113,0,0,1
tonsky/FiraCode,1442,1,1,3,48.12027777777778,620,0,0,1
tonsky/FiraCode,1440,1,1,1,28.16611111111111,65,0,0,1
tonsky/FiraCode,1438,1,7,6,51.82222222222222,156,0,2,2
tonsky/FiraCode,1429,1,1,0,15.652222222222223,123,0,0,1
tonsky/FiraCode,1400,1,43,43,4.276111111111111,36,0,0,1
tonsky/FiraCode,1387,30,401,69,89.98444444444445,4048,0,2,2
tonsky/FiraCode,1385,2,24,24,41.649166666666666,130,0,0,1
tonsky/FiraCode,1366,14,56,56,18.010833333333334,737,0,1,1
tonsky/FiraCode,1364,1,1,0,12.749444444444444,0,0,0,1
tonsky/FiraCode,1360,3,1,0,67.01944444444445,103,0,0,1
tonsky/FiraCode,1359,12,240,1,5.658611111111111,315,0,0,1
tonsky/FiraCode,1353,1,1,1,34.04666666666667,85,0,0,1
tonsky/FiraCode,1341,1,2,0,6.227222222222222,8,0,0,1
tonsky/FiraCode,1340,1,237,0,6.191666666666666,6,0,0,1
tonsky/FiraCode,1327,1,2,1,1.4783333333333333,361,0,0,1
tonsky/FiraCode,1310,3,23,13,11.25611111111111,280,0,0,1
tonsky/FiraCode,1260,1,1,1,5.209444444444444,34,0,0,1
tonsky/FiraCode,1253,1,8,8,3.8330555555555557,363,0,0,1
tonsky/FiraCode,1238,1,1,1,2.8761111111111113,68,0,0,1
tonsky/FiraCode,1237,1,1,1,6.585833333333333,13,0,0,1
tonsky/FiraCode,1221,1,2,0,12.899166666666666,66,0,0,1
tonsky/FiraCode,1202,3,10,22,72.13583333333334,655,0,0,1
tonsky/FiraCode,1200,2,38,0,20.645,402,0,0,1
tonsky/FiraCode,1185,1,2,11,3.831111111111111,0,0,0,1
tonsky/FiraCode,1164,1,38,13,8.343055555555555,259,0,0,1
tonsky/FiraCode,1148,1,1,0,5.578611111111111,147,0,0,1
tonsky/FiraCode,1133,1,5,5,5964.476944444445,33,0,3,2
tonsky/FiraCode,1104,1,0,0,17.887777777777778,0,0,0,1
tonsky/FiraCode,1099,1,6,6,5.0125,25,0,0,1
tonsky/FiraCode,1078,1,1,1,8.529444444444444,133,0,0,1
tonsky/FiraCode,1034,1,7,7,2.0905555555555555,93,0,0,1
tonsky/FiraCode,1030,1,1,0,1.478888888888889,91,0,0,1
tonsky/FiraCode,1005,1,1,0,2.5880555555555556,0,0,0,1
tonsky/FiraCode,998,1,2,2,4.634444444444444,69,0,0,1
tonsky/FiraCode,978,1,2,2,1.596111111111111,0,0,0,1
tonsky/FiraCode,969,1,2,1,224.35722222222222,0,0,0,1
tonsky/FiraCode,964,30,0,0,5.446666666666666,33,0,0,1
tonsky/FiraCode,943,1,1,1,46.23138888888889,36,0,0,1
tonsky/FiraCode,890,1,1,1,2.819722222222222,85,0,0,1
tonsky/FiraCode,878,1,2,2,883.9719444444445,42,0,1,2
tonsky/FiraCode,876,1,2,2,15.274166666666666,211,0,0,1
tonsky/FiraCode,873,0,0,0,4916.525277777778,66,0,0,1
tonsky/FiraCode,866,1,5,1,2.6397222222222223,179,0,0,1
tonsky/FiraCode,865,1,1,1,2.779166666666667,219,0,0,1
tonsky/FiraCode,855,1,2,1,23.477222222222224,121,0,0,1
tonsky/FiraCode,789,1,2,2,2348.211111111111,293,0,0,1
tonsky/FiraCode,773,1,1,0,2.3733333333333335,241,0,0,1
tonsky/FiraCode,756,1,2,1,8.333055555555555,384,0,0,1
tonsky/FiraCode,753,1,10,9,17.27,158,0,0,1
tonsky/FiraCode,752,2,5,4,169.2111111111111,498,0,0,1
tonsky/FiraCode,750,1,10,9,6.5680555555555555,704,0,0,1
tonsky/FiraCode,743,1,10,9,17973.66888888889,187,0,0,1
tonsky/FiraCode,742,30,99,267,17.398055555555555,287,0,1,2
tonsky/FiraCode,740,30,580,176,2.761388888888889,201,0,0,1
tonsky/FiraCode,737,30,665,1246,42.8525,1071,0,0,1
tonsky/FiraCode,735,0,0,0,95.48805555555556,2325,0,0,1
tonsky/FiraCode,731,2,11,10,13.958333333333334,52,0,0,1
tonsky/FiraCode,724,1,6,0,1.1483333333333334,125,0,0,1
tonsky/FiraCode,716,1,1,1,5945.42,220,0,1,2
tonsky/FiraCode,715,23,21885,22991,4846.975,246,0,0,1
tonsky/FiraCode,692,1,123,0,83.54055555555556,0,0,0,1
tonsky/FiraCode,686,1,1,0,45.23444444444444,174,0,0,1
tonsky/FiraCode,678,1,1,1,17.175555555555555,0,0,0,1
tonsky/FiraCode,671,1,2,2,50.48916666666667,298,0,0,1
tonsky/FiraCode,657,1,2,1,8.504166666666666,62,0,0,1
tonsky/FiraCode,570,1,1,0,12.750555555555556,0,0,0,1
tonsky/FiraCode,551,1,1,1,14.782777777777778,58,0,0,1
tonsky/FiraCode,528,1,1,0,8.084444444444445,0,0,0,1
tonsky/FiraCode,518,1,19,13,94.22111111111111,60,0,1,2
tonsky/FiraCode,504,1,4,3,1.2033333333333334,453,0,0,1
tonsky/FiraCode,503,1,2,1,4.043888888888889,61,0,0,1
tonsky/FiraCode,502,1,2,1,6.494166666666667,110,0,0,1
tonsky/FiraCode,497,1,2,2,16.124444444444446,165,0,1,2
tonsky/FiraCode,491,1,10,0,114.35527777777777,0,0,0,1
tonsky/FiraCode,489,1,7,7,1.1347222222222222,69,0,0,1
tonsky/FiraCode,469,1,9,8,167.8111111111111,0,0,0,1
tonsky/FiraCode,461,2,4,1,364.2005555555556,0,0,0,1
tonsky/FiraCode,457,1,1,1,389.2686111111111,93,0,0,1
tonsky/FiraCode,447,5,4542,2036,76.87416666666667,411,0,0,1
tonsky/FiraCode,423,1,2,2,1942.2191666666668,71,0,0,1
tonsky/FiraCode,421,1,1,0,1967.631388888889,0,0,0,1
