repo,pr_number,duration_hours,description_length,num_comments,num_participants
torvalds/linux,1000,4.521388888888889,0,0,1
torvalds/linux,999,0.5802777777777778,202,0,1
torvalds/linux,992,0.09527777777777778,77,0,1
torvalds/linux,987,20.945833333333333,356,0,1
torvalds/linux,985,0.0019444444444444444,0,0,1
torvalds/linux,983,0.01611111111111111,0,0,1
torvalds/linux,981,0.006111111111111111,0,0,1
torvalds/linux,977,0.012777777777777779,368,0,1
torvalds/linux,976,0.03916666666666667,368,0,1
torvalds/linux,974,262.76166666666666,0,0,1
torvalds/linux,973,2.6108333333333333,13,0,1
torvalds/linux,970,0.007222222222222222,0,0,1
torvalds/linux,961,0.0022222222222222222,0,0,1
torvalds/linux,956,2.6044444444444443,218,0,1
torvalds/linux,954,49.155833333333334,0,0,1
torvalds/linux,952,0.0030555555555555557,0,0,1
torvalds/linux,950,0.2777777777777778,75,0,1
torvalds/linux,949,0.0030555555555555557,46,0,1
torvalds/linux,946,0.001388888888888889,0,0,1
torvalds/linux,945,471.1986111111111,0,0,1
torvalds/linux,937,3.8608333333333333,623,0,1
torvalds/linux,936,0.008333333333333333,0,0,1
torvalds/linux,935,0.022222222222222223,21,0,1
torvalds/linux,933,280.6741666666667,0,0,1
torvalds/linux,931,0.009444444444444445,0,0,1
torvalds/linux,930,0.0275,328,0,1
torvalds/linux,929,1313.5033333333333,369,0,1
torvalds/linux,928,740.2838888888889,428,0,1
torvalds/linux,926,0.135,387,0,1
torvalds/linux,925,0.4575,359,0,1
torvalds/linux,924,0.3263888888888889,0,0,1
torvalds/linux,922,8.577222222222222,99,0,1
torvalds/linux,921,0.006111111111111111,168,0,1
torvalds/linux,919,1032.2983333333334,311,0,1
torvalds/linux,918,930.6522222222222,117,0,1
torvalds/linux,912,0.1947222222222222,66,0,1
torvalds/linux,910,0.010555555555555556,65,0,1
torvalds/linux,907,0.013055555555555556,0,0,1
torvalds/linux,906,1.198888888888889,340,0,1
torvalds/linux,903,112.52805555555555,15,0,1
torvalds/linux,901,1.9177777777777778,0,0,1
torvalds/linux,897,148.30972222222223,0,0,1
torvalds/linux,895,246.33138888888888,39,0,1
torvalds/linux,893,50.33888888888889,0,0,1
torvalds/linux,891,1.0530555555555556,179,0,1
torvalds/linux,890,1468.2225,861,0,1
torvalds/linux,889,0.02861111111111111,137,0,1
torvalds/linux,888,2.7444444444444445,0,0,1
torvalds/linux,887,8.312777777777777,0,0,1
torvalds/linux,883,2848.7575,0,0,1
torvalds/linux,882,2848.764722222222,0,0,1
torvalds/linux,881,2849.3641666666667,0,0,1
torvalds/linux,880,0.006944444444444444,0,0,1
torvalds/linux,879,10.160833333333333,0,0,1
torvalds/linux,875,355.2294444444444,0,0,1
torvalds/linux,874,345.76972222222224,498,0,1
torvalds/linux,866,524.9661111111111,109,0,1
torvalds/linux,865,0.002777777777777778,0,0,1
torvalds/linux,864,168.1161111111111,156,0,1
torvalds/linux,859,0.09194444444444444,5,0,1
torvalds/linux,856,3.878888888888889,230,0,1
torvalds/linux,854,55.00055555555556,43,0,1
torvalds/linux,851,109.86,0,0,1
torvalds/linux,848,228.29194444444445,0,0,1
torvalds/linux,834,22.49,367,0,1
torvalds/linux,832,5.706111111111111,0,0,1
torvalds/linux,831,150.7563888888889,55,0,1
torvalds/linux,829,142.86277777777778,46,0,1
torvalds/linux,828,120.44333333333333,37,0,1
torvalds/linux,827,14.095277777777778,37,0,1
torvalds/linux,826,0.07583333333333334,24,0,1
torvalds/linux,821,0.25722222222222224,0,0,1
torvalds/linux,817,19.59111111111111,0,0,1
torvalds/linux,816,0.14527777777777778,120,0,1
torvalds/linux,815,3308.2405555555556,0,0,1
torvalds/linux,813,33.29388888888889,117,0,1
torvalds/linux,811,0.001388888888888889,0,0,1
torvalds/linux,809,0.04555555555555556,0,0,1
torvalds/linux,807,6139.0663888888885,9434,0,1
torvalds/linux,806,285.7658333333333,6437,0,1
torvalds/linux,804,0.011944444444444445,0,0,1
torvalds/linux,799,0.036944444444444446,64,0,1
torvalds/linux,796,48.18888888888889,174,0,1
torvalds/linux,795,28732.884444444444,0,0,1
torvalds/linux,782,9.686666666666667,0,0,1
torvalds/linux,780,18101.985277777778,71,0,1
torvalds/linux,778,0.004722222222222222,30,0,1
torvalds/linux,776,644.5316666666666,26,0,1
torvalds/linux,775,0.3463888888888889,485,0,1
torvalds/linux,772,8.000277777777777,279,0,1
torvalds/linux,770,278.02944444444444,1328,0,1
torvalds/linux,769,19218.54472222222,121,0,1
torvalds/linux,768,0.009722222222222222,4,0,1
torvalds/linux,764,17742.164444444443,63,0,1
torvalds/linux,756,2971.3297222222222,45,0,1
torvalds/linux,755,4549.849166666667,699,0,1
torvalds/linux,752,0.0030555555555555557,0,0,1
torvalds/linux,751,0.011666666666666667,0,0,1
torvalds/linux,750,0.012222222222222223,13,0,1
torvalds/linux,749,0.012222222222222223,0,0,1
