repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
trekhleb/javascript-algorithms,1200,1,1,1,202.27722222222224,14,0,1,2
trekhleb/javascript-algorithms,1147,3,1050,0,50.84166666666667,0,0,1,2
trekhleb/javascript-algorithms,1141,1,2,0,759.4780555555556,651,0,1,2
trekhleb/javascript-algorithms,1140,2,1,353,860.0588888888889,0,0,1,1
trekhleb/javascript-algorithms,1139,4,4,4,1041.1522222222222,14,0,1,2
trekhleb/javascript-algorithms,1137,1,94,0,95.26638888888888,1970,0,1,2
trekhleb/javascript-algorithms,1128,2,14,13,2066.764166666667,214,0,1,2
trekhleb/javascript-algorithms,1121,1,1,0,2602.572777777778,0,0,0,1
trekhleb/javascript-algorithms,1116,1,1,1,130.59277777777777,8,0,0,1
trekhleb/javascript-algorithms,1113,1,1,1,11.879722222222222,0,0,0,1
trekhleb/javascript-algorithms,1112,1,1,0,11.969444444444445,0,0,0,1
trekhleb/javascript-algorithms,1111,1,1,1,12.101111111111111,5,0,0,1
trekhleb/javascript-algorithms,1110,1,1,0,12.114166666666666,5,0,0,1
trekhleb/javascript-algorithms,1109,1,1,0,12.118611111111111,5,0,0,1
trekhleb/javascript-algorithms,1105,1,1,0,146.4713888888889,581,0,0,1
trekhleb/javascript-algorithms,1104,1,4,2,601.7744444444445,25,0,0,1
trekhleb/javascript-algorithms,1101,1,0,1,1359.2447222222222,57,0,0,1
trekhleb/javascript-algorithms,1100,1,4,0,1359.4508333333333,65,0,1,2
trekhleb/javascript-algorithms,1097,1,1,0,1397.5922222222223,20,0,1,2
trekhleb/javascript-algorithms,1093,1,1,1,2138.6319444444443,0,0,0,1
trekhleb/javascript-algorithms,1088,3,204,0,2588.1447222222223,0,0,0,1
trekhleb/javascript-algorithms,1086,0,0,0,2655.7561111111113,0,0,0,1
trekhleb/javascript-algorithms,1082,17,390,16,5979.605,91,0,0,1
trekhleb/javascript-algorithms,1079,1,1,1,3764.8191666666667,87,0,0,1
trekhleb/javascript-algorithms,1078,1,11,0,232.50666666666666,0,0,0,1
trekhleb/javascript-algorithms,1071,2,21,1,4444.018055555555,33,0,0,1
trekhleb/javascript-algorithms,1066,1,0,1,4618.8,16,0,1,2
trekhleb/javascript-algorithms,1065,1,1,1,3577.933611111111,122,0,8,2
trekhleb/javascript-algorithms,1020,2,15,0,13204.004166666668,665,0,0,1
trekhleb/javascript-algorithms,1019,1,0,1,1413.5125,33,0,0,1
trekhleb/javascript-algorithms,1018,2,5,4,334.1088888888889,12,0,0,1
trekhleb/javascript-algorithms,1017,18,370,17,1006.0747222222222,0,0,0,1
trekhleb/javascript-algorithms,1011,4,12,0,2524.0177777777776,175,0,2,2
trekhleb/javascript-algorithms,1010,1,4,0,8207.626944444444,246,0,0,1
trekhleb/javascript-algorithms,1009,0,0,0,532.8,102,0,1,2
trekhleb/javascript-algorithms,1006,3,35,2,55.83222222222222,64,0,0,1
trekhleb/javascript-algorithms,1003,2,33,0,1080.3575,248,0,0,1
trekhleb/javascript-algorithms,993,1,2,2,12610.959722222222,23,0,0,1
trekhleb/javascript-algorithms,991,1,2,2,12685.557222222222,18,0,0,1
trekhleb/javascript-algorithms,988,13,12416,2369,47.466388888888886,14,0,0,1
trekhleb/javascript-algorithms,987,2,60,6,12798.961666666666,116,0,0,1
trekhleb/javascript-algorithms,984,1,21,19,353.39972222222224,0,0,0,1
trekhleb/javascript-algorithms,983,2,47,0,9278.700833333334,0,0,0,1
trekhleb/javascript-algorithms,977,1,2,2,6312.421944444444,64,0,0,1
trekhleb/javascript-algorithms,976,1,7,10,557.0072222222223,6420,0,0,1
trekhleb/javascript-algorithms,965,14,313,14,33.715555555555554,100,0,0,1
trekhleb/javascript-algorithms,959,1,1,1,14550.015555555556,36,0,0,1
trekhleb/javascript-algorithms,957,6,217,30,65.90055555555556,67,0,0,1
trekhleb/javascript-algorithms,953,1,1,1,323.87444444444446,10,0,0,1
trekhleb/javascript-algorithms,952,1,1,1,14998.340555555556,195,0,0,1
trekhleb/javascript-algorithms,951,4,26,3,330.0441666666667,53,0,0,1
trekhleb/javascript-algorithms,948,2,35,5,14.88861111111111,62,0,0,1
trekhleb/javascript-algorithms,947,2,33,1,41.893055555555556,213,0,0,1
trekhleb/javascript-algorithms,943,30,555,133,243.47305555555556,0,0,0,1
trekhleb/javascript-algorithms,936,5,186,17,2.731388888888889,272,0,0,1
trekhleb/javascript-algorithms,934,17,491,23,29.975833333333334,0,0,0,1
trekhleb/javascript-algorithms,932,2,48,0,1250.6508333333334,0,0,0,1
trekhleb/javascript-algorithms,930,1,50,0,1058.8641666666667,0,0,1,2
trekhleb/javascript-algorithms,927,3,367,3,2431.27,30,0,0,1
trekhleb/javascript-algorithms,919,3,36,1,527.4433333333334,78,0,2,2
trekhleb/javascript-algorithms,914,1,3,3,1422.7266666666667,60,0,0,1
trekhleb/javascript-algorithms,909,1,91,91,1635.9497222222221,95,0,0,1
trekhleb/javascript-algorithms,908,1,1,1,288.4488888888889,137,0,0,1
trekhleb/javascript-algorithms,906,1,9,0,23.9825,0,0,0,1
trekhleb/javascript-algorithms,904,0,0,0,18048.004166666666,119,0,0,1
trekhleb/javascript-algorithms,901,1,2,2,15903.949166666667,94,0,1,2
trekhleb/javascript-algorithms,899,2,23,0,4785.3425,40,0,0,1
trekhleb/javascript-algorithms,896,2,267,1,3457.181666666667,0,0,0,1
trekhleb/javascript-algorithms,893,3,37,8,18566.555,0,0,0,1
trekhleb/javascript-algorithms,888,1,1,1,2517.662222222222,0,0,3,4
trekhleb/javascript-algorithms,885,5,35,39,14718.894166666667,179,0,0,1
trekhleb/javascript-algorithms,882,1,1,1,3074.721666666667,0,0,0,1
trekhleb/javascript-algorithms,878,1,3,3,2604.340277777778,3365,0,0,1
trekhleb/javascript-algorithms,876,1,77,77,50.88111111111111,49,0,0,1
trekhleb/javascript-algorithms,875,6,20,20,16.749166666666667,495,0,0,1
trekhleb/javascript-algorithms,874,1,2,2,5266.926388888889,33,0,0,1
trekhleb/javascript-algorithms,869,4,104,0,22430.132222222222,0,0,0,1
trekhleb/javascript-algorithms,862,16,2660,2638,373.24111111111114,784,0,0,1
trekhleb/javascript-algorithms,860,1,1,1,44.41694444444445,360,0,0,1
trekhleb/javascript-algorithms,850,1,6,6,21334.366388888888,116,0,0,1
trekhleb/javascript-algorithms,847,3,198,0,4581.739166666666,31,0,0,1
trekhleb/javascript-algorithms,843,2,25,0,63.742777777777775,61,0,0,1
trekhleb/javascript-algorithms,842,2,31,0,64.57222222222222,0,0,0,1
trekhleb/javascript-algorithms,836,1,1,1,66.68555555555555,16,0,0,1
trekhleb/javascript-algorithms,833,2,20,1,155.6586111111111,63,0,0,1
trekhleb/javascript-algorithms,829,1,5,5,488.61944444444447,56,0,0,1
trekhleb/javascript-algorithms,828,1,3,3,522.9711111111111,68,0,0,1
trekhleb/javascript-algorithms,820,1,1,1,576.0788888888889,63,0,0,1
trekhleb/javascript-algorithms,817,1,2,1,712.7413888888889,294,0,0,1
trekhleb/javascript-algorithms,816,1,21,18,905.9344444444445,123,0,0,1
trekhleb/javascript-algorithms,815,4,42,0,955.2580555555555,62,0,0,1
trekhleb/javascript-algorithms,810,2,49,0,1046.7736111111112,0,0,0,1
trekhleb/javascript-algorithms,809,1,2,2,1100.0302777777779,0,0,0,1
trekhleb/javascript-algorithms,808,1,2,2,1122.4341666666667,36,0,0,1
trekhleb/javascript-algorithms,807,1,1,1,1157.6958333333334,29,0,0,1
trekhleb/javascript-algorithms,806,4,57,0,1201.0616666666667,211,0,0,1
trekhleb/javascript-algorithms,805,1,4,4,1179.7219444444445,215,0,0,1
trekhleb/javascript-algorithms,804,1,4,4,1273.5030555555556,14,0,0,1
trekhleb/javascript-algorithms,797,2,26,1,1975.2788888888888,149,0,0,1
