repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
trimstray/the-book-of-secret-knowledge,444,1,1,0,449.71972222222223,937,0,3,4
trimstray/the-book-of-secret-knowledge,443,1,1,1,192.69861111111112,119,0,3,2
trimstray/the-book-of-secret-knowledge,440,1,0,2,4.315833333333333,0,0,1,2
trimstray/the-book-of-secret-knowledge,433,1,21,0,111.76138888888889,2,0,4,2
trimstray/the-book-of-secret-knowledge,432,1,1,0,12.3575,15,0,0,1
trimstray/the-book-of-secret-knowledge,425,1,1,1,704.4997222222222,114,0,7,6
trimstray/the-book-of-secret-knowledge,422,1,1,0,114.30722222222222,1,0,0,1
trimstray/the-book-of-secret-knowledge,421,1,1,1,1144.6197222222222,122,0,0,1
trimstray/the-book-of-secret-knowledge,415,1,1,2,2327.6697222222224,0,0,1,2
trimstray/the-book-of-secret-knowledge,410,1,21,0,281.37805555555553,0,0,1,2
trimstray/the-book-of-secret-knowledge,404,1,21,0,1994.971388888889,0,0,7,6
trimstray/the-book-of-secret-knowledge,402,1,1,0,2916.5555555555557,261,0,9,5
trimstray/the-book-of-secret-knowledge,400,1,1,0,495.3888888888889,113,0,9,8
trimstray/the-book-of-secret-knowledge,385,1,1,0,3259.027222222222,0,0,3,3
trimstray/the-book-of-secret-knowledge,384,1,1,0,364.71472222222224,231,0,1,2
trimstray/the-book-of-secret-knowledge,354,1,1,0,21932.118611111113,0,0,5,6
trimstray/the-book-of-secret-knowledge,353,1,18,4,3.1094444444444442,78,0,11,10
trimstray/the-book-of-secret-knowledge,352,3,202,0,10.535277777777777,0,0,0,1
trimstray/the-book-of-secret-knowledge,351,1,21,0,69.9875,0,0,1,2
trimstray/the-book-of-secret-knowledge,341,1,31,1,81.13194444444444,0,0,1,2
trimstray/the-book-of-secret-knowledge,325,1,8,1,21.488333333333333,0,0,0,1
trimstray/the-book-of-secret-knowledge,301,1,1,2,5632.987777777777,279,0,11,6
trimstray/the-book-of-secret-knowledge,294,1,1,1,1792.7705555555556,208,0,5,6
trimstray/the-book-of-secret-knowledge,288,1,1,0,2044.0725,426,0,1,2
trimstray/the-book-of-secret-knowledge,286,1,1,0,2088.763611111111,93,0,0,1
trimstray/the-book-of-secret-knowledge,277,1,1,0,2396.9327777777776,181,0,0,1
trimstray/the-book-of-secret-knowledge,263,2,4412,29,2616.4019444444443,41,0,0,1
trimstray/the-book-of-secret-knowledge,257,1,12,0,154.24722222222223,61,0,0,1
trimstray/the-book-of-secret-knowledge,251,1,6,0,3031.5308333333332,0,0,1,2
trimstray/the-book-of-secret-knowledge,250,1,1,0,3032.4,70,0,3,4
trimstray/the-book-of-secret-knowledge,249,1,1,0,3032.47,70,0,1,2
trimstray/the-book-of-secret-knowledge,248,1,1,0,3033.3825,70,0,0,1
trimstray/the-book-of-secret-knowledge,243,1,1,0,3225.3263888888887,170,0,1,2
trimstray/the-book-of-secret-knowledge,240,1,1,0,3305.5777777777776,20,0,0,1
trimstray/the-book-of-secret-knowledge,239,1,1,0,3346.251388888889,0,0,3,3
trimstray/the-book-of-secret-knowledge,238,1,1,0,447.4477777777778,91,0,0,1
trimstray/the-book-of-secret-knowledge,237,1,1,0,3471.8025,98,0,1,2
trimstray/the-book-of-secret-knowledge,234,1,1,0,3740.31,398,0,0,1
trimstray/the-book-of-secret-knowledge,233,1,1,0,3880.5008333333335,26,0,0,1
trimstray/the-book-of-secret-knowledge,232,4,126,0,3976.7472222222223,0,0,2,3
trimstray/the-book-of-secret-knowledge,231,1,1,0,4055.521388888889,39,0,0,1
trimstray/the-book-of-secret-knowledge,229,1,1,0,4675.861666666667,110,0,0,1
trimstray/the-book-of-secret-knowledge,228,1,2,1,4946.626666666667,131,0,0,1
trimstray/the-book-of-secret-knowledge,226,1,1,0,5180.809166666667,0,0,0,1
trimstray/the-book-of-secret-knowledge,225,1,1,0,5324.073333333334,165,0,0,1
trimstray/the-book-of-secret-knowledge,224,1,1,0,5354.921111111111,0,0,0,1
trimstray/the-book-of-secret-knowledge,223,1,0,1,8.081944444444444,467,0,2,3
trimstray/the-book-of-secret-knowledge,222,1,2,0,128.33166666666668,64,0,0,1
trimstray/the-book-of-secret-knowledge,220,1,1,1,188.05388888888888,0,0,1,2
trimstray/the-book-of-secret-knowledge,219,1,1,0,197.54638888888888,0,0,1,2
trimstray/the-book-of-secret-knowledge,218,1,1,0,5686.73,0,0,0,1
trimstray/the-book-of-secret-knowledge,217,1,1,0,5742.094444444445,262,0,2,3
trimstray/the-book-of-secret-knowledge,214,1,2,2,5785.689166666667,523,0,0,1
trimstray/the-book-of-secret-knowledge,213,1,1,0,5787.445833333333,0,0,0,1
trimstray/the-book-of-secret-knowledge,211,1,1,1,5808.373333333333,64,0,0,1
trimstray/the-book-of-secret-knowledge,210,1,1,0,2793.59,47,0,1,2
