repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
twbs/bootstrap,40975,1,0,0,1.0947222222222222,1383,0,0,1
twbs/bootstrap,40964,2,63,44,44.38166666666667,9912,0,0,1
twbs/bootstrap,40951,1,1,1,3.7536111111111112,1121,0,1,2
twbs/bootstrap,40950,2,159,391,23.97833333333333,27063,0,0,1
twbs/bootstrap,40947,2,147,365,21.205833333333334,25092,0,0,1
twbs/bootstrap,40944,1,0,1,4.597222222222222,358,0,1,1
twbs/bootstrap,40932,1,1,1,262.0025,897,0,2,3
twbs/bootstrap,40931,1,1,1,5.893888888888889,1385,0,1,2
twbs/bootstrap,40920,2,630,736,32.96083333333333,61950,0,1,2
twbs/bootstrap,40916,1,2,0,1.2938888888888889,1426,0,0,1
twbs/bootstrap,40911,1,4,0,452.1852777777778,1966,0,5,5
twbs/bootstrap,40900,1,1,1,91.68416666666667,1686,0,1,2
twbs/bootstrap,40896,1,1,1,96.64361111111111,1409,0,0,1
twbs/bootstrap,40889,2,732,415,13.234722222222222,43634,0,0,1
twbs/bootstrap,40887,2,2,2,14.879444444444445,0,0,1,2
twbs/bootstrap,40884,2,34,7,5.111111111111111,10231,0,0,1
twbs/bootstrap,40883,2,5,5,5.356111111111111,5388,0,1,2
twbs/bootstrap,40882,2,5,5,4.835277777777778,3829,0,1,2
twbs/bootstrap,40876,2,2,3,112.71972222222222,1281,0,2,3
twbs/bootstrap,40869,2,34,7,167.9611111111111,10363,0,0,1
twbs/bootstrap,40868,2,5,5,167.96027777777778,5112,0,0,1
twbs/bootstrap,40867,2,5,5,167.9611111111111,3829,0,0,1
twbs/bootstrap,40865,5,49,16,11.826666666666666,1679,0,0,1
twbs/bootstrap,40864,3,48,10,20.34027777777778,1724,0,0,1
twbs/bootstrap,40862,1,8,10,254.46138888888888,8491,0,1,2
twbs/bootstrap,40845,1,30,0,1.2408333333333332,1367,0,0,1
twbs/bootstrap,40844,1,1,1,25.07027777777778,1441,0,1,2
twbs/bootstrap,40843,2,15,19,340.4113888888889,20972,0,1,2
twbs/bootstrap,40842,2,5,6,340.635,4138,0,1,2
twbs/bootstrap,40840,1,1,1,4.121111111111111,1472,0,0,1
twbs/bootstrap,40821,1,23,1,653.3858333333334,1256,0,4,3
twbs/bootstrap,40818,1,1,1,478.5833333333333,738,0,1,2
twbs/bootstrap,40809,2,5,5,331.2705555555556,3495,0,0,1
twbs/bootstrap,40808,1,1,1,383.215,736,0,1,2
twbs/bootstrap,40807,2,5,5,335.93,4391,0,0,1
twbs/bootstrap,40806,2,5,5,4.675833333333333,3121,0,1,2
twbs/bootstrap,40805,2,5,5,4.667777777777777,2945,0,0,1
twbs/bootstrap,40804,2,5,6,335.94194444444446,8968,0,0,1
twbs/bootstrap,40803,2,20,1,48.23361111111111,1351,0,1,2
twbs/bootstrap,40799,2,4,4,743.3047222222223,1546,0,1,2
twbs/bootstrap,40797,1,1,0,70.80222222222223,1555,0,2,2
twbs/bootstrap,40790,1,15,15,867.6122222222223,1628,0,3,2
twbs/bootstrap,40784,2,5,5,22.694166666666668,4756,0,1,2
twbs/bootstrap,40775,2,69,69,2.703888888888889,12132,0,1,2
twbs/bootstrap,40774,2,5,5,2.7369444444444446,2993,0,1,2
twbs/bootstrap,40773,2,72,83,2.7330555555555556,10213,0,1,2
twbs/bootstrap,40767,1,1,1,959.3363888888889,1480,0,2,3
twbs/bootstrap,40766,1,3,3,1052.8961111111112,1512,0,3,3
twbs/bootstrap,40762,1,1,1,305.1772222222222,1683,0,3,4
twbs/bootstrap,40750,2,69,69,168.0186111111111,7311,0,0,1
twbs/bootstrap,40749,2,92,32,170.73944444444444,8941,0,0,1
twbs/bootstrap,40748,2,5,5,168.01944444444445,2409,0,0,1
twbs/bootstrap,40738,30,86,90,37.01277777777778,896,0,0,1
twbs/bootstrap,40736,1,22,0,451.31083333333333,299,0,0,1
twbs/bootstrap,40733,1,6,0,94.96,1171,0,0,1
twbs/bootstrap,40727,1,5,1,455.59694444444443,1741,0,0,1
twbs/bootstrap,40718,2,5,6,3.5102777777777776,2701,0,0,1
twbs/bootstrap,40712,1,1,1,11.68138888888889,1383,0,0,1
twbs/bootstrap,40704,4,7,7,145.6288888888889,1328,0,1,2
twbs/bootstrap,40703,7,10,10,1.2619444444444445,1329,0,3,3
twbs/bootstrap,40699,2,5,6,167.94583333333333,2409,0,0,1
twbs/bootstrap,40698,2,9,10,171.41972222222222,11361,0,1,2
twbs/bootstrap,40697,2,22,26,171.43833333333333,3325,0,1,2
twbs/bootstrap,40696,2,69,86,171.43444444444444,6880,0,2,2
twbs/bootstrap,40689,1,2,2,100.12194444444444,1409,0,2,3
twbs/bootstrap,40686,16,35,35,1.4191666666666667,1381,0,2,2
twbs/bootstrap,40678,2,31,33,339.4238888888889,17099,0,1,2
twbs/bootstrap,40676,2,9,10,18.788611111111113,10930,0,0,1
twbs/bootstrap,40673,3,1369,505,57.611666666666665,1558,0,1,2
twbs/bootstrap,40672,1,1,4,73.37222222222222,8,0,2,2
twbs/bootstrap,40663,2,5,5,120.43638888888889,3643,0,0,1
twbs/bootstrap,40643,2,87,4,116.10027777777778,394,0,1,2
twbs/bootstrap,40639,20,0,0,178.44,66,0,1,2
twbs/bootstrap,40623,3,3,3,125.93055555555556,4288,0,3,4
twbs/bootstrap,40620,3,9,9,213.88805555555555,1575,0,3,4
twbs/bootstrap,40619,2,2,2,17.038333333333334,1559,0,2,3
twbs/bootstrap,40618,2,5,5,152.48111111111112,2837,0,0,1
twbs/bootstrap,40617,2,69,69,152.50944444444445,16445,0,1,2
twbs/bootstrap,40616,2,6,6,152.505,6711,0,1,2
twbs/bootstrap,40615,2,5,5,152.50166666666667,2701,0,1,2
twbs/bootstrap,40611,3,31,4,2184.1677777777777,1350,0,1,2
twbs/bootstrap,40580,1,1,1,1.1666666666666667,206,0,0,1
twbs/bootstrap,40577,2,4,4,6.4063888888888885,1448,0,2,3
twbs/bootstrap,40565,3,82,37,331.08166666666665,10952,0,1,2
twbs/bootstrap,40563,1,1,0,4.671388888888889,1383,0,0,1
twbs/bootstrap,40548,2,19,20,498.4875,15874,0,2,3
twbs/bootstrap,40547,2,480,471,498.45194444444445,16244,0,1,2
twbs/bootstrap,40546,2,5,5,498.37611111111113,2442,0,1,2
twbs/bootstrap,40545,2,9,18,498.4011111111111,16067,0,1,2
twbs/bootstrap,40544,13,180,0,48.23222222222222,1585,0,0,1
twbs/bootstrap,40529,2,77,34,330.75944444444445,9216,0,0,1
twbs/bootstrap,40522,1,1,1,1.4183333333333332,884,0,1,2
twbs/bootstrap,40521,2,168,306,4.878333333333333,5376,0,1,2
twbs/bootstrap,40520,2,73,67,4.8886111111111115,11011,0,1,2
twbs/bootstrap,40519,2,5,5,4.926388888888889,8759,0,1,2
twbs/bootstrap,40517,1,1,1,9.6825,1393,0,0,1
twbs/bootstrap,40514,1,60,0,44.03805555555556,1985,0,0,1
twbs/bootstrap,40513,1,1,0,3.3377777777777777,7,0,0,1
twbs/bootstrap,40511,1,1,0,3.453333333333333,1383,0,0,1
twbs/bootstrap,40509,1,1,0,2.5480555555555555,1383,0,0,1
