repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
twitter/the-algorithm,5821,1,25,0,201.25472222222223,0,0,1,1
twitter/the-algorithm,2036,30,1824,1824,2090.0405555555553,18,0,1,2
twitter/the-algorithm,1941,30,3,3321,2248.346666666667,1,0,1,2
twitter/the-algorithm,1897,1,4,55,7531.9175,1,0,1,2
twitter/the-algorithm,1884,30,86,45,1307.2277777777779,181,0,5,4
twitter/the-algorithm,1871,1,16,14,3949.7077777777777,1110,0,0,1
twitter/the-algorithm,1862,2,2,10,6710.720833333334,578,0,0,1
twitter/the-algorithm,1856,1,13,6,4260.626944444444,13,0,0,1
twitter/the-algorithm,1854,0,0,0,3524.0769444444445,7,0,0,1
twitter/the-algorithm,1845,5,6,6,4245.825,96,0,0,1
twitter/the-algorithm,1844,2,18,35,3055.7991666666667,114,0,0,1
twitter/the-algorithm,1838,5,0,32,9148.495555555555,27,0,1,2
twitter/the-algorithm,1836,1,3,0,189.85194444444446,91,0,0,1
twitter/the-algorithm,1833,1,1,1,69.25222222222222,0,0,1,2
twitter/the-algorithm,1827,1,8,5,10449.861666666666,1204,0,0,1
twitter/the-algorithm,1825,21,102,102,1329.4308333333333,0,0,0,1
twitter/the-algorithm,1820,1,69,0,201.70527777777778,113,0,2,3
twitter/the-algorithm,1819,2,2,0,222.02138888888888,25,0,0,1
twitter/the-algorithm,1816,1,1,1,297.54833333333335,48,0,1,2
twitter/the-algorithm,1805,1,1,1,1006.8252777777777,26,0,1,2
twitter/the-algorithm,1789,30,3171,2710,6649.566666666667,690,0,1,2
twitter/the-algorithm,1777,1,1,1,2509.3855555555556,51,0,1,2
twitter/the-algorithm,1773,6,47,6,8281.288888888888,1222,0,0,1
twitter/the-algorithm,1767,30,15,2630,32.33444444444444,14,0,0,1
twitter/the-algorithm,1750,2,6,7,96.7688888888889,12,0,0,1
twitter/the-algorithm,1748,0,0,0,3.3091666666666666,61,0,0,1
twitter/the-algorithm,1740,30,0,2784,94.10444444444444,64,0,3,3
twitter/the-algorithm,1738,1,22,49,2454.235833333333,0,0,0,1
twitter/the-algorithm,1736,30,55,55,2753.324722222222,63,0,13,10
twitter/the-algorithm,1723,2,8,12,1132.6747222222223,115,0,0,1
twitter/the-algorithm,1712,30,2348,0,18.066944444444445,185,0,2,2
twitter/the-algorithm,1710,1,18,0,1.011111111111111,27,0,0,1
twitter/the-algorithm,1708,1,307,0,7452.720555555556,0,0,3,3
twitter/the-algorithm,1705,1,66,73,8778.179722222223,92,0,1,2
twitter/the-algorithm,1698,1,28,37,619.9075,313,0,0,1
twitter/the-algorithm,1696,1,68,76,620.4694444444444,811,0,0,1
twitter/the-algorithm,1678,0,0,0,15.303333333333333,23,0,0,1
twitter/the-algorithm,1674,30,0,2630,8.389444444444445,22,0,18,17
twitter/the-algorithm,1659,1,2,2,1.8508333333333333,515,0,0,1
twitter/the-algorithm,1655,1,1,1,4.5552777777777775,6,0,0,1
twitter/the-algorithm,1652,1,0,1,6.8275,0,0,0,1
twitter/the-algorithm,1651,2,2,2,456.1816666666667,18,0,1,2
twitter/the-algorithm,1649,1,13,0,6.805,51,0,5,4
twitter/the-algorithm,1648,30,0,3219,2.562222222222222,149,0,0,1
twitter/the-algorithm,1647,30,1,2784,2.931111111111111,25,0,0,1
twitter/the-algorithm,1646,2,0,31,3.355,0,0,0,1
twitter/the-algorithm,1643,30,5980,697,5.2427777777777775,70,0,0,1
twitter/the-algorithm,1622,30,1,2784,10342.746666666666,17,0,1,2
