repo,pr_number,duration_hours,description_length,num_comments,num_participants
ventoy/Ventoy,2857,229.10833333333332,0,0,1
ventoy/Ventoy,2850,332.1388888888889,135,0,1
ventoy/Ventoy,2840,479.2838888888889,33,0,1
ventoy/Ventoy,2839,479.9975,0,0,1
ventoy/Ventoy,2836,95.62222222222222,0,0,1
ventoy/Ventoy,2816,1133.293888888889,47,0,1
ventoy/Ventoy,2808,714.9869444444445,0,0,1
ventoy/Ventoy,2788,78.13,73,0,1
ventoy/Ventoy,2768,624.4644444444444,168,0,1
ventoy/Ventoy,2755,1991.733888888889,0,0,1
ventoy/Ventoy,2752,2064.555277777778,37,0,1
ventoy/Ventoy,2723,133.29805555555555,38,0,1
ventoy/Ventoy,2687,3522.577222222222,41,0,1
ventoy/Ventoy,2679,3736.196111111111,83,0,1
ventoy/Ventoy,2678,3767.5227777777777,66,0,1
ventoy/Ventoy,2655,0.3238888888888889,0,0,1
ventoy/Ventoy,2633,4924.739722222223,282,0,1
ventoy/Ventoy,2618,5136.109166666667,39,0,1
ventoy/Ventoy,2612,5225.586666666667,0,0,1
ventoy/Ventoy,2600,5335.330833333333,36,0,1
ventoy/Ventoy,2580,317.5552777777778,0,0,1
ventoy/Ventoy,2552,0.06027777777777778,35,0,1
ventoy/Ventoy,2533,36.61944444444445,142,0,1
ventoy/Ventoy,2526,985.2997222222223,0,0,1
ventoy/Ventoy,2519,304.5811111111111,34,0,1
ventoy/Ventoy,2504,562.6,40,0,1
ventoy/Ventoy,2500,660.6425,0,0,1
ventoy/Ventoy,2499,7177.6211111111115,33,0,1
ventoy/Ventoy,2497,7203.786944444444,20,0,1
ventoy/Ventoy,2491,7296.326944444444,71,0,1
ventoy/Ventoy,2488,11.2875,573,0,1
ventoy/Ventoy,2483,113.42388888888888,0,0,1
ventoy/Ventoy,2482,116.71722222222222,21,0,1
ventoy/Ventoy,2473,257.3544444444444,0,0,1
ventoy/Ventoy,2469,322.6405555555556,0,0,1
ventoy/Ventoy,2465,424.20694444444445,43,0,1
ventoy/Ventoy,2443,1423.3680555555557,0,0,1
ventoy/Ventoy,2442,2562.2908333333335,12,0,1
ventoy/Ventoy,2427,286.6988888888889,847,0,1
ventoy/Ventoy,2406,594.2377777777778,103,0,1
ventoy/Ventoy,2398,809.7638888888889,93,0,1
ventoy/Ventoy,2397,0.9219444444444445,919,0,1
ventoy/Ventoy,2390,0.9075,277,0,1
ventoy/Ventoy,2383,8130.983611111111,89,0,1
ventoy/Ventoy,2378,1223.986388888889,43,0,1
ventoy/Ventoy,2372,1391.6461111111112,0,0,1
ventoy/Ventoy,2368,1445.6019444444444,52,0,1
ventoy/Ventoy,2364,283.38138888888886,28,0,1
ventoy/Ventoy,2362,9435.944722222222,189,0,1
ventoy/Ventoy,2361,12.858333333333333,115,0,1
ventoy/Ventoy,2341,118.61555555555556,192,0,1
ventoy/Ventoy,2336,389.8222222222222,0,0,1
ventoy/Ventoy,2330,5981.506944444444,254,0,1
ventoy/Ventoy,2318,167.375,21,0,1
ventoy/Ventoy,2299,36.08,0,0,1
ventoy/Ventoy,2288,672.0497222222223,0,0,1
ventoy/Ventoy,2287,0.14444444444444443,0,0,1
ventoy/Ventoy,2286,163.44027777777777,13,0,1
ventoy/Ventoy,2279,248.9597222222222,117,0,1
ventoy/Ventoy,2277,17.836666666666666,0,0,1
ventoy/Ventoy,2264,194.02166666666668,0,0,1
ventoy/Ventoy,2262,217.92888888888888,38,0,1
ventoy/Ventoy,2261,232.72805555555556,18,0,1
ventoy/Ventoy,2258,266.7752777777778,0,0,1
ventoy/Ventoy,2257,285.0411111111111,0,0,1
ventoy/Ventoy,2256,293.23277777777776,0,0,1
ventoy/Ventoy,2252,49.693888888888885,23,0,1
ventoy/Ventoy,2247,103.4486111111111,15,0,1
ventoy/Ventoy,2232,162.7813888888889,0,0,1
ventoy/Ventoy,2230,169.39027777777778,0,0,1
ventoy/Ventoy,2222,53.30444444444444,0,0,1
ventoy/Ventoy,2212,111.305,17,0,1
ventoy/Ventoy,2208,138.01305555555555,203,0,1
ventoy/Ventoy,2207,138.40555555555557,84,0,1
ventoy/Ventoy,2204,49.59388888888889,24,0,1
ventoy/Ventoy,2200,273.17583333333334,0,0,1
ventoy/Ventoy,2199,136.78027777777777,35,0,1
ventoy/Ventoy,2191,192.46722222222223,43,0,1
ventoy/Ventoy,2190,201.35222222222222,0,0,1
ventoy/Ventoy,2189,201.43,0,0,1
ventoy/Ventoy,2188,227.04583333333332,0,0,1
ventoy/Ventoy,2186,234.1911111111111,13,0,1
ventoy/Ventoy,2185,234.53833333333333,0,0,1
ventoy/Ventoy,2179,339.155,0,0,1
ventoy/Ventoy,2177,356.50416666666666,0,0,1
ventoy/Ventoy,2172,1.4402777777777778,0,0,1
ventoy/Ventoy,2170,566.4638888888888,0,0,1
ventoy/Ventoy,2167,22.50583333333333,0,0,1
ventoy/Ventoy,2163,43.260555555555555,0,0,1
ventoy/Ventoy,2160,45.00666666666667,13,0,1
ventoy/Ventoy,2159,45.495555555555555,60,0,1
ventoy/Ventoy,2152,0.24722222222222223,0,0,1
ventoy/Ventoy,2148,10.846944444444444,0,0,1
ventoy/Ventoy,2147,11.864722222222222,131,0,1
ventoy/Ventoy,2144,41.15833333333333,33,0,1
ventoy/Ventoy,2141,59.4775,20,0,1
ventoy/Ventoy,2140,54.51027777777778,0,0,1
ventoy/Ventoy,2135,32.08555555555556,0,0,1
ventoy/Ventoy,2133,39.48444444444444,0,0,1
ventoy/Ventoy,2130,3.8066666666666666,0,0,1
