repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
vitejs/vite,18443,1,1,3,5.731111111111111,1362,0,8,3
vitejs/vite,18440,2,5,3,19.16111111111111,66,0,3,3
vitejs/vite,18435,10,10,0,24.09888888888889,1395,0,2,3
vitejs/vite,18432,5,83,124,6.144722222222223,2011,0,5,3
vitejs/vite,18425,1,1,1,11.449722222222222,118,0,1,2
vitejs/vite,18424,1,38,16,10.801944444444445,199,0,2,2
vitejs/vite,18421,8,110,39,23.058611111111112,404,0,0,1
vitejs/vite,18410,1,19,0,5.37,278,0,6,4
vitejs/vite,18407,15,21,21,23.10527777777778,1264,0,6,3
vitejs/vite,18406,10,10,10,5.521111111111111,1097,0,3,3
vitejs/vite,18404,22,387,763,2.2713888888888887,43636,0,1,2
vitejs/vite,18397,1,14,0,17.825833333333332,102,0,2,2
vitejs/vite,18394,2,1,20,1.4758333333333333,1152,0,1,2
vitejs/vite,18390,1,6,0,3.710277777777778,879,0,2,3
vitejs/vite,18383,4,17,16,138.85916666666665,979,0,0,1
vitejs/vite,18382,2,7,2,21.727222222222224,173,0,8,4
vitejs/vite,18377,1,4,3,21.285555555555554,879,0,3,3
vitejs/vite,18376,1,2,0,2.051388888888889,879,0,1,2
vitejs/vite,18375,7,13,1,22.13888888888889,879,0,2,2
vitejs/vite,18373,1,1,1,6.8005555555555555,979,0,1,2
vitejs/vite,18372,17,122,67,17.00777777777778,1045,0,0,1
vitejs/vite,18368,2,2,0,1.4869444444444444,863,0,1,2
vitejs/vite,18367,1,23,0,40.080555555555556,1059,0,2,3
vitejs/vite,18366,3,249,1,51.484722222222224,932,0,7,3
vitejs/vite,18364,1,40,6,8.488055555555556,978,0,1,2
vitejs/vite,18363,1,1,1,30.70611111111111,879,0,2,2
vitejs/vite,18360,3,14,16,14.766944444444444,1107,0,1,2
vitejs/vite,18358,12,147,68,177.1027777777778,80,0,22,4
vitejs/vite,18357,1,35,0,70.71833333333333,1292,0,3,2
vitejs/vite,18356,3,186,842,39.25388888888889,403,0,7,3
vitejs/vite,18355,1,10,0,3.9722222222222223,878,0,2,2
vitejs/vite,18353,2,41,3,41.09305555555556,904,0,3,2
vitejs/vite,18352,2,9,5,1.595,100,0,1,2
vitejs/vite,18351,1,9,14,8.814444444444444,166,0,4,2
vitejs/vite,18349,5,151,30,25.710555555555555,2088,0,4,3
vitejs/vite,18346,5,35,22,29.261944444444445,3017,0,2,3
vitejs/vite,18345,30,61,60,31.135,59992,0,2,3
vitejs/vite,18344,1,7,2,49.96055555555556,784,0,2,3
vitejs/vite,18343,1,4,4,56.25083333333333,48,0,1,2
vitejs/vite,18342,2,9,9,10.529722222222222,889,0,1,2
vitejs/vite,18335,2,2,2,62.280833333333334,147,0,1,2
vitejs/vite,18334,1,122,34,4.574722222222222,1034,0,6,3
vitejs/vite,18333,5,22,17,3.9505555555555554,863,0,3,2
vitejs/vite,18332,2,64,15,87.82,575,0,1,2
vitejs/vite,18330,14,322,1,174.38833333333332,379,0,1,1
vitejs/vite,18329,5,86,33,175.07416666666666,1334,0,3,3
vitejs/vite,18327,6,65,4,1.7513888888888889,261,0,1,2
vitejs/vite,18326,3,200,223,17.36861111111111,97,0,1,2
vitejs/vite,18322,2,6,6,1.2558333333333334,936,0,2,3
vitejs/vite,18318,1,16,0,1.2730555555555556,1474,0,2,2
vitejs/vite,18317,2,22,4,2.6147222222222224,1097,0,2,3
vitejs/vite,18316,6,1075,918,123.18194444444444,528,0,5,3
vitejs/vite,18313,1,1,1,214.45,883,0,1,2
vitejs/vite,18309,1,1,1,1.36,863,0,0,1
vitejs/vite,18308,1,3,32,2.79,992,0,1,2
vitejs/vite,18307,2,10,1,3.2022222222222223,1411,0,1,2
vitejs/vite,18304,5,15,15,14.1475,82,0,2,3
vitejs/vite,18303,7,194,29,362.21777777777777,1449,0,6,4
vitejs/vite,18302,15,284,31,46.20861111111111,362,0,7,3
vitejs/vite,18301,1,17,0,1.308888888888889,348,0,1,2
