repo,pr_number,num_files,additions,deletions,duration_hours,description_length,num_comments,num_reviews,num_participants
vuejs/vue,13220,1,2,1,9.009722222222223,1294,0,0,1
vuejs/vue,13217,1,1,0,3.64,1275,0,0,1
vuejs/vue,13216,1,7,7,1.9872222222222222,1275,0,1,2
vuejs/vue,13213,1,1,0,7.933611111111111,1275,0,0,1
vuejs/vue,13207,1,1,0,1.7586111111111111,1275,0,0,1
vuejs/vue,13196,1,4,4,1.6891666666666667,1316,0,0,1
vuejs/vue,13194,1,2,0,1.1975,1275,0,0,1
vuejs/vue,13192,1,1,1,2.3469444444444445,1291,0,2,2
vuejs/vue,13187,1,1,1,20.38111111111111,1451,0,1,2
vuejs/vue,13184,1,2,0,1.6744444444444444,1275,0,0,1
vuejs/vue,13183,1,2,0,2.6358333333333333,1275,0,0,1
vuejs/vue,13182,1,2,0,11.55861111111111,1275,0,0,1
vuejs/vue,13181,1,3,0,1.8919444444444444,1275,0,0,1
vuejs/vue,13178,1,2,0,2.524722222222222,1275,0,0,1
vuejs/vue,13176,1,3,0,1.2391666666666667,1275,0,0,1
vuejs/vue,13174,1,2,2,2.405,1275,0,0,1
vuejs/vue,13173,1,10,3,12.264166666666666,1209,0,0,1
vuejs/vue,13171,1,1,1,1.9155555555555555,1291,0,0,1
vuejs/vue,13169,1,2,0,7.827222222222222,1275,0,0,1
vuejs/vue,13167,1,11,0,1.6566666666666667,16,0,0,1
vuejs/vue,13156,1,2,0,1.9230555555555555,1275,0,0,1
vuejs/vue,13152,30,1885,36497,1.0102777777777778,1275,0,0,1
vuejs/vue,13145,30,1958,874,1.7972222222222223,17,0,0,1
vuejs/vue,13144,1,1,0,1.3047222222222221,1347,0,0,1
vuejs/vue,13142,1,8,4,6.536388888888889,0,0,0,1
vuejs/vue,13127,1,199,91,7.485,15184,0,0,1
vuejs/vue,13124,1,74,2,233.7863888888889,1410,0,0,1
vuejs/vue,13123,1,2,0,3.6955555555555555,1293,0,0,1
vuejs/vue,13118,7,44,80,1.9830555555555556,1275,0,0,1
vuejs/vue,13107,1,4,3,1016.9447222222223,1871,0,1,1
vuejs/vue,13105,4,45,7,1055.4580555555556,1317,0,0,1
vuejs/vue,13102,1,4,3,29.280555555555555,8688,0,0,1
vuejs/vue,13101,1,4,3,29.281111111111112,3662,0,0,1
vuejs/vue,13100,1,1,1,29.281944444444445,7909,0,0,1
vuejs/vue,13091,1,4,1,10.4975,1275,0,0,1
